UTC time,Local time,net_generation,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
01/01/2020 00:00:00,2019-12-31 16:00:00,11294,12,7290,2273,91,0,1403,225,0
01/01/2020 01:00:00,2019-12-31 17:00:00,11663,15,9098,2272,91,0,0,222,0
01/01/2020 02:00:00,2019-12-31 18:00:00,11438,14,8827,2273,91,0,0,263,0
01/01/2020 03:00:00,2019-12-31 19:00:00,10763,12,8040,2272,91,0,0,379,0
01/01/2020 04:00:00,2019-12-31 20:00:00,10473,15,7826,2272,46,0,0,345,0
01/01/2020 05:00:00,2019-12-31 21:00:00,10331,12,7710,2272,90,0,0,277,0
01/01/2020 06:00:00,2019-12-31 22:00:00,10310,12,7717,2275,90,0,0,248,0
01/01/2020 07:00:00,2019-12-31 23:00:00,10855,10,8221,2275,46,0,0,334,0
01/01/2020 08:00:00,2020-01-01 00:00:00,10912,11,8326,2275,46,0,0,286,0
01/01/2020 09:00:00,2020-01-01 01:00:00,11021,9,8372,2272,91,0,0,308,0
01/01/2020 10:00:00,2020-01-01 02:00:00,10378,8,7428,2274,90,0,0,609,0
01/01/2020 11:00:00,2020-01-01 03:00:00,9903,9,7118,2274,91,0,0,445,0
01/01/2020 12:00:00,2020-01-01 04:00:00,9717,9,6710,2272,90,0,0,671,0
01/01/2020 13:00:00,2020-01-01 05:00:00,9525,9,6629,2271,90,0,0,558,0
01/01/2020 14:00:00,2020-01-01 06:00:00,9392,9,6312,2272,58,0,0,775,0
01/01/2020 15:00:00,2020-01-01 07:00:00,9281,9,6399,2271,46,0,150,406,0
01/01/2020 16:00:00,2020-01-01 08:00:00,10524,10,4732,2273,46,0,2703,761,0
01/01/2020 17:00:00,2020-01-01 09:00:00,13574,10,4655,2272,46,0,5640,951,0
01/01/2020 18:00:00,2020-01-01 10:00:00,14073,10,4111,2273,56,0,6699,924,0
01/01/2020 19:00:00,2020-01-01 11:00:00,14325,9,3964,2275,62,0,6483,1532,0
01/01/2020 20:00:00,2020-01-01 12:00:00,14333,9,3918,2272,83,0,6305,1745,0
01/01/2020 21:00:00,2020-01-01 13:00:00,13932,9,4079,2272,46,0,5004,2521,0
01/01/2020 22:00:00,2020-01-01 14:00:00,15032,9,4165,2273,91,0,6195,2299,0
01/01/2020 23:00:00,2020-01-01 15:00:00,14273,10,4844,2270,92,0,4346,2711,0
01/02/2020 00:00:00,2020-01-01 16:00:00,11501,10,5233,2271,90,0,1281,2617,0
01/02/2020 01:00:00,2020-01-01 17:00:00,10782,9,5968,2272,91,0,41,2402,0
01/02/2020 02:00:00,2020-01-01 18:00:00,10770,9,6092,2273,90,0,0,2338,0
01/02/2020 03:00:00,2020-01-01 19:00:00,11204,7,6090,2271,91,0,0,2775,0
01/02/2020 04:00:00,2020-01-01 20:00:00,11651,8,6895,2273,90,0,0,2416,0
01/02/2020 05:00:00,2020-01-01 21:00:00,11935,9,7091,2275,90,0,0,2501,0
