UTC time,nat_gas,nuclear,hydro,solar,wind,other
2023-06-27 00:00:00,595.0,1133.0,8168.0,63.0,615.0,170.0
2023-06-27 01:00:00,607.0,1131.0,8542.0,70.0,411.0,167.0
2023-06-27 02:00:00,609.0,1131.0,8802.0,82.0,403.0,166.0
2023-06-27 03:00:00,609.0,1133.0,8558.0,58.0,577.0,163.0
2023-06-27 04:00:00,587.0,1134.0,8146.0,31.0,783.0,163.0
2023-06-27 05:00:00,589.0,1136.0,7363.0,11.0,1258.0,161.0
2023-06-27 06:00:00,515.0,1136.0,6449.0,0.0,1199.0,155.0
2023-06-27 07:00:00,508.0,1138.0,5383.0,0.0,1024.0,156.0
2023-06-27 08:00:00,507.0,1138.0,4775.0,0.0,1113.0,152.0
2023-06-27 09:00:00,510.0,1138.0,4037.0,0.0,1168.0,151.0
2023-06-27 10:00:00,509.0,1138.0,4195.0,0.0,1229.0,151.0
2023-06-27 11:00:00,509.0,1140.0,4010.0,0.0,1280.0,152.0
2023-06-27 12:00:00,510.0,1142.0,3997.0,0.0,1428.0,151.0
2023-06-27 13:00:00,512.0,1142.0,4185.0,2.0,1366.0,160.0
2023-06-27 14:00:00,534.0,1142.0,5319.0,33.0,1245.0,164.0
2023-06-27 15:00:00,534.0,1139.0,6200.0,70.0,1206.0,163.0
2023-06-27 16:00:00,532.0,1138.0,6284.0,125.0,1296.0,167.0
2023-06-27 17:00:00,534.0,1136.0,6547.0,99.0,1134.0,163.0
2023-06-27 18:00:00,533.0,1134.0,6913.0,112.0,918.0,160.0
2023-06-27 19:00:00,530.0,1132.0,7362.0,103.0,830.0,164.0
2023-06-27 20:00:00,552.0,1132.0,6962.0,69.0,664.0,158.0
2023-06-27 21:00:00,551.0,1131.0,7543.0,80.0,569.0,157.0
2023-06-27 22:00:00,570.0,1129.0,7944.0,81.0,435.0,157.0
2023-06-27 23:00:00,571.0,1129.0,8172.0,99.0,344.0,160.0
