datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2023-01-16T10:00:00.000000000,467.03,650.52951
2023-01-16T11:00:00.000000000,496.74,635.83973
2023-01-16T12:00:00.000000000,523.13,649.18328
2023-01-16T13:00:00.000000000,544.29,647.96281
2023-01-16T14:00:00.000000000,566.21,634.92059
2023-01-16T15:00:00.000000000,588.68,633.96279
2023-01-16T16:00:00.000000000,577.71,647.59461
2023-01-16T17:00:00.000000000,580.32,633.5023
2023-01-16T18:00:00.000000000,592.56,633.13952
2023-01-16T19:00:00.000000000,615.76,654.80293
2023-01-16T20:00:00.000000000,604.39,663.78684
2023-01-16T21:00:00.000000000,590.96,656.74857
2023-01-16T22:00:00.000000000,587.32,638.01819
2023-01-16T23:00:00.000000000,582.84,644.67479
2023-01-17T00:00:00.000000000,611.21,648.33245
2023-01-17T01:00:00.000000000,603.67,634.39364
2023-01-17T02:00:00.000000000,598.39,638.28146
2023-01-17T03:00:00.000000000,621.65,625.87771
2023-01-17T04:00:00.000000000,634.54,624.83394
2023-01-17T05:00:00.000000000,640.9,638.67198
2023-01-17T06:00:00.000000000,637.48,636.23481
2023-01-17T07:00:00.000000000,633.99,638.24336
2023-01-17T08:00:00.000000000,632.73,625.99127
2023-01-17T09:00:00.000000000,644.8,627.86797
2023-01-17T10:00:00.000000000,666.4,638.91705
2023-01-17T11:00:00.000000000,672.46,625.22623
2023-01-17T12:00:00.000000000,648.0,640.73162
2023-01-17T13:00:00.000000000,616.41,639.11825
2023-01-17T14:00:00.000000000,627.77,628.4483
2023-01-17T15:00:00.000000000,600.12,622.77493
2023-01-17T16:00:00.000000000,609.2,644.72347
2023-01-17T17:00:00.000000000,619.84,617.70859
2023-01-17T18:00:00.000000000,643.01,623.82362
2023-01-17T19:00:00.000000000,651.41,644.97177
2023-01-17T20:00:00.000000000,665.8,656.05778
2023-01-17T21:00:00.000000000,674.35,647.97402
2023-01-17T22:00:00.000000000,694.51,627.68096
2023-01-17T23:00:00.000000000,701.69,637.19254
2023-01-18T00:00:00.000000000,690.99,651.64476
2023-01-18T01:00:00.000000000,684.03,644.76225
2023-01-18T02:00:00.000000000,680.7,645.85901
2023-01-18T03:00:00.000000000,663.49,637.60141
2023-01-18T04:00:00.000000000,655.39,634.38846
2023-01-18T05:00:00.000000000,709.3,639.46039
2023-01-18T06:00:00.000000000,722.74,644.73685
2023-01-18T07:00:00.000000000,739.33,648.98599
2023-01-18T08:00:00.000000000,696.25,633.39348
2023-01-18T09:00:00.000000000,647.98,629.53799
2023-01-18T10:00:00.000000000,651.96,639.77646
2023-01-18T11:00:00.000000000,641.37,624.25085
2023-01-18T12:00:00.000000000,650.79,639.94696
2023-01-18T13:00:00.000000000,635.47,637.77567
2023-01-18T14:00:00.000000000,633.38,627.26012
2023-01-18T15:00:00.000000000,610.92,628.14653
2023-01-18T16:00:00.000000000,605.15,643.90721
2023-01-18T17:00:00.000000000,622.46,613.51772
2023-01-18T18:00:00.000000000,683.7,616.82913
2023-01-18T19:00:00.000000000,704.02,640.9702
2023-01-18T20:00:00.000000000,663.37,641.59105
2023-01-18T21:00:00.000000000,647.4,638.33917
2023-01-18T22:00:00.000000000,629.03,617.58169
2023-01-18T23:00:00.000000000,592.53,630.41092
2023-01-13T00:00:00.000000000,595.1,628.21198
2023-01-13T01:00:00.000000000,574.24,596.01939
2023-01-13T02:00:00.000000000,577.53,606.20005
2023-01-13T03:00:00.000000000,573.54,604.15124
2023-01-13T04:00:00.000000000,582.9,607.30416
2023-01-13T05:00:00.000000000,592.61,617.12646
2023-01-13T06:00:00.000000000,585.75,625.30899
2023-01-13T07:00:00.000000000,596.66,606.54144
2023-01-13T08:00:00.000000000,614.26,612.75057
2023-01-13T09:00:00.000000000,616.77,654.07179
2023-01-13T10:00:00.000000000,614.89,655.00779
2023-01-13T11:00:00.000000000,638.31,650.69508
2023-01-13T12:00:00.000000000,657.62,674.85497
2023-01-13T13:00:00.000000000,650.71,658.73027
2023-01-13T14:00:00.000000000,654.87,665.44893
2023-01-13T15:00:00.000000000,666.34,649.52485
2023-01-13T16:00:00.000000000,674.21,675.32439
2023-01-13T17:00:00.000000000,681.14,690.59486
2023-01-13T18:00:00.000000000,680.38,694.96959
2023-01-13T19:00:00.000000000,681.82,701.55763
2023-01-13T20:00:00.000000000,677.13,715.12135
2023-01-13T21:00:00.000000000,681.78,711.78544
2023-01-13T22:00:00.000000000,682.97,691.3617
2023-01-13T23:00:00.000000000,680.94,683.78323
2023-01-14T00:00:00.000000000,676.88,648.93625
2023-01-14T01:00:00.000000000,677.34,633.83975
2023-01-14T02:00:00.000000000,673.09,637.30275
2023-01-14T03:00:00.000000000,670.01,630.685
2023-01-14T04:00:00.000000000,665.26,629.6724
2023-01-14T05:00:00.000000000,660.47,638.61644
2023-01-14T06:00:00.000000000,647.87,641.35707
2023-01-14T07:00:00.000000000,642.28,641.24676
2023-01-14T08:00:00.000000000,638.78,627.62625
2023-01-14T09:00:00.000000000,615.54,635.64768
2023-01-14T10:00:00.000000000,602.7,644.46566
2023-01-14T11:00:00.000000000,594.71,629.77729
2023-01-14T12:00:00.000000000,579.98,646.09833
2023-01-14T13:00:00.000000000,575.54,642.73812
2023-01-14T14:00:00.000000000,559.94,631.83722
2023-01-14T15:00:00.000000000,570.92,629.95583
2023-01-14T16:00:00.000000000,597.37,647.29995
2023-01-14T17:00:00.000000000,615.88,624.02471
2023-01-14T18:00:00.000000000,624.9,626.72025
2023-01-14T19:00:00.000000000,578.26,650.26352
2023-01-14T20:00:00.000000000,547.83,656.87723
2023-01-14T21:00:00.000000000,556.68,650.97849
2023-01-14T22:00:00.000000000,555.48,629.46942
2023-01-14T23:00:00.000000000,545.87,638.95708
2023-01-15T00:00:00.000000000,561.8,641.75387
2023-01-15T01:00:00.000000000,575.95,621.75099
2023-01-15T02:00:00.000000000,586.91,625.20638
2023-01-15T03:00:00.000000000,593.05,622.96158
2023-01-15T04:00:00.000000000,599.43,624.2792
2023-01-15T05:00:00.000000000,588.19,640.94387
2023-01-15T06:00:00.000000000,588.13,637.73899
2023-01-15T07:00:00.000000000,575.1,632.63408
2023-01-15T08:00:00.000000000,575.64,627.55018
2023-01-15T09:00:00.000000000,582.4,642.73932
2023-01-15T10:00:00.000000000,581.91,652.46612
2023-01-15T11:00:00.000000000,592.39,638.94488
2023-01-15T12:00:00.000000000,589.31,649.89125
2023-01-15T13:00:00.000000000,600.27,652.97752
2023-01-15T14:00:00.000000000,607.85,639.56362
2023-01-15T15:00:00.000000000,613.64,634.52773
2023-01-15T16:00:00.000000000,630.1,649.55651
2023-01-15T17:00:00.000000000,629.98,646.49101
2023-01-15T18:00:00.000000000,628.33,646.14114
2023-01-15T19:00:00.000000000,626.99,662.35693
2023-01-15T20:00:00.000000000,628.41,676.39589
2023-01-15T21:00:00.000000000,589.3,666.82714
2023-01-15T22:00:00.000000000,562.97,651.02209
2023-01-15T23:00:00.000000000,556.61,655.67536
2023-01-16T00:00:00.000000000,564.37,647.12522
2023-01-16T01:00:00.000000000,560.81,629.61298
2023-01-16T02:00:00.000000000,540.54,632.58593
2023-01-16T03:00:00.000000000,533.74,630.85475
2023-01-16T04:00:00.000000000,528.62,629.18727
2023-01-16T05:00:00.000000000,521.55,641.18827
2023-01-16T06:00:00.000000000,521.69,642.60249
2023-01-16T07:00:00.000000000,506.35,639.743
2023-01-16T08:00:00.000000000,492.74,628.45066
2023-01-16T09:00:00.000000000,466.27,640.12714
2023-01-16T10:00:00.000000000,467.03,649.88422
2023-01-16T11:00:00.000000000,496.74,635.08503
2023-01-16T12:00:00.000000000,523.13,648.50317
2023-01-16T13:00:00.000000000,544.29,647.22078
2023-01-16T14:00:00.000000000,566.21,634.06198
2023-01-16T15:00:00.000000000,588.68,633.20903
2023-01-16T16:00:00.000000000,577.71,647.03666
2023-01-16T17:00:00.000000000,580.32,631.60182
2023-01-16T18:00:00.000000000,592.56,631.42322
2023-01-16T19:00:00.000000000,615.76,653.45827
2023-01-16T20:00:00.000000000,604.39,662.35012
2023-01-16T21:00:00.000000000,590.96,655.25082
2023-01-16T22:00:00.000000000,587.32,636.33995
2023-01-16T23:00:00.000000000,582.84,643.49876
2023-01-17T00:00:00.000000000,611.21,648.33873
2023-01-17T01:00:00.000000000,603.67,634.82732
2023-01-17T02:00:00.000000000,598.39,638.53751
2023-01-17T03:00:00.000000000,621.65,626.20082
2023-01-17T04:00:00.000000000,634.54,624.87215
2023-01-17T05:00:00.000000000,640.9,638.73312
2023-01-17T06:00:00.000000000,637.48,636.31958
2023-01-17T07:00:00.000000000,633.99,638.52195
2023-01-17T08:00:00.000000000,632.73,626.15887
2023-01-17T09:00:00.000000000,644.8,627.29135
2023-01-17T10:00:00.000000000,666.4,638.62429
2023-01-17T11:00:00.000000000,672.46,624.89481
2023-01-17T12:00:00.000000000,648.0,640.23402
2023-01-17T13:00:00.000000000,616.41,638.76918
2023-01-17T14:00:00.000000000,627.77,628.08107
2023-01-17T15:00:00.000000000,600.12,622.45117
2023-01-17T16:00:00.000000000,609.2,644.35358
2023-01-17T17:00:00.000000000,619.84,617.0226
2023-01-17T18:00:00.000000000,643.01,623.07689
2023-01-17T19:00:00.000000000,651.41,644.17121
2023-01-17T20:00:00.000000000,665.8,655.1178
2023-01-17T21:00:00.000000000,674.35,647.09897
2023-01-17T22:00:00.000000000,694.51,626.97742
2023-01-17T23:00:00.000000000,701.69,636.63025
2023-01-18T00:00:00.000000000,690.99,651.59451
2023-01-18T01:00:00.000000000,684.03,645.02711
2023-01-18T02:00:00.000000000,680.7,646.00463
2023-01-18T03:00:00.000000000,663.49,637.8523
2023-01-18T04:00:00.000000000,655.39,634.33435
2023-01-18T05:00:00.000000000,709.3,639.4947
2023-01-18T06:00:00.000000000,722.74,644.73853
2023-01-18T07:00:00.000000000,739.33,649.11832
