,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_wind_production_forecast,avg_solar_production_forecast,avg_coal_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_other_production_forecast
13128,2021-07-01 00:00:00,402.21,41541,54242,30519,1090,2422,16,856,2780,3.91548956723506,294.910259175684,292.335417380689,354.754270817454,4.57415896168958,3466.6335,0,37110.027,1123.82,44781.887,31265.254,112.36981,2255.7551
13129,2021-07-01 01:00:00,405.33,41308,51257,30552,864,1340,7,860,2578,3.71609657421149,292.830725910504,291.285477167801,10.3667944159788,2.0677819016404,2819.276,31.62482,35962.78,840.395,42009.04,31243.193,109.715004,1984.415
13130,2021-07-01 02:00:00,403.6,39991,46643,30563,621,449,7,967,1296,3.71609657421149,292.830725910504,291.285477167801,10.3667944159788,2.0677819016404,2815.2004,73.70107,34464.266,641.7448,39523.56,31270.586,109.25888,1577.3655
13131,2021-07-01 03:00:00,398.23,37954,41942,30620,358,375,7,961,1012,3.71609657421149,292.830725910504,291.285477167801,10.3667944159788,2.0677819016404,2820.8936,0,31969.71,539.939,37114.082,31279.89,115.68199,1210.0255
13132,2021-07-01 04:00:00,401.77,39116,42001,30555,562,399,9,956,832,3.55337504178229,291.548006892657,290.334064207279,5.18348154807444,3.73527639553042,2757.5347,0,29709.152,587.43744,33255.125,31270.807,119.26132,1059.6663
13133,2021-07-01 05:00:00,386.31,34304,34472,30735,94,374,7,1021,826,3.55337504178229,291.548006892657,290.334064207279,5.18348154807444,3.73527639553042,2671.877,0,27667.729,600.1249,31908.873,31292.557,116.36557,995.8385
13134,2021-07-01 06:00:00,376.65,31728,33285,30802,95,384,7,949,815,3.55337504178229,291.548006892657,290.334064207279,5.18348154807444,3.73527639553042,2566.5222,15.13179,25781.729,473.32355,29947.078,31288.273,118.40852,1049.486
13135,2021-07-01 07:00:00,370.79,30106,32464,30797,96,394,7,784,800,3.41965447470516,290.601025112165,289.436209176619,0,1.53985168997805,2502.6733,40.29991,25824.277,519.24097,29504.684,31280.904,117.746506,1076.6978
13136,2021-07-01 08:00:00,369.4,29785,32149,30846,94,405,7,732,781,3.41965447470516,290.601025112165,289.436209176619,0,1.53985168997805,2360.7122,0,25053.61,585.2831,29105.775,31270.502,114.02337,989.0545
13137,2021-07-01 09:00:00,370.1,30129,32294,30903,91,422,7,844,784,3.41965447470516,290.601025112165,289.436209176619,0,1.53985168997805,2294.9897,0,24763.803,606.9791,30221.424,31254.252,103.61872,999.9356
13138,2021-07-01 10:00:00,370.01,30534,33744,30940,90,786,38,866,795,3.57989797374816,291.034031907724,289.626491091544,19.2702415475187,3.00159148474297,2410.3225,0,24871.523,606.09924,31056.184,31268.9,105.833855,1033.443
13139,2021-07-01 11:00:00,373.61,32136,37325,30694,90,948,885,803,832,3.57989797374816,291.034031907724,289.626491091544,19.2702415475187,3.00159148474297,2349.7668,55.38277,26000.486,616.7358,33789.715,31314.994,100.16005,1154.5867
13140,2021-07-01 12:00:00,372.12,33158,38435,30678,89,948,1693,1551,950,3.57989797374816,291.034031907724,289.626491091544,19.2702415475187,3.00159148474297,1867.9803,466.90259,26706.96,667.6759,34974.992,31279.047,92.57777,1211.336
13141,2021-07-01 13:00:00,372.42,33984,41147,30765,89,964,2020,1922,1036,4.37407358070465,293.729053370233,289.453231852547,334.733765093102,1.26155473731802,2149.5364,912.04396,27660.514,819.1895,37438.688,31260.61,93.54668,1407.7262
13142,2021-07-01 14:00:00,378.13,34721,43981,30814,127,846,2163,1628,2538,4.37407358070465,293.729053370233,289.453231852547,334.733765093102,1.26155473731802,1991.7421,1191.66504,29486.08,815.2083,40752.89,31274.107,93.44582,1624.8124
13143,2021-07-01 15:00:00,378.54,35264,47345,30846,145,1450,2174,1358,2602,4.37407358070465,293.729053370233,289.453231852547,334.733765093102,1.26155473731802,1888.4829,1323.79199,31466.375,977.5178,42964.6,31342.543,97.58819,1819.7327
13144,2021-07-01 16:00:00,370.61,35010,48785,30980,86,3010,2020,2137,2599,4.67039920691024,295.994059529196,288.670596534679,495.29758297093,2.51781298060615,2305.6099,1447.43581,32050.094,1670.382,46937.15,31282.307,102.01805,1908.1006
13145,2021-07-01 17:00:00,368.48,34943,49769,31048,136,3667,1956,2092,2527,4.67039920691024,295.994059529196,288.670596534679,495.29758297093,2.51781298060615,2536.0388,1499.95673,32764.566,2536.893,47998.54,31217.338,108.66924,1939.3978
13146,2021-07-01 18:00:00,364.64,34435,50561,31083,145,3969,1840,2668,2536,4.67039920691024,295.994059529196,288.670596534679,495.29758297093,2.51781298060615,2769.5686,1530.94693,33785.91,3237.2937,49589.395,31235.428,110.28327,1967.9235
13147,2021-07-01 19:00:00,360.07,33465,49811,31089,127,4039,1796,3211,2642,4.51273020116826,296.132374763966,288.233240178837,643.559076613482,1.36101075613073,2915.3008,1469.16305,34433.816,3815.1565,49195.324,31222.572,100.853035,1970.3711
13148,2021-07-01 20:00:00,362,33756,49646,31178,246,3842,1221,3586,2698,4.51273020116826,296.132374763966,288.233240178837,643.559076613482,1.36101075613073,3074.4812,1320.36992,33106.133,4036.8032,48875.977,31255.146,104.01738,2065.1362
13149,2021-07-01 21:00:00,365.41,33951,49348,31264,268,3346,796,3377,2567,4.51273020116826,296.132374763966,288.233240178837,643.559076613482,1.36101075613073,3367.465,1066.46313,34950.83,3661.5486,48968.875,31279.898,106.54543,2099.2844
13150,2021-07-01 22:00:00,366.31,33544,48309,31256,122,2866,712,3274,2732,3.56974812767596,293.334974148465,288.82481626217,470.874602221644,2.48433481157885,3335.1855,645.51817,34267.523,2700.7832,47694.9,31241.213,112.53423,2072.957
13151,2021-07-01 23:00:00,372.96,33568,46583,31289,74,783,238,3586,2626,3.56974812767596,293.334974148465,288.82481626217,470.874602221644,2.48433481157885,3368.4302,207.27261,33881.203,1920.6263,46174.574,31293.627,114.4522,2033.967
13152,2021-07-02 00:00:00,371.8,32734,43976,31341,74,844,54,3170,2632,3.56974812767596,293.334974148465,288.82481626217,470.874602221644,2.48433481157885,2211.6643,35.05962,27768.133,1590.9464,41192.703,31809.771,107.174805,1484.2506
13153,2021-07-02 01:00:00,368.19,31800,41780,31384,75,752,7,3035,2001,2.99723629125569,290.125318039033,287.403529301186,14.2225028967283,0.689001940770941,1836.8677,7.55664,26737.205,1085.863,38137.61,31795.223,103.72447,1379.2609
13154,2021-07-02 02:00:00,365.54,31348,38164,31423,78,573,7,2906,1060,2.99723629125569,290.125318039033,287.403529301186,14.2225028967283,0.689001940770941,1875.6367,57.02956,25832.598,710.73425,35976.08,31826.846,103.468346,1185.656
13155,2021-07-02 03:00:00,357.61,29337,34739,31452,78,570,7,2614,688,2.99723629125569,290.125318039033,287.403529301186,14.2225028967283,0.689001940770941,1947.8479,20.76786,23805.023,502.01962,33853.555,31830.104,109.851494,943.77374
13156,2021-07-02 04:00:00,392.98,36157,36518,30672,92,373,7,1003,905,2.72015975306065,288.705846047167,286.443696332375,7.11125751703466,1.18016151549624,1980.3525,0,21999.402,565.7063,30047.672,31821.94,111.98295,795.2163
13157,2021-07-02 05:00:00,336.99,24832,28963,31582,83,492,7,2421,676,2.72015975306065,288.705846047167,286.443696332375,7.11125751703466,1.18016151549624,1937.0526,5.42602,20316.73,616.17267,28674.625,31839.678,110.4798,752.8376
13158,2021-07-02 06:00:00,332.67,24002,28058,31624,84,513,7,2348,676,2.72015975306065,288.705846047167,286.443696332375,7.11125751703466,1.18016151549624,1817.39,18.6138,18761.516,534.6173,27052.725,31836.775,112.04843,827.39014
13159,2021-07-02 07:00:00,326.42,22954,26375,31662,84,516,7,2368,684,2.6810284203228,287.737685685843,285.709382605815,0,0.237126215045056,1949.7112,19.58619,18697.441,631.55176,26832.393,31830.973,111.931595,864.6062
13160,2021-07-02 08:00:00,323.53,22295,27042,31691,84,481,7,2343,694,2.6810284203228,287.737685685843,285.709382605815,0,0.237126215045056,1848.1493,0,18270.023,617.0162,26370.764,31811.283,109.667625,827.3485
13161,2021-07-02 09:00:00,324.04,22463,27510,31724,82,490,7,2458,689,2.6810284203228,287.737685685843,285.709382605815,0,0.237126215045056,1905.271,0,17807.557,594.072,27870.799,31798.635,105.31281,844.4357
13162,2021-07-02 10:00:00,326.91,22921,28532,31745,83,526,12,2390,694,2.81603065307875,289.373472721915,286.361837380404,25.4541968690515,0.423673811150132,1949.017,11.47904,17762.467,675.8119,28590.512,31818.33,107.98717,887.5024
13163,2021-07-02 11:00:00,330.39,23174,31539,31748,85,491,215,1990,690,2.81603065307875,289.373472721915,286.361837380404,25.4541968690515,0.423673811150132,1931.7373,193.68404,18843.902,777.9523,31526.027,31854.326,106.9288,987.1193
13164,2021-07-02 12:00:00,339.19,24615,34860,31736,87,588,481,1385,674,2.81603065307875,289.373472721915,286.361837380404,25.4541968690515,0.423673811150132,1741.2369,563.67577,19484.44,743.0532,32599.111,31824.387,102.69817,1034.1534
13165,2021-07-02 13:00:00,344.61,25751,36883,31741,87,569,529,1388,680,3.68161645665264,293.966171215012,286.601407665888,463.848535320683,0.10580596401602,1878.4646,992.02525,20398.969,831.39233,35155.938,31799.594,104.98811,1158.1443
13166,2021-07-02 14:00:00,346.19,26021,38354,31749,88,674,732,1269,1010,3.68161645665264,293.966171215012,286.601407665888,463.848535320683,0.10580596401602,1789.3755,1323.56512,21907.531,816.12115,38499.855,31819.064,103.38035,1285.3116
13167,2021-07-02 15:00:00,340.69,25626,39688,31905,86,1348,1022,1495,1161,3.68161645665264,293.966171215012,286.601407665888,463.848535320683,0.10580596401602,1722.1997,1532.18906,23683.795,948.6974,40498.555,31886.807,107.56944,1437.9791
13168,2021-07-02 16:00:00,333.24,25020,40442,31954,84,2543,1203,1754,1284,3.96544607247597,296.662690699069,286.346613011306,648.792405784738,0.289156544464079,2022.9426,1650.64796,24223.459,1700.6981,44647.03,31815.918,112.68389,1546.5514
13169,2021-07-02 17:00:00,334.74,25315,42813,31901,83,2675,1372,1828,1514,3.96544607247597,296.662690699069,286.346613011306,648.792405784738,0.289156544464079,2084.1147,1602.37051,24740.89,2603.01,46184.598,31746.668,113.619835,1541.1707
13170,2021-07-02 18:00:00,334.08,24992,44364,31807,82,3170,1242,1675,1723,3.96544607247597,296.662690699069,286.346613011306,648.792405784738,0.289156544464079,2252.0332,1594.35702,25519.807,3343.717,47945.797,31766.404,112.82779,1548.9908
13171,2021-07-02 19:00:00,330.48,24765,44363,31672,81,4002,1297,1792,1692,3.87319808216339,297.362952650821,286.817183973673,779.728504507295,0.182703991207185,2326.776,1590.14579,26259.234,4034.299,47462.715,31750.902,102.355095,1527.697
13172,2021-07-02 20:00:00,330.37,24888,44975,31672,79,4413,1201,1736,1680,3.87319808216339,297.362952650821,286.817183973673,779.728504507295,0.182703991207185,2514.1267,1512.49776,24765.31,4380.496,47556.03,31786.62,102.5834,1588.2844
13173,2021-07-02 21:00:00,333.71,25392,45638,31757,78,4069,1035,1776,1689,3.87319808216339,297.362952650821,286.817183973673,779.728504507295,0.182703991207185,2767.3142,1328.08852,26148.736,4141.883,47818.46,31822.324,103.469475,1641.8513
13174,2021-07-02 22:00:00,336.37,25645,44805,31822,80,3455,724,1996,1698,2.7717538137977,294.622011963076,289.084039817412,565.93229608254,0.335223275448597,2767.358,1020.46319,25302.785,3222.2524,46082.16,31778.088,104.93966,1633.2354
13175,2021-07-02 23:00:00,342.93,25845,42962,31856,81,1891,410,1794,1642,2.7717538137977,294.622011963076,289.084039817412,565.93229608254,0.335223275448597,2606.2063,634.35646,24808.674,2434.2605,44916.5,31830.354,104.82847,1642.0049
13176,2021-07-03 00:00:00,340.11,25289,39265,31929,83,1820,22,1598,985,2.7717538137977,294.622011963076,289.084039817412,565.93229608254,0.335223275448597,2516.088,4.1264,25874.33,2902.2104,36403.88,31951.393,141.59029,1180.4304
13177,2021-07-03 01:00:00,338.45,24974,37334,31974,84,1309,7,1888,821,2.38257902008396,291.323103797644,287.404668659362,14.1267455147413,0.088789949740616,2170.3342,31.62914,24001.436,1771.3591,33627.773,31950.832,137.8234,1071.6753
13178,2021-07-03 02:00:00,334.92,24144,34367,31998,84,865,7,1869,668,2.38257902008396,291.323103797644,287.404668659362,14.1267455147413,0.088789949740616,2040.7341,95.93969,22456.457,855.27094,32988.996,32000.879,137.71649,891.035
13179,2021-07-03 03:00:00,322.56,22081,29077,31994,85,927,7,1807,628,2.38257902008396,291.323103797644,287.404668659362,14.1267455147413,0.088789949740616,2264.7842,0,20827.346,407.93594,30745.814,32021.174,144.0773,711.52637
13180,2021-07-03 04:00:00,343.45,26136,30423,31508,81,492,7,2525,693,2.41336950534358,290.323735429138,287.09678277726,7.06343986239514,0.133064152239064,2358.997,0,19223.662,463.567,27218.545,32012.863,145.36632,629.01715
13181,2021-07-03 05:00:00,309.94,19576,24529,32044,88,587,7,1144,672,2.41336950534358,290.323735429138,287.09678277726,7.06343986239514,0.133064152239064,2307.3694,0,17572.959,487.35703,26452.078,32023.793,143.02107,621.32874
13182,2021-07-03 06:00:00,307.08,19186,22734,32062,88,588,7,927,686,2.41336950534358,290.323735429138,287.09678277726,7.06343986239514,0.133064152239064,2144.244,0,16869.889,338.51242,24791.629,32012.766,144.01877,683.1347
13183,2021-07-03 07:00:00,301.5,18329,21346,32065,86,614,7,689,687,2.35329470005148,289.573850906061,286.836035286755,0,0.015206456323215,2065.6907,50.98373,16591.252,357.7367,23496.664,32033.646,142.78038,722.5363
13184,2021-07-03 08:00:00,298.22,17919,20104,32076,85,571,7,612,701,2.35329470005148,289.573850906061,286.836035286755,0,0.015206456323215,1865.7397,27.08978,16695.281,345.34695,22768.615,32008.307,140.65257,715.5829
13185,2021-07-03 09:00:00,297.31,17796,20185,32092,85,597,7,630,713,2.35329470005148,289.573850906061,286.836035286755,0,0.015206456323215,1781.6554,0,16397.354,375.21124,23316.58,31979.623,138.41576,775.9506
13186,2021-07-03 10:00:00,297.25,18025,19246,32102,86,588,18,766,718,2.17175212630999,291.656332418341,288.055167458075,31.0006470962344,0.034440028075864,1651.7112,37.75034,17174.252,359.1697,23131.088,31994.68,138.0485,830.26483
13187,2021-07-03 11:00:00,296.41,18407,20059,32088,89,611,626,1191,761,2.17175212630999,291.656332418341,288.055167458075,31.0006470962344,0.034440028075864,1546.4751,545.03517,17882.49,445.3063,26281.213,32025.055,137.63354,912.5654
13188,2021-07-03 12:00:00,296.25,18908,22572,32092,88,615,1767,1532,803,2.17175212630999,291.656332418341,288.055167458075,31.0006470962344,0.034440028075864,1108.3306,1369.83644,18553.705,465.25977,28177.44,32008.697,133.17236,949.6055
13189,2021-07-03 13:00:00,303.03,19647,25066,32071,89,655,2105,1094,811,2.51559546013042,296.952302702085,289.245577249897,505.276150313096,0.016078524829811,746.2118,2025.87015,20210.812,633.64526,31111.145,31981.885,135.6446,1063.7992
13190,2021-07-03 14:00:00,303.89,19636,27842,32069,87,763,2320,1122,803,2.51559546013042,296.952302702085,289.245577249897,505.276150313096,0.016078524829811,810.14215,2271.54333,21009.25,600.5063,34876.26,31999.86,134.26187,1168.7556
13191,2021-07-03 15:00:00,306.73,20044,30308,32037,85,825,2368,1634,1102,2.51559546013042,296.952302702085,289.245577249897,505.276150313096,0.016078524829811,636.45825,2342.52025,23090.11,581.0682,37589.453,32073.232,139.29277,1275.6598
13192,2021-07-03 16:00:00,311.56,20637,31975,32026,83,815,2296,1534,1116,2.69300709630944,299.819155452042,289.552546005898,682.255184323952,0.067814286590863,795.30524,2470.74883,23941.479,934.6834,39767.594,31984.635,144.80585,1332.9628
