,Solar,Wind Offshore,Wind Onshore
2019-01-01 01:00:00+01:00,0.0,557.0,267.0
2019-01-01 02:00:00+01:00,0.0,599.0,299.0
2019-01-01 03:00:00+01:00,0.0,659.0,330.0
2019-01-01 04:00:00+01:00,0.0,688.0,354.0
2019-01-01 05:00:00+01:00,0.0,694.0,361.0
2019-01-01 06:00:00+01:00,0.0,734.0,365.0
2019-01-01 07:00:00+01:00,0.0,766.0,374.0
2019-01-01 08:00:00+01:00,1.0,768.0,388.0
2019-01-01 09:00:00+01:00,24.0,751.0,403.0
2019-01-01 10:00:00+01:00,72.0,715.0,428.0
2019-01-01 11:00:00+01:00,113.0,711.0,461.0
2019-01-01 12:00:00+01:00,133.0,751.0,483.0
2019-01-01 13:00:00+01:00,137.0,775.0,480.0
2019-01-01 14:00:00+01:00,113.0,799.0,476.0
2019-01-01 15:00:00+01:00,55.0,853.0,490.0
2019-01-01 16:00:00+01:00,7.0,910.0,513.0
2019-01-01 17:00:00+01:00,0.0,964.0,536.0
2019-01-01 18:00:00+01:00,0.0,1010.0,553.0
2019-01-01 19:00:00+01:00,0.0,1034.0,566.0
2019-01-01 20:00:00+01:00,0.0,1037.0,580.0
2019-01-01 21:00:00+01:00,0.0,1028.0,586.0
2019-01-01 22:00:00+01:00,0.0,1016.0,585.0
2019-01-01 23:00:00+01:00,0.0,1011.0,584.0
2019-01-02 00:00:00+01:00,0.0,967.0,566.0
2019-01-02 01:00:00+01:00,0.0,973.0,561.0
2019-01-02 02:00:00+01:00,0.0,985.0,554.0
2019-01-02 03:00:00+01:00,0.0,995.0,554.0
2019-01-02 04:00:00+01:00,0.0,1004.0,564.0
2019-01-02 05:00:00+01:00,0.0,1011.0,573.0
2019-01-02 06:00:00+01:00,0.0,1017.0,575.0
2019-01-02 07:00:00+01:00,0.0,1017.0,573.0
2019-01-02 08:00:00+01:00,1.0,1001.0,557.0
2019-01-02 09:00:00+01:00,71.0,968.0,530.0
2019-01-02 10:00:00+01:00,277.0,928.0,512.0
2019-01-02 11:00:00+01:00,402.0,869.0,495.0
2019-01-02 12:00:00+01:00,466.0,800.0,475.0
2019-01-02 13:00:00+01:00,426.0,745.0,447.0
2019-01-02 14:00:00+01:00,325.0,684.0,399.0
2019-01-02 15:00:00+01:00,189.0,616.0,348.0
2019-01-02 16:00:00+01:00,31.0,553.0,312.0
2019-01-02 17:00:00+01:00,0.0,490.0,291.0
2019-01-02 18:00:00+01:00,0.0,436.0,279.0
2019-01-02 19:00:00+01:00,0.0,398.0,262.0
2019-01-02 20:00:00+01:00,0.0,368.0,239.0
2019-01-02 21:00:00+01:00,0.0,332.0,213.0
2019-01-02 22:00:00+01:00,0.0,299.0,185.0
2019-01-02 23:00:00+01:00,0.0,280.0,159.0
2019-01-03 00:00:00+01:00,0.0,320.0,128.0
2019-01-03 01:00:00+01:00,0.0,327.0,120.0
2019-01-03 02:00:00+01:00,0.0,310.0,110.0
2019-01-03 03:00:00+01:00,0.0,293.0,105.0
2019-01-03 04:00:00+01:00,0.0,288.0,111.0
2019-01-03 05:00:00+01:00,0.0,282.0,119.0
2019-01-03 06:00:00+01:00,0.0,294.0,120.0
2019-01-03 07:00:00+01:00,0.0,315.0,113.0
2019-01-03 08:00:00+01:00,1.0,310.0,106.0
2019-01-03 09:00:00+01:00,64.0,285.0,102.0
2019-01-03 10:00:00+01:00,190.0,259.0,100.0
2019-01-03 11:00:00+01:00,257.0,228.0,96.0
2019-01-03 12:00:00+01:00,278.0,206.0,92.0
2019-01-03 13:00:00+01:00,271.0,192.0,89.0
2019-01-03 14:00:00+01:00,232.0,177.0,88.0
2019-01-03 15:00:00+01:00,133.0,177.0,90.0
2019-01-03 16:00:00+01:00,22.0,199.0,97.0
2019-01-03 17:00:00+01:00,0.0,219.0,110.0
2019-01-03 18:00:00+01:00,0.0,227.0,122.0
2019-01-03 19:00:00+01:00,0.0,220.0,129.0
2019-01-03 20:00:00+01:00,0.0,199.0,127.0
2019-01-03 21:00:00+01:00,0.0,170.0,118.0
2019-01-03 22:00:00+01:00,0.0,139.0,104.0
2019-01-03 23:00:00+01:00,0.0,114.0,94.0
2019-01-04 00:00:00+01:00,0.0,95.0,79.0
2019-01-04 01:00:00+01:00,0.0,94.0,75.0
2019-01-04 02:00:00+01:00,0.0,103.0,75.0
2019-01-04 03:00:00+01:00,0.0,121.0,81.0
2019-01-04 04:00:00+01:00,0.0,161.0,92.0
2019-01-04 05:00:00+01:00,0.0,215.0,107.0
2019-01-04 06:00:00+01:00,0.0,259.0,120.0
2019-01-04 07:00:00+01:00,0.0,275.0,130.0
2019-01-04 08:00:00+01:00,1.0,276.0,139.0
2019-01-04 09:00:00+01:00,110.0,279.0,151.0
2019-01-04 10:00:00+01:00,301.0,271.0,174.0
2019-01-04 11:00:00+01:00,450.0,255.0,207.0
2019-01-04 12:00:00+01:00,500.0,246.0,253.0
2019-01-04 13:00:00+01:00,456.0,246.0,298.0
2019-01-04 14:00:00+01:00,352.0,265.0,326.0
2019-01-04 15:00:00+01:00,202.0,315.0,337.0
2019-01-04 16:00:00+01:00,37.0,372.0,328.0
2019-01-04 17:00:00+01:00,0.0,418.0,306.0
2019-01-04 18:00:00+01:00,0.0,442.0,284.0
2019-01-04 19:00:00+01:00,0.0,442.0,270.0
