,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
0,2023-08-31 00:00:00,2023-09-03 15:38:40,3.0,269.58,246.0,1859.0,980.0,158.0,2.0,0.0
1,2023-08-31 01:00:00,2023-09-03 15:38:40,3.0,269.27,246.0,1809.0,979.0,146.0,0.0,0.0
2,2023-08-31 02:00:00,2023-09-03 15:38:40,3.0,277.76,248.0,1793.0,982.0,44.0,0.0,0.0
3,2023-08-31 03:00:00,2023-09-03 15:38:40,3.0,277.96,248.0,1715.0,977.0,21.0,0.0,0.0
4,2023-08-31 04:00:00,2023-09-03 15:38:40,3.0,266.71,247.0,1405.0,980.0,21.0,0.0,0.0
5,2023-08-31 05:00:00,2023-09-03 15:38:40,3.0,267.28,247.0,1412.0,979.0,19.0,0.0,0.0
6,2023-08-31 06:00:00,2023-09-03 15:38:40,3.0,265.12,248.0,1350.0,979.0,18.0,0.0,0.0
7,2023-08-31 07:00:00,2023-09-03 15:38:40,3.0,264.81,245.0,1364.0,980.0,20.0,0.0,0.0
8,2023-08-31 08:00:00,2023-09-03 15:38:40,3.0,266.81,246.0,1410.0,980.0,20.0,0.0,0.0
9,2023-08-31 09:00:00,2023-09-03 15:38:40,3.0,269.15,248.0,1459.0,980.0,19.0,0.0,0.0
10,2023-08-31 10:00:00,2023-09-03 15:38:40,3.0,270.7,250.0,1486.0,979.0,18.0,0.0,0.0
11,2023-08-31 11:00:00,2023-09-03 15:38:40,3.0,269.77,250.0,1466.0,981.0,18.0,0.0,0.0
12,2023-08-31 12:00:00,2023-09-03 15:38:40,3.0,268.21,249.0,1503.0,981.0,18.0,28.0,0.0
13,2023-08-31 13:00:00,2023-09-03 15:38:40,3.0,251.86,250.0,1466.0,980.0,19.0,193.0,0.0
14,2023-08-31 14:00:00,2023-09-03 15:38:40,3.0,248.06,249.0,1583.0,981.0,18.0,293.0,0.0
15,2023-08-31 15:00:00,2023-09-03 15:38:40,3.0,242.54,249.0,1655.0,980.0,16.0,405.0,0.0
16,2023-08-31 16:00:00,2023-09-03 15:38:40,3.0,237.41,249.0,1733.0,982.0,17.0,517.0,0.0
17,2023-08-31 17:00:00,2023-09-03 15:38:40,3.0,230.47,247.0,1745.0,978.0,14.0,632.0,0.0
18,2023-08-31 18:00:00,2023-09-03 15:38:40,3.0,230.75,247.0,1880.0,981.0,13.0,707.0,0.0
19,2023-08-31 19:00:00,2023-09-03 15:38:40,3.0,232.58,248.0,1971.0,981.0,13.0,733.0,0.0
20,2023-08-31 20:00:00,2023-09-03 15:38:40,3.0,237.31,248.0,2092.0,980.0,13.0,723.0,0.0
21,2023-08-31 21:00:00,2023-09-03 15:38:40,3.0,240.37,245.0,2200.0,980.0,50.0,686.0,0.0
22,2023-08-31 22:00:00,2023-09-03 15:38:40,3.0,255.33,322.0,2199.0,980.0,90.0,554.0,0.0
23,2023-08-31 23:00:00,2023-09-03 15:38:40,3.0,281.64,443.0,2179.0,979.0,153.0,304.0,0.0
