UTC time,creation_time (UTC),version,coal,nat_gas,nuclear,hydro,solar,other
2023-08-16 00:00:00,2023-08-18 21:54:43,3.0,772.0,2276.0,981.0,88.0,19.0,0.0
2023-08-16 01:00:00,2023-08-18 21:54:43,3.0,527.0,2231.0,983.0,296.0,0.0,0.0
2023-08-16 02:00:00,2023-08-18 21:54:43,3.0,434.0,2097.0,981.0,323.0,0.0,0.0
2023-08-16 03:00:00,2023-08-18 21:54:43,3.0,441.0,1890.0,980.0,324.0,0.0,0.0
2023-08-16 04:00:00,2023-08-18 21:54:43,3.0,439.0,1673.0,981.0,213.0,0.0,0.0
2023-08-16 05:00:00,2023-08-18 21:54:43,3.0,439.0,1670.0,981.0,47.0,0.0,0.0
2023-08-16 06:00:00,2023-08-18 21:54:43,3.0,437.0,1585.0,981.0,19.0,0.0,0.0
2023-08-16 07:00:00,2023-08-18 21:54:43,3.0,431.0,1541.0,981.0,18.0,0.0,0.0
2023-08-16 08:00:00,2023-08-18 21:54:43,3.0,436.0,1569.0,982.0,15.0,0.0,0.0
2023-08-16 09:00:00,2023-08-18 21:54:43,3.0,438.0,1675.0,981.0,17.0,0.0,0.0
2023-08-16 10:00:00,2023-08-18 21:54:43,3.0,438.0,1735.0,981.0,15.0,0.0,0.0
2023-08-16 11:00:00,2023-08-18 21:54:43,3.0,439.0,1851.0,981.0,17.0,0.0,0.0
2023-08-16 12:00:00,2023-08-18 21:54:43,3.0,435.0,1874.0,983.0,17.0,52.0,0.0
2023-08-16 13:00:00,2023-08-18 21:54:43,3.0,438.0,1838.0,982.0,13.0,216.0,0.0
2023-08-16 14:00:00,2023-08-18 21:54:43,3.0,438.0,1757.0,983.0,17.0,456.0,0.0
2023-08-16 15:00:00,2023-08-18 21:54:43,3.0,438.0,1697.0,980.0,14.0,616.0,0.0
2023-08-16 16:00:00,2023-08-18 21:54:43,3.0,436.0,1725.0,983.0,17.0,723.0,0.0
2023-08-16 17:00:00,2023-08-18 21:54:43,3.0,434.0,1922.0,980.0,17.0,690.0,0.0
2023-08-16 18:00:00,2023-08-18 21:54:43,3.0,519.0,2123.0,981.0,67.0,568.0,0.0
2023-08-16 19:00:00,2023-08-18 21:54:43,3.0,681.0,2092.0,981.0,88.0,448.0,0.0
2023-08-16 20:00:00,2023-08-18 21:54:43,3.0,698.0,2218.0,981.0,87.0,336.0,0.0
2023-08-16 21:00:00,2023-08-18 21:54:43,3.0,698.0,2242.0,978.0,87.0,351.0,0.0
2023-08-16 22:00:00,2023-08-18 21:54:43,3.0,695.0,2101.0,980.0,88.0,444.0,0.0
2023-08-16 23:00:00,2023-08-18 21:54:43,3.0,668.0,2195.0,977.0,120.0,300.0,0.0
