UTC time,coal,nat_gas,nuclear,hydro,solar,other
2023-04-03 00:00:00,678.0,590.0,991.0,414.0,26.0,0.0
2023-04-03 01:00:00,687.0,592.0,991.0,442.0,0.0,0.0
2023-04-03 02:00:00,712.0,504.0,989.0,373.0,11.0,0.0
2023-04-03 03:00:00,711.0,527.0,991.0,213.0,10.0,0.0
2023-04-03 04:00:00,697.0,503.0,991.0,76.0,10.0,0.0
2023-04-03 05:00:00,631.0,512.0,993.0,33.0,11.0,0.0
2023-04-03 06:00:00,564.0,512.0,991.0,33.0,5.0,0.0
2023-04-03 07:00:00,563.0,508.0,993.0,34.0,1.0,0.0
2023-04-03 08:00:00,562.0,510.0,990.0,33.0,0.0,0.0
2023-04-03 09:00:00,589.0,529.0,991.0,33.0,0.0,0.0
2023-04-03 10:00:00,683.0,544.0,993.0,33.0,0.0,1.0
2023-04-03 11:00:00,703.0,601.0,991.0,105.0,0.0,1.0
2023-04-03 12:00:00,706.0,577.0,992.0,239.0,33.0,0.0
2023-04-03 13:00:00,607.0,588.0,990.0,142.0,267.0,0.0
2023-04-03 14:00:00,585.0,601.0,992.0,40.0,339.0,0.0
2023-04-03 15:00:00,711.0,637.0,990.0,133.0,149.0,0.0
2023-04-03 16:00:00,798.0,631.0,992.0,24.0,170.0,0.0
2023-04-03 17:00:00,808.0,616.0,989.0,23.0,221.0,0.0
2023-04-03 18:00:00,809.0,651.0,990.0,37.0,253.0,0.0
2023-04-03 19:00:00,817.0,596.0,992.0,36.0,305.0,0.0
2023-04-03 20:00:00,826.0,626.0,993.0,37.0,241.0,0.0
2023-04-03 21:00:00,837.0,617.0,990.0,38.0,169.0,0.0
2023-04-03 22:00:00,771.0,693.0,989.0,36.0,170.0,0.0
2023-04-03 23:00:00,729.0,789.0,992.0,79.0,35.0,0.0
