UTC time,oil,wind,biomass,geothermal,unknown,hydro,nat_gas,solar,coal
2023-01-01 00:00,0.0,142.0,77.0,5.0,30.0,462.0,217.0,0.0,142.0
2023-01-01 01:00,0.0,146.0,77.0,5.0,30.0,450.0,218.0,0.0,142.0
2023-01-01 02:00,0.0,146.0,77.0,5.0,30.0,436.0,218.0,0.0,142.0
2023-01-01 03:00,0.0,147.0,78.0,5.0,30.0,434.0,218.0,0.0,142.0
2023-01-01 04:00,0.0,151.0,78.0,5.0,30.0,425.0,216.0,0.0,142.0
2023-01-01 05:00,0.0,152.0,78.0,5.0,30.0,410.0,217.0,0.0,143.0
2023-01-01 06:00,0.0,158.0,77.0,5.0,30.0,437.0,218.0,1.0,143.0
2023-01-01 07:00,0.0,155.0,76.0,5.0,30.0,481.0,217.0,5.0,143.0
2023-01-01 08:00,0.0,156.0,77.0,5.0,30.0,474.0,217.0,10.0,142.0
2023-01-01 09:00,0.0,151.0,77.0,5.0,30.0,487.0,216.0,17.0,143.0
2023-01-01 10:00,0.0,150.0,77.0,5.0,30.0,490.0,215.0,21.0,141.0
2023-01-01 11:00,0.0,150.0,77.0,4.0,30.0,500.0,215.0,21.0,141.0
2023-01-01 12:00,0.0,151.0,77.0,4.0,29.0,517.0,215.0,17.0,142.0
2023-01-01 13:00,0.0,149.0,77.0,4.0,30.0,496.0,216.0,10.0,140.0
2023-01-01 14:00,0.0,141.0,77.0,5.0,30.0,627.0,217.0,3.0,140.0
2023-01-01 15:00,0.0,125.0,77.0,5.0,30.0,785.0,217.0,0.0,140.0
2023-01-01 16:00,0.0,104.0,77.0,5.0,30.0,792.0,218.0,0.0,140.0
2023-01-01 17:00,0.0,98.0,77.0,5.0,30.0,780.0,216.0,0.0,140.0
2023-01-01 18:00,0.0,99.0,78.0,5.0,30.0,776.0,217.0,0.0,141.0
2023-01-01 19:00,0.0,93.0,77.0,5.0,30.0,661.0,217.0,0.0,142.0
2023-01-01 20:00,0.0,94.0,77.0,5.0,30.0,645.0,217.0,0.0,142.0
2023-01-01 21:00,0.0,100.0,77.0,5.0,30.0,629.0,217.0,0.0,141.0
2023-01-01 22:00,0.0,115.0,77.0,5.0,30.0,596.0,216.0,0.0,140.0
2023-01-01 23:00,0.0,115.0,78.0,5.0,30.0,416.0,217.0,0.0,141.0
2023-01-02 00:00,0.0,127.0,78.0,5.0,30.0,412.0,217.0,0.0,140.0
2023-01-02 01:00,0.0,126.0,78.0,5.0,30.0,417.0,217.0,0.0,141.0
2023-01-02 02:00,0.0,122.0,77.0,5.0,30.0,418.0,217.0,0.0,142.0
2023-01-02 03:00,0.0,116.0,78.0,5.0,30.0,418.0,217.0,0.0,142.0
2023-01-02 04:00,0.0,122.0,78.0,5.0,30.0,400.0,216.0,0.0,142.0
2023-01-02 05:00,0.0,120.0,78.0,5.0,30.0,428.0,216.0,0.0,166.0
2023-01-02 06:00,0.0,114.0,77.0,5.0,30.0,603.0,216.0,1.0,185.0
2023-01-02 07:00,0.0,108.0,76.0,5.0,30.0,656.0,216.0,5.0,198.0
2023-01-02 08:00,0.0,111.0,77.0,5.0,30.0,666.0,215.0,12.0,197.0
2023-01-02 09:00,0.0,117.0,77.0,5.0,30.0,668.0,214.0,19.0,196.0
2023-01-02 10:00,0.0,124.0,77.0,5.0,30.0,626.0,213.0,22.0,199.0
2023-01-02 11:00,0.0,129.0,77.0,5.0,30.0,633.0,211.0,21.0,200.0
2023-01-02 12:00,0.0,133.0,78.0,5.0,29.0,640.0,212.0,18.0,199.0
2023-01-02 13:00,0.0,130.0,78.0,5.0,30.0,640.0,213.0,11.0,199.0
2023-01-02 14:00,0.0,125.0,78.0,5.0,30.0,663.0,213.0,3.0,199.0
2023-01-02 15:00,0.0,117.0,77.0,5.0,30.0,704.0,215.0,0.0,199.0
2023-01-02 16:00,0.0,111.0,77.0,5.0,30.0,764.0,215.0,0.0,199.0
2023-01-02 17:00,0.0,120.0,77.0,5.0,30.0,765.0,216.0,0.0,200.0
2023-01-02 18:00,0.0,131.0,78.0,5.0,30.0,763.0,219.0,0.0,200.0
2023-01-02 19:00,0.0,132.0,77.0,5.0,30.0,791.0,219.0,0.0,200.0
2023-01-02 20:00,0.0,129.0,77.0,5.0,30.0,689.0,219.0,0.0,200.0
2023-01-02 21:00,0.0,128.0,77.0,5.0,30.0,632.0,218.0,0.0,199.0
2023-01-02 22:00,0.0,115.0,77.0,5.0,30.0,547.0,218.0,0.0,200.0
2023-01-02 23:00,0.0,106.0,79.0,5.0,29.0,400.0,218.0,0.0,200.0
2023-01-03 00:00,0.0,96.0,79.0,5.0,29.0,403.0,217.0,0.0,201.0
2023-01-03 01:00,0.0,121.0,79.0,5.0,29.0,401.0,217.0,0.0,201.0
2023-01-03 02:00,0.0,119.0,79.0,5.0,29.0,405.0,218.0,0.0,200.0
2023-01-03 03:00,0.0,94.0,79.0,5.0,29.0,406.0,218.0,0.0,201.0
2023-01-03 04:00,0.0,63.0,79.0,6.0,29.0,404.0,217.0,0.0,200.0
2023-01-03 05:00,0.0,44.0,79.0,6.0,29.0,449.0,217.0,0.0,201.0
2023-01-03 06:00,0.0,24.0,78.0,6.0,29.0,714.0,217.0,1.0,199.0
2023-01-03 07:00,0.0,17.0,78.0,6.0,29.0,761.0,217.0,4.0,201.0
2023-01-03 08:00,0.0,13.0,78.0,6.0,29.0,756.0,217.0,9.0,200.0
2023-01-03 09:00,0.0,7.0,79.0,5.0,29.0,763.0,216.0,14.0,200.0
2023-01-03 10:00,0.0,13.0,79.0,5.0,30.0,709.0,216.0,17.0,198.0
2023-01-03 11:00,0.0,9.0,79.0,5.0,30.0,721.0,215.0,15.0,198.0
2023-01-03 12:00,0.0,10.0,79.0,5.0,28.0,723.0,215.0,12.0,199.0
2023-01-03 13:00,0.0,15.0,79.0,5.0,29.0,717.0,215.0,7.0,199.0
