UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-08-19 00:00:00,2024-07-17 00:00:00,3.1,5.228857576012215,301.9057956114989,280.66861157052244,618.8913620385019,0.2841340917345296,3616.31356,171.01387,1074.50062,167.09539,630.21414
2023-08-19 01:00:00,2024-07-17 00:00:00,3.1,3.954140785741381,295.2083979796023,281.5035420515226,60.6851968659164,0.246596778398522,3618.78702,172.54559,1091.67731,148.71327,628.10727
2023-08-19 02:00:00,2024-07-17 00:00:00,3.1,3.954140785741381,295.2083979796023,281.5035420515226,60.6851968659164,0.246596778398522,3513.53407,181.82516,1086.354,128.40482,615.99637
2023-08-19 03:00:00,2024-07-17 00:00:00,3.1,3.954140785741381,295.2083979796023,281.5035420515226,60.6851968659164,0.246596778398522,3495.6479,173.73039,1063.53881,112.51263,591.88079
2023-08-19 04:00:00,2024-07-17 00:00:00,3.1,3.722012610986212,293.1500408280899,281.51846603280944,30.342550447027406,0.4900730726741588,3353.99971,182.18599,1080.17346,93.82993,534.10979
2023-08-19 05:00:00,2024-07-17 00:00:00,3.1,3.722012610986212,293.1500408280899,281.51846603280944,30.342550447027406,0.4900730726741588,3137.85272,183.63448,1048.60774,68.45021,519.83913
2023-08-19 06:00:00,2024-07-17 00:00:00,3.1,3.722012610986212,293.1500408280899,281.51846603280944,30.342550447027406,0.4900730726741588,3128.2012,189.65398,1022.29196,36.08266,483.93404
2023-08-19 07:00:00,2024-07-17 00:00:00,3.1,3.581339776510471,291.51732534713165,281.8659686668259,0.0,0.2513435733471368,3057.27217,178.22262,1010.89163,16.23923,468.64981
2023-08-19 08:00:00,2024-07-17 00:00:00,3.1,3.581339776510471,291.51732534713165,281.8659686668259,0.0,0.2513435733471368,2857.07406,169.59303,965.32221,2.07751,487.99043
2023-08-19 09:00:00,2024-07-17 00:00:00,3.1,3.581339776510471,291.51732534713165,281.8659686668259,0.0,0.2513435733471368,2766.73859,169.28585,1000.70963,0.0,533.36857
2023-08-19 10:00:00,2024-07-17 00:00:00,3.1,3.331532509668948,290.2303499658467,281.90951628677703,0.0593363024204246,0.5454512847305911,2736.57672,173.83774,1024.97722,0.0,555.19864
2023-08-19 11:00:00,2024-07-17 00:00:00,3.1,3.331532509668948,290.2303499658467,281.90951628677703,0.0593363024204246,0.5454512847305911,2749.6767,184.61877,1008.35915,0.0,570.51384
