Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind
37128,2023-03-28 00:00:00,2024-07-17 00:00:00,3.1,508.23,2394.0,312.0,623.0,103.0,787.0
37129,2023-03-28 01:00:00,2024-07-17 00:00:00,3.1,517.43,2372.0,347.0,660.0,40.0,718.0
37130,2023-03-28 02:00:00,2024-07-17 00:00:00,3.1,528.87,2383.0,363.0,699.0,1.0,630.0
37131,2023-03-28 03:00:00,2024-07-17 00:00:00,3.1,545.87,2391.0,422.0,684.0,0.0,514.0
37132,2023-03-28 04:00:00,2024-07-17 00:00:00,3.1,565.21,2419.0,406.0,597.0,0.0,474.0
37133,2023-03-28 05:00:00,2024-07-17 00:00:00,3.1,587.76,2416.0,429.0,528.0,0.0,384.0
37134,2023-03-28 06:00:00,2024-07-17 00:00:00,3.1,603.29,2448.0,428.0,463.0,0.0,361.0
37135,2023-03-28 07:00:00,2024-07-17 00:00:00,3.1,615.66,2439.0,449.0,422.0,0.0,318.0
37136,2023-03-28 08:00:00,2024-07-17 00:00:00,3.1,617.77,2435.0,503.0,437.0,0.0,278.0
37137,2023-03-28 09:00:00,2024-07-17 00:00:00,3.1,615.65,2420.0,502.0,439.0,0.0,284.0
37138,2023-03-28 10:00:00,2024-07-17 00:00:00,3.1,612.53,2421.0,503.0,436.0,0.0,306.0
37139,2023-03-28 11:00:00,2024-07-17 00:00:00,3.1,594.06,2445.0,495.0,444.0,0.0,425.0
37140,2023-03-28 12:00:00,2024-07-17 00:00:00,3.1,582.63,2533.0,439.0,453.0,0.0,538.0
37141,2023-03-28 13:00:00,2024-07-17 00:00:00,3.1,583.47,2569.0,491.0,516.0,0.0,477.0
37142,2023-03-28 14:00:00,2024-07-17 00:00:00,3.1,563.34,2549.0,481.0,591.0,41.0,505.0
37143,2023-03-28 15:00:00,2024-07-17 00:00:00,3.1,541.67,2437.0,364.0,607.0,162.0,499.0
37144,2023-03-28 16:00:00,2024-07-17 00:00:00,3.1,541.3,2421.0,346.0,587.0,199.0,480.0
37145,2023-03-28 17:00:00,2024-07-17 00:00:00,3.1,545.31,2356.0,382.0,538.0,208.0,452.0
37146,2023-03-28 18:00:00,2024-07-17 00:00:00,3.1,555.43,2402.0,491.0,486.0,210.0,437.0
37147,2023-03-28 19:00:00,2024-07-17 00:00:00,3.1,552.51,2396.0,440.0,483.0,201.0,473.0
37148,2023-03-28 20:00:00,2024-07-17 00:00:00,3.1,543.38,2340.0,413.0,490.0,213.0,497.0
37149,2023-03-28 21:00:00,2024-07-17 00:00:00,3.1,501.81,1620.0,314.0,485.0,209.0,376.0
37150,2023-03-28 22:00:00,2024-07-17 00:00:00,3.1,522.19,2322.0,298.0,486.0,205.0,669.0
37151,2023-03-28 23:00:00,2024-07-17 00:00:00,3.1,521.03,2265.0,288.0,520.0,203.0,614.0
