Unnamed: 0,UTC time,carbon_intensity,nuclear,hydro,solar,wind
39504,2023-07-05 00:00:00,15.05,2946.0,1013.0,0.0,19.0
39505,2023-07-05 01:00:00,14.77,2945.0,894.0,0.0,30.0
39506,2023-07-05 02:00:00,14.61,2946.0,834.0,0.0,38.0
39507,2023-07-05 03:00:00,14.58,2948.0,823.0,0.0,39.0
39508,2023-07-05 04:00:00,15.85,2949.0,1295.0,35.0,44.0
39509,2023-07-05 05:00:00,17.51,2944.0,1537.0,237.0,41.0
39510,2023-07-05 06:00:00,17.12,2941.0,1431.0,196.0,41.0
39511,2023-07-05 07:00:00,19.9,2943.0,1159.0,751.0,39.0
39512,2023-07-05 08:00:00,20.06,2946.0,981.0,812.0,41.0
39513,2023-07-05 09:00:00,20.93,2944.0,986.0,979.0,30.0
39514,2023-07-05 10:00:00,22.52,2943.0,999.0,1322.0,22.0
39515,2023-07-05 11:00:00,25.24,2943.0,935.0,2047.0,24.0
39516,2023-07-05 12:00:00,25.19,2939.0,895.0,2025.0,22.0
39517,2023-07-05 13:00:00,26.46,2934.0,942.0,2434.0,23.0
39518,2023-07-05 14:00:00,25.01,2935.0,915.0,1970.0,21.0
39519,2023-07-05 15:00:00,21.25,2938.0,986.0,1040.0,25.0
39520,2023-07-05 16:00:00,19.77,2936.0,1309.0,694.0,26.0
39521,2023-07-05 17:00:00,19.32,2936.0,2427.0,403.0,23.0
39522,2023-07-05 18:00:00,19.13,2939.0,3326.0,190.0,19.0
39523,2023-07-05 19:00:00,18.52,2944.0,3411.0,23.0,12.0
39524,2023-07-05 20:00:00,18.35,2948.0,3319.0,0.0,8.0
39525,2023-07-05 21:00:00,17.84,2952.0,2805.0,0.0,8.0
39526,2023-07-05 22:00:00,15.66,2955.0,1300.0,0.0,9.0
39527,2023-07-05 23:00:00,15.25,2956.0,1103.0,0.0,9.0
