UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-06-21 00:00:00,2024-07-17 00:00:00,3.1,2.4730371501969297,288.517806166554,285.25492974326045,11.102753364824151,0.1366884851628759,1004.52698,1036.57921,0.0,0.0
2023-06-21 01:00:00,2024-07-17 00:00:00,3.1,2.4042939336987947,287.8161724427347,284.6565700150446,0.0,0.0322574905497882,996.05329,756.49782,0.0,0.0
2023-06-21 02:00:00,2024-07-17 00:00:00,3.1,2.4042939336987947,287.8161724427347,284.6565700150446,0.0,0.0322574905497882,986.56311,665.51859,0.0,0.0
2023-06-21 03:00:00,2024-07-17 00:00:00,3.1,2.4042939336987947,287.8161724427347,284.6565700150446,0.0,0.0322574905497882,981.23336,1067.93804,0.0,0.0
2023-06-21 04:00:00,2024-07-17 00:00:00,3.1,2.161979653018141,291.04420573562084,286.3837759459874,43.63582924245056,0.0711183910890972,990.26921,1623.75084,6.0,0.0
2023-06-21 05:00:00,2024-07-17 00:00:00,3.1,2.161979653018141,291.04420573562084,286.3837759459874,43.63582924245056,0.0711183910890972,997.46374,2142.05344,28.0,0.0
2023-06-21 06:00:00,2024-07-17 00:00:00,3.1,2.161979653018141,291.04420573562084,286.3837759459874,43.63582924245056,0.0711183910890972,1004.09331,2495.38993,66.0,0.0
2023-06-21 07:00:00,2024-07-17 00:00:00,3.1,2.5611468424553245,295.0724358976378,285.75930737903616,385.7696449541902,0.1790597775986856,1002.14523,2422.51039,107.0,0.0
2023-06-21 08:00:00,2024-07-17 00:00:00,3.1,2.5611468424553245,295.0724358976378,285.75930737903616,385.7696449541902,0.1790597775986856,1035.21417,2164.65225,137.0,0.0
2023-06-21 09:00:00,2024-07-17 00:00:00,3.1,2.5611468424553245,295.0724358976378,285.75930737903616,385.7696449541902,0.1790597775986856,1041.92335,2055.21562,157.0,0.0
2023-06-21 10:00:00,2024-07-17 00:00:00,3.1,3.153169063456007,297.6582042187936,284.83004672037885,505.6391162319634,0.2306508397923228,1011.5563,1977.21549,167.0,0.0
