UTC time,nuclear,hydro,solar,wind
2023-08-29 00:00:00,2622.0,1517.0,0.0,24.0
2023-08-29 01:00:00,2622.0,1504.0,0.0,18.0
2023-08-29 02:00:00,2619.0,1546.0,0.0,18.0
2023-08-29 03:00:00,2620.0,1885.0,0.0,18.0
2023-08-29 04:00:00,2622.0,2674.0,0.0,18.0
2023-08-29 05:00:00,2623.0,2877.0,15.0,16.0
2023-08-29 06:00:00,2625.0,2831.0,157.0,14.0
2023-08-29 07:00:00,2624.0,2893.0,587.0,14.0
2023-08-29 08:00:00,2625.0,2691.0,838.0,17.0
2023-08-29 09:00:00,2622.0,2689.0,1093.0,19.0
2023-08-29 10:00:00,2623.0,2663.0,436.0,19.0
2023-08-29 11:00:00,2619.0,1999.0,1096.0,18.0
2023-08-29 12:00:00,2621.0,1782.0,1299.0,18.0
2023-08-29 13:00:00,2621.0,2158.0,1050.0,15.0
2023-08-29 14:00:00,2619.0,2188.0,766.0,15.0
2023-08-29 15:00:00,2619.0,2643.0,315.0,14.0
2023-08-29 16:00:00,2618.0,3093.0,85.0,12.0
2023-08-29 17:00:00,2618.0,3342.0,19.0,11.0
2023-08-29 18:00:00,2617.0,3453.0,0.0,11.0
2023-08-29 19:00:00,2619.0,3236.0,0.0,10.0
2023-08-29 20:00:00,2619.0,2505.0,0.0,10.0
2023-08-29 21:00:00,2619.0,1901.0,0.0,12.0
2023-08-29 22:00:00,2620.0,1621.0,0.0,10.0
2023-08-29 23:00:00,2621.0,1422.0,0.0,7.0
