UTC time,avg_hydro_production_forecast,avg_nuclear_production_forecast,avg_unknown_production_forecast,avg_wind_production_forecast
2021-07-01 00:00:00,6431.9365,5388.29736,927.13786,2649.99992
2021-07-01 01:00:00,6111.26617,5405.06809,914.65582,2755.99998
2021-07-01 02:00:00,6095.88074,5405.01491,900.55428,2841.99984
2021-07-01 03:00:00,6335.66104,5416.51809,909.96059,2839.99993
2021-07-01 04:00:00,6868.08834,5429.73391,925.6412,2769.00002
2021-07-01 05:00:00,7394.9631,5432.77836,948.68446,2776.99997
2021-07-01 06:00:00,7994.39509,5429.58252,983.28262,2930.99988
2021-07-01 07:00:00,8457.34828,5421.29905,998.03376,3112.00016
2021-07-01 08:00:00,8624.13272,5422.63437,1009.29031,3233
2021-07-01 09:00:00,8611.31827,5436.26301,1016.89819,3280.00006
2021-07-01 10:00:00,8496.63832,5418.68508,1016.5094,3282.99992
2021-07-01 11:00:00,8360.07217,5412.51853,1021.99307,3255.99989
2021-07-01 12:00:00,8226.17345,5426.14193,1021.34412,3168.00012
2021-07-01 13:00:00,8202.55895,5422.73705,1030.29609,3060
2021-07-01 14:00:00,8201.08327,5409.53307,1033.50758,2907.00004
2021-07-01 15:00:00,8312.35686,5422.14896,1022.82576,2780.99994
2021-07-01 16:00:00,8351.63015,5434.82676,1029.99325,2617.00001
2021-07-01 17:00:00,8506.85304,5428.16102,1021.30624,2465.99995
2021-07-01 18:00:00,8511.18034,5438.69998,1016.19132,2443.00006
2021-07-01 19:00:00,8431.89265,5440.64454,1000.83511,2537.99998
2021-07-01 20:00:00,8163.52518,5426.46877,993.46933,2648.99997
2021-07-01 21:00:00,7750.66388,5409.95754,971.97653,2707.99996
2021-07-01 22:00:00,7283.43325,5434.62258,952.68466,2481.00006
2021-07-01 23:00:00,6729.33815,5406.15963,947.27826,2398.00006
2021-07-02 00:00:00,6578.96891,5421.76622,970.68783,1823.5046
2021-07-02 01:00:00,6443.81073,5403.65163,952.27964,1830.14105
2021-07-02 02:00:00,6230.60976,5416.28363,940.06436,1760.82647
2021-07-02 03:00:00,6321.40003,5409.33995,934.44145,1727.52493
2021-07-02 04:00:00,6607.54917,5424.37476,936.28507,1570.51998
2021-07-02 05:00:00,6933.20966,5434.28293,944.22284,1682.55289
2021-07-02 06:00:00,7293.92789,5429.53341,941.93038,1663.12962
2021-07-02 07:00:00,7753.42995,5448.19047,944.19662,1652.89796
2021-07-02 08:00:00,8182.07781,5471.24692,947.13934,1641.75396
2021-07-02 09:00:00,8435.16506,5480.15632,955.05356,1626.94928
2021-07-02 10:00:00,8599.6548,5488.26103,965.17131,1604.54102
2021-07-02 11:00:00,8696.12283,5480.29955,974.24819,1601.13833
2021-07-02 12:00:00,8554.62586,5478.55199,988.83435,1579.41578
2021-07-02 13:00:00,8354.18838,5475.44542,1001.31878,1532.28284
2021-07-02 14:00:00,8258.08654,5479.24954,999.35202,1469.6663
2021-07-02 15:00:00,8125.86006,5495.73767,999.0453,1412.47434
2021-07-02 16:00:00,8146.96656,5497.13588,999.33838,1356.9164
2021-07-02 17:00:00,8158.0236,5496.35487,1011.70531,1337.1965
2021-07-02 18:00:00,8099.57231,5512.85193,994.24532,1321.87382
2021-07-02 19:00:00,7879.70567,5514.41123,992.6006,1278.39962
2021-07-02 20:00:00,7627.35371,5506.63298,983.69039,1289.75004
