UTC Time,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
2019-04-22 20:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-17 11:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-17 13:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-17 16:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-17 17:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-17 22:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-18 00:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-18 04:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-18 07:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-18 10:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-18 11:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-18 12:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-18 17:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-18 19:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-18 21:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-18 22:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-19 03:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-19 04:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-19 05:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-19 06:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-19 08:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-19 09:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-19 10:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-19 11:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-19 13:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-19 14:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-19 17:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-20 01:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-20 02:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-20 03:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-20 04:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-20 06:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-20 07:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-20 08:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-20 13:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-20 16:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-05-20 22:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-06-30 08:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-08-12 04:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-08-25 14:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2019-11-12 02:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-01-11 10:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-02-10 11:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-02-10 12:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-02-10 13:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-02-13 19:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-02-17 22:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-07-22 23:30:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-09-04 07:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2020-09-09 16:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2021-01-25 23:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2021-02-08 09:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2021-02-27 21:00:00+00:00,True,True,True,True,True,True,True,False,False,False
2021-05-24 12:30:00+00:00,True,True,True,True,True,True,True,False,False,False
Total Missing Minutes,1620,1620,1620,1620,1620,1620,1620,0,0,0
Percentage per Source,0.0768,0.0768,0.0768,0.0768,0.0768,0.0768,0.0768,0.0,0.0,0.0
