UTC time,coal,nat_gas,oil,hydro,solar,wind
2023-11-17 00:00:00,415.0,1027.0,0.0,28.0,0.0,771.0
2023-11-17 01:00:00,427.0,855.0,0.0,26.0,0.0,886.0
2023-11-17 02:00:00,427.0,826.0,0.0,28.0,0.0,899.0
2023-11-17 03:00:00,396.0,859.0,0.0,66.0,0.0,955.0
2023-11-17 04:00:00,421.0,1082.0,0.0,205.0,0.0,985.0
2023-11-17 05:00:00,480.0,1303.0,0.0,465.0,102.0,1090.0
2023-11-17 06:00:00,466.0,1646.0,0.0,673.0,882.0,1168.0
2023-11-17 07:00:00,470.0,1781.0,0.0,666.0,1785.0,1371.0
2023-11-17 08:00:00,465.0,1395.0,0.0,374.0,2419.0,1657.0
2023-11-17 09:00:00,432.0,1315.0,0.0,222.0,2657.0,1852.0
2023-11-17 10:00:00,426.0,1418.0,0.0,185.0,2756.0,1858.0
2023-11-17 11:00:00,419.0,1442.0,0.0,149.0,2591.0,1919.0
2023-11-17 12:00:00,395.0,1583.0,0.0,138.0,2021.0,1998.0
2023-11-17 13:00:00,390.0,1897.0,0.0,333.0,1258.0,1953.0
2023-11-17 14:00:00,397.0,2227.0,0.0,342.0,359.0,1866.0
2023-11-17 15:00:00,419.0,2287.0,0.0,534.0,3.0,2003.0
2023-11-17 16:00:00,423.0,2225.0,0.0,676.0,0.0,2138.0
2023-11-17 17:00:00,417.0,2105.0,0.0,711.0,0.0,2198.0
2023-11-17 18:00:00,410.0,2045.0,0.0,649.0,0.0,2229.0
2023-11-17 19:00:00,405.0,1735.0,0.0,469.0,0.0,2492.0
2023-11-17 20:00:00,393.0,1585.0,0.0,228.0,0.0,2704.0
2023-11-17 21:00:00,374.0,1399.0,0.0,79.0,0.0,2703.0
2023-11-17 22:00:00,363.0,1258.0,0.0,70.0,0.0,2440.0
2023-11-17 23:00:00,351.0,888.0,0.0,31.0,0.0,2502.0
