UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-11-27 00:00:00,2024-07-17 00:00:00,3.1,2.1390285409118843,271.7892103239428,265.3698606370084,289.2788874652168,0.0,980.4043,1148.92169,8091.77679,35.73925,149.89448,131.16943
2023-11-27 01:00:00,2024-07-17 00:00:00,3.1,2.3889994435349493,269.95058101294217,264.41193336085183,1.2450917766409484,0.0,966.98308,1149.93994,8682.91099,27.95613,144.1494,132.23994
2023-11-27 02:00:00,2024-07-17 00:00:00,3.1,2.3889994435349493,269.95058101294217,264.41193336085183,1.2450917766409484,0.0,950.62971,1151.80968,9255.14643,19.41015,131.49589,130.9074
2023-11-27 03:00:00,2024-07-17 00:00:00,3.1,2.3889994435349493,269.95058101294217,264.41193336085183,1.2450917766409484,0.0,936.60155,1152.93911,9380.82701,9.06189,121.77602,129.96784
2023-11-27 04:00:00,2024-07-17 00:00:00,3.1,2.4654805818736225,269.45317819344297,263.7290957446955,0.6224961450239667,0.0,924.03105,1154.01429,9284.93314,0.9026,123.85977,129.49741
2023-11-27 05:00:00,2024-07-17 00:00:00,3.1,2.4654805818736225,269.45317819344297,263.7290957446955,0.6224961450239667,0.0,905.63467,1153.85295,9067.60647,0.0,131.37542,130.55619
2023-11-27 06:00:00,2024-07-17 00:00:00,3.1,2.4654805818736225,269.45317819344297,263.7290957446955,0.6224961450239667,0.0,879.28928,1153.34985,8615.20413,0.0,137.4631,132.47161
2023-11-27 07:00:00,2024-07-17 00:00:00,3.1,2.4958364648577973,269.0399485739904,263.1121224057877,0.0,0.0,892.08163,1153.29321,7837.12762,0.0,141.21712,132.69363
2023-11-27 08:00:00,2024-07-17 00:00:00,3.1,2.4958364648577973,269.0399485739904,263.1121224057877,0.0,0.0,893.78124,1150.62291,7124.5685,0.0,143.69799,133.03304
2023-11-27 09:00:00,2024-07-17 00:00:00,3.1,2.4958364648577973,269.0399485739904,263.1121224057877,0.0,0.0,901.12734,1149.47988,6610.63806,0.0,120.44214,134.66239
2023-11-27 10:00:00,2024-07-17 00:00:00,3.1,2.4263496503815043,268.6760783880578,262.53599994545993,0.0,8.193610734027307e-05,915.40359,1148.95522,6394.09869,0.0,112.55809,137.26879
2023-11-27 11:00:00,2024-07-17 00:00:00,3.1,2.4263496503815043,268.6760783880578,262.53599994545993,0.0,8.193610734027307e-05,914.53154,1151.11072,6468.95449,0.0,111.30237,138.11471
2023-11-27 12:00:00,2024-07-17 00:00:00,3.1,2.4263496503815043,268.6760783880578,262.53599994545993,0.0,8.193610734027307e-05,910.32918,1153.56142,6891.81068,0.0,97.68241,137.04772
2023-11-27 13:00:00,2024-07-17 00:00:00,3.1,2.35363376450733,268.6088534988292,262.2242503649549,1.4922997956845152,0.0,887.64396,1153.04296,7430.7362,0.0,99.60528,138.15926
2023-11-27 14:00:00,2024-07-17 00:00:00,3.1,2.35363376450733,268.6088534988292,262.2242503649549,1.4922997956845152,0.0,871.80521,1152.08135,7899.48391,7.46284,118.73601,137.22284
2023-11-27 15:00:00,2024-07-17 00:00:00,3.1,2.35363376450733,268.6088534988292,262.2242503649549,1.4922997956845152,0.0,841.79061,1151.66786,8267.5031,19.75997,123.75343,136.98607
2023-11-27 16:00:00,2024-07-17 00:00:00,3.1,2.2506239630137133,274.7636976726445,264.1847273360311,99.34307186630195,0.0001023632460865,832.23999,1150.35702,8478.23297,29.08429,128.95747,137.67463
2023-11-27 17:00:00,2024-07-17 00:00:00,3.1,2.2506239630137133,274.7636976726445,264.1847273360311,99.34307186630195,0.0001023632460865,830.32775,1148.42098,8393.87347,38.3185,138.58295,138.37136
2023-11-27 18:00:00,2024-07-17 00:00:00,3.1,2.2506239630137133,274.7636976726445,264.1847273360311,99.34307186630195,0.0001023632460865,856.92872,1145.72532,8224.57798,50.28934,145.70782,136.06945
2023-11-27 19:00:00,2024-07-17 00:00:00,3.1,2.248840498145115,277.29643334639536,265.2480974514966,409.46345637127394,0.0002264361213234,882.21817,1144.51776,7985.24415,58.30346,168.22573,135.50969
2023-11-27 20:00:00,2024-07-17 00:00:00,3.1,2.248840498145115,277.29643334639536,265.2480974514966,409.46345637127394,0.0002264361213234,892.48057,1141.25376,7689.03655,60.05886,191.39089,136.83438
2023-11-27 21:00:00,2024-07-17 00:00:00,3.1,2.248840498145115,277.29643334639536,265.2480974514966,409.46345637127394,0.0002264361213234,887.03383,1141.04317,7558.83322,64.27075,215.25873,135.02644
2023-11-27 22:00:00,2024-07-17 00:00:00,3.1,1.9492679312792407,272.5590953321657,265.10944536544963,297.96744258396893,0.0014782090837783,870.13884,1142.09391,7527.04128,63.04767,243.98544,136.49686
2023-11-27 23:00:00,2024-07-17 00:00:00,3.1,1.9492679312792407,272.5590953321657,265.10944536544963,297.96744258396893,0.0014782090837783,865.10315,1142.72981,7604.01415,52.08103,258.85544,136.25027
2023-11-28 00:00:00,2024-07-17 00:00:00,3.1,1.9492679312792407,272.5590953321657,265.10944536544963,297.96744258396893,0.0014782090837783,848.10459,1148.92169,8301.80683,39.42996,149.89448,131.16943
2023-11-28 01:00:00,2024-07-17 00:00:00,3.1,2.0661234524007024,270.85096180175844,263.8927516664186,1.0280489632070051,0.0095403496185721,837.67375,1149.93994,8904.67259,30.80727,144.1494,132.23994
2023-11-28 02:00:00,2024-07-17 00:00:00,3.1,2.0661234524007024,270.85096180175844,263.8927516664186,1.0280489632070051,0.0095403496185721,823.61253,1151.80968,9446.98649,21.26297,131.49589,130.9074
