UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown,avg_wind_production_forecast
1/1/2019 0:00,31135,13695,34141,0,6215,0,100935,22297,76,2171,102675
1/1/2019 1:00,30278,12763,31816,0,6044,0,102694,22144,76,1915,109536
1/1/2019 2:00,30510,12624,28887,0,5979,0,108760,22042,76,1900,116041
1/1/2019 3:00,29949,12910,28480,0,5833,0,115908,22081,72,1892,121437
1/1/2019 4:00,29551,12860,28243,0,5540,0,121113,22093,72,1892,125637
1/1/2019 5:00,28924,12722,28141,0,5665,0,126208,22190,71,1888,131739
1/1/2019 6:00,28882,12929,28692,0,5728,0,129437,22281,72,1888,134953
1/1/2019 7:00,28745,13191,28622,0,5784,337,132544,22339,72,1888,136699
1/1/2019 8:00,30282,13412,27960,0,5933,2331,131781,22370,72,1888,139106
1/1/2019 9:00,30582,13383,26559,0,6142,5475,135589,22497,69,1888,141540
1/1/2019 10:00,30720,13666,26834,0,6294,8213,143224,22470,68,1889,143831
1/1/2019 11:00,31020,13812,27817,0,6402,8927,144522,22423,69,1889,144862
1/1/2019 12:00,31061,13629,27811,0,6288,8026,146563,22329,68,1892,147043
1/1/2019 13:00,31090,13506,28066,0,6424,5189,148253,22284,68,1892,149621
1/1/2019 14:00,31399,13328,29082,0,6240,1780,147361,22181,68,1891,152325
1/1/2019 15:00,30771,13509,30025,0,6239,87,151861,22236,68,1888,154852
1/1/2019 16:00,30916,13509,30617,0,5781,0,154114,22242,68,1888,157163
1/1/2019 17:00,30544,13262,29996,0,5724,0,154238,22364,68,1888,159455
1/1/2019 18:00,30626,13195,28398,0,5669,0,152844,22291,68,1888,161113
1/1/2019 19:00,30428,13256,26394,0,5635,0,152515,22174,68,1890,161418
1/1/2019 20:00,30624,12906,24607,0,5591,0,150877,22130,71,1892,161697
1/1/2019 21:00,30470,13014,24305,0,5542,0,146706,21989,72,1892,159312
1/1/2019 22:00,29810,12879,23936,0,5382,0,146267,21962,72,1852,158112
1/1/2019 23:00,30576,12488,23181,0,5532,0,139972,21516,73,1880,153512
