Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,biomass,unknown
39456,2023-07-03 00:00:00,104.48,16.0,51.0,0.0,0.0,201.0,38.0,2.0
39457,2023-07-03 01:00:00,107.63,16.0,51.0,0.0,2.0,191.0,37.0,2.0
39458,2023-07-03 02:00:00,118.69,16.0,50.0,0.0,12.0,150.0,38.0,2.0
39459,2023-07-03 03:00:00,95.47,18.0,51.0,0.0,36.0,208.0,38.0,2.0
39460,2023-07-03 04:00:00,80.82,17.0,50.0,0.0,94.0,202.0,38.0,2.0
39461,2023-07-03 05:00:00,67.17,19.0,51.0,0.0,169.0,234.0,38.0,2.0
39462,2023-07-03 06:00:00,60.98,21.0,50.0,0.0,207.0,266.0,38.0,2.0
39463,2023-07-03 07:00:00,54.22,21.0,49.0,0.0,260.0,280.0,38.0,2.0
39464,2023-07-03 08:00:00,48.84,21.0,48.0,0.0,306.0,299.0,38.0,2.0
39465,2023-07-03 09:00:00,47.3,21.0,49.0,0.0,333.0,302.0,38.0,2.0
39466,2023-07-03 10:00:00,45.45,22.0,48.0,0.0,367.0,307.0,38.0,2.0
39467,2023-07-03 11:00:00,46.8,21.0,49.0,0.0,331.0,312.0,38.0,2.0
39468,2023-07-03 12:00:00,53.17,22.0,51.0,0.0,295.0,283.0,38.0,2.0
39469,2023-07-03 13:00:00,62.69,23.0,53.0,0.0,218.0,276.0,38.0,2.0
39470,2023-07-03 14:00:00,65.33,23.0,51.0,0.0,185.0,275.0,38.0,2.0
39471,2023-07-03 15:00:00,75.47,23.0,50.0,0.0,123.0,256.0,38.0,2.0
39472,2023-07-03 16:00:00,87.46,23.0,52.0,0.0,60.0,258.0,38.0,2.0
39473,2023-07-03 17:00:00,96.32,23.0,53.0,0.0,30.0,251.0,38.0,2.0
39474,2023-07-03 18:00:00,101.43,23.0,53.0,0.0,10.0,251.0,38.0,2.0
39475,2023-07-03 19:00:00,105.78,23.0,52.0,0.0,1.0,242.0,38.0,2.0
39476,2023-07-03 20:00:00,104.3,23.0,50.0,0.0,0.0,243.0,38.0,2.0
39477,2023-07-03 21:00:00,102.46,23.0,51.0,0.0,0.0,253.0,37.0,2.0
39478,2023-07-03 22:00:00,103.43,23.0,50.0,0.0,0.0,247.0,37.0,2.0
39479,2023-07-03 23:00:00,106.53,23.0,51.0,0.0,0.0,239.0,37.0,2.0
