Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind,biomass,unknown
40728,2023-08-25 00:00:00,2024-07-17 00:00:00,3.1,470.25,123.0,48.0,0.0,0.0,12.0,54.0,2.0
40729,2023-08-25 01:00:00,2024-07-17 00:00:00,3.1,483.81,147.0,48.0,0.0,0.0,14.0,59.0,2.0
40730,2023-08-25 02:00:00,2024-07-17 00:00:00,3.1,485.49,150.0,47.0,0.0,1.0,14.0,59.0,2.0
40731,2023-08-25 03:00:00,2024-07-17 00:00:00,3.1,484.62,154.0,46.0,0.0,7.0,10.0,60.0,2.0
40732,2023-08-25 04:00:00,2024-07-17 00:00:00,3.1,427.06,151.0,48.0,0.0,39.0,13.0,60.0,2.0
40733,2023-08-25 05:00:00,2024-07-17 00:00:00,3.1,354.17,155.0,48.0,0.0,104.0,16.0,61.0,2.0
40734,2023-08-25 06:00:00,2024-07-17 00:00:00,3.1,283.29,160.0,48.0,0.0,204.0,21.0,61.0,2.0
40735,2023-08-25 07:00:00,2024-07-17 00:00:00,3.1,220.46,151.0,49.0,0.0,319.0,27.0,60.0,2.0
40736,2023-08-25 08:00:00,2024-07-17 00:00:00,3.1,196.57,152.0,47.0,0.0,389.0,31.0,61.0,2.0
40737,2023-08-25 09:00:00,2024-07-17 00:00:00,3.1,195.65,155.0,64.0,0.0,414.0,32.0,62.0,2.0
40738,2023-08-25 10:00:00,2024-07-17 00:00:00,3.1,202.62,160.0,68.0,0.0,406.0,33.0,61.0,2.0
40739,2023-08-25 11:00:00,2024-07-17 00:00:00,3.1,208.13,153.0,73.0,0.0,372.0,33.0,61.0,2.0
40740,2023-08-25 12:00:00,2024-07-17 00:00:00,3.1,233.29,154.0,74.0,0.0,302.0,31.0,61.0,2.0
40741,2023-08-25 13:00:00,2024-07-17 00:00:00,3.1,281.87,161.0,73.0,0.0,213.0,23.0,62.0,2.0
40742,2023-08-25 14:00:00,2024-07-17 00:00:00,3.1,351.86,162.0,74.0,0.0,116.0,16.0,61.0,2.0
40743,2023-08-25 15:00:00,2024-07-17 00:00:00,3.1,418.79,162.0,75.0,0.0,51.0,12.0,61.0,2.0
40744,2023-08-25 16:00:00,2024-07-17 00:00:00,3.1,468.85,160.0,75.0,0.0,17.0,8.0,59.0,2.0
40745,2023-08-25 17:00:00,2024-07-17 00:00:00,3.1,495.29,164.0,75.0,0.0,2.0,8.0,59.0,2.0
40746,2023-08-25 18:00:00,2024-07-17 00:00:00,3.1,490.54,154.0,73.0,0.0,0.0,8.0,59.0,2.0
40747,2023-08-25 19:00:00,2024-07-17 00:00:00,3.1,480.21,144.0,71.0,0.0,1.0,10.0,57.0,2.0
40748,2023-08-25 20:00:00,2024-07-17 00:00:00,3.1,488.62,165.0,70.0,0.0,0.0,14.0,61.0,2.0
40749,2023-08-25 21:00:00,2024-07-17 00:00:00,3.1,476.04,140.0,67.0,0.0,0.0,12.0,57.0,2.0
40750,2023-08-25 22:00:00,2024-07-17 00:00:00,3.1,464.54,132.0,66.0,0.0,0.0,15.0,56.0,2.0
40751,2023-08-25 23:00:00,2024-07-17 00:00:00,3.1,471.45,149.0,68.0,0.0,0.0,18.0,59.0,2.0
