,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2023-08-04 00:00:00,331.93,21417.0,60345.0,32510.0,486.0,3291.0,40.0,356.0,2115.0
1,2023-08-04 01:00:00,332.59,21103.0,59533.0,32533.0,505.0,2369.0,4.0,415.0,1911.0
2,2023-08-04 02:00:00,330.96,20139.0,54980.0,32537.0,538.0,732.0,4.0,406.0,1308.0
3,2023-08-04 03:00:00,327.33,19468.0,50852.0,32546.0,391.0,432.0,4.0,438.0,1273.0
4,2023-08-04 04:00:00,313.34,17616.0,42698.0,32446.0,218.0,482.0,32.0,711.0,929.0
5,2023-08-04 05:00:00,309.66,16448.0,44000.0,32550.0,245.0,417.0,4.0,426.0,966.0
6,2023-08-04 06:00:00,308.85,16267.0,43857.0,32581.0,255.0,387.0,4.0,396.0,978.0
7,2023-08-04 07:00:00,306.97,16094.0,42093.0,32572.0,293.0,372.0,4.0,390.0,972.0
8,2023-08-04 08:00:00,306.84,16108.0,41739.0,32570.0,316.0,371.0,4.0,396.0,982.0
9,2023-08-04 09:00:00,307.68,16185.0,42914.0,32608.0,220.0,373.0,4.0,427.0,984.0
10,2023-08-04 10:00:00,312.66,16840.0,45086.0,32585.0,224.0,354.0,4.0,305.0,974.0
11,2023-08-04 11:00:00,314.34,17121.0,47939.0,32616.0,220.0,439.0,184.0,424.0,1011.0
12,2023-08-04 12:00:00,314.74,17222.0,50040.0,32628.0,218.0,411.0,792.0,308.0,1119.0
13,2023-08-04 13:00:00,317.91,18100.0,52047.0,32590.0,218.0,433.0,1520.0,216.0,1239.0
14,2023-08-04 14:00:00,323.61,19147.0,55084.0,32591.0,230.0,420.0,1859.0,361.0,1874.0
15,2023-08-04 15:00:00,326.74,19893.0,58380.0,32550.0,426.0,689.0,2105.0,370.0,1977.0
16,2023-08-04 16:00:00,326.35,20520.0,59514.0,32470.0,538.0,1724.0,2418.0,268.0,1996.0
17,2023-08-04 17:00:00,323.45,20620.0,61036.0,32509.0,582.0,2946.0,2458.0,398.0,1991.0
18,2023-08-04 18:00:00,321.06,21166.0,61586.0,32472.0,527.0,4382.0,2611.0,564.0,1980.0
19,2023-08-04 19:00:00,321.76,21831.0,61600.0,32468.0,467.0,5278.0,2268.0,627.0,1968.0
20,2023-08-04 20:00:00,322.14,22017.0,62777.0,32451.0,502.0,5545.0,1925.0,999.0,1957.0
21,2023-08-04 21:00:00,322.67,22627.0,62540.0,32476.0,501.0,5962.0,1882.0,1205.0,1987.0
22,2023-08-04 22:00:00,325.43,22758.0,62124.0,32464.0,435.0,5255.0,1455.0,1308.0,1925.0
23,2023-08-04 23:00:00,324.94,21546.0,61236.0,32492.0,435.0,4517.0,617.0,1286.0,1902.0
