,UTC time,carbon_intensity,biomass,coal,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean
0,2019-01-01 00:00:00+00:00,210.88,22572,34223,8.42130068094308,276.039422182928,271.245146013833,0,0.886363033348692
1,2019-01-01 01:00:00+00:00,195.59,22427,30980,8.08250430070919,275.767740079199,271.43431492358,0,0.361529483637024
2,2019-01-01 02:00:00+00:00,192.4,22332,30088,8.08250430070919,275.767740079199,271.43431492358,0,0.361529483637024
3,2019-01-01 03:00:00+00:00,190.75,22308,30424,8.08250430070919,275.767740079199,271.43431492358,0,0.361529483637024
4,2019-01-01 04:00:00+00:00,183.38,22323,29870,7.46461010694404,274.920889163297,270.536057046069,0,0.756256795631525
5,2019-01-01 05:00:00+00:00,178.49,22317,29375,7.46461010694404,274.920889163297,270.536057046069,0,0.756256795631525
6,2019-01-01 06:00:00+00:00,173.5,22353,28890,7.46461010694404,274.920889163297,270.536057046069,0,0.756256795631525
7,2019-01-01 07:00:00+00:00,170.61,22396,28926,7.29680698054925,274.873999744326,269.818629458269,21.5793371066809,0.392469545279545
8,2019-01-01 08:00:00+00:00,169.59,22410,28849,7.29680698054925,274.873999744326,269.818629458269,21.5793371066809,0.392469545279545
9,2019-01-01 09:00:00+00:00,174.43,22488,30618,7.29680698054925,274.873999744326,269.818629458269,21.5793371066809,0.392469545279545
10,2019-01-01 10:00:00+00:00,168.9,22463,30523,7.70333816903043,275.561293788338,268.697889411541,90.4055354291734,0.790126140774607
11,2019-01-01 11:00:00+00:00,163.56,22482,30818,7.70333816903043,275.561293788338,268.697889411541,90.4055354291734,0.790126140774607
12,2019-01-01 12:00:00+00:00,163.9,22488,31117,7.70333816903043,275.561293788338,268.697889411541,90.4055354291734,0.790126140774607
13,2019-01-01 13:00:00+00:00,162.52,22463,30975,5.6375661879466,274.291688782847,268.488500951398,105.703280472118,0.203978672809469
14,2019-01-01 14:00:00+00:00,163.71,22469,31277,5.6375661879466,274.291688782847,268.488500951398,105.703280472118,0.203978672809469
15,2019-01-01 15:00:00+00:00,163.19,22437,31160,5.6375661879466,274.291688782847,268.488500951398,105.703280472118,0.203978672809469
16,2019-01-01 16:00:00+00:00,160.53,22427,30844,4.64912424674873,272.808702802078,268.232846277559,53.4469729225583,0.371129030034499
17,2019-01-01 17:00:00+00:00,159.21,22429,30790,4.64912424674873,272.808702802078,268.232846277559,53.4469729225583,0.371129030034499
18,2019-01-01 18:00:00+00:00,159.28,22497,30594,4.64912424674873,272.808702802078,268.232846277559,53.4469729225583,0.371129030034499
19,2019-01-01 19:00:00+00:00,160.68,22414,30575,4.21632063670447,272.357247899848,268.205352995595,0,0.068974735292114
20,2019-01-01 20:00:00+00:00,162.06,22415,30464,4.21632063670447,272.357247899848,268.205352995595,0,0.068974735292114
21,2019-01-01 21:00:00+00:00,164.49,22371,30638,4.21632063670447,272.357247899848,268.205352995595,0,0.068974735292114
22,2019-01-01 22:00:00+00:00,165.24,22279,30316,4.12414348110672,272.197877501465,268.354794553931,0,0.1854490398884
23,2019-01-01 23:00:00+00:00,166.07,22242,29951,4.12414348110672,272.197877501465,268.354794553931,0,0.1854490398884
24,2019-01-02 00:00:00+00:00,172.94,21692,30455,4.12414348110672,272.197877501465,268.354794553931,0,0.1854490398884
25,2019-01-02 01:00:00+00:00,173.22,20687,30363,4.24908165332332,272.543300255691,269.020988290337,0,0.050781415687871
