,UTC time,carbon_intensity,biomass,coal,nat_gas,geothermal,hydro,avg_hydro_production_forecast
0,2019-01-01 00:00:00+00:00,210.88,22572,34223,14677,76,6181,0
1,2019-01-01 01:00:00+00:00,195.59,22427,30980,13386,76,6197,0
2,2019-01-01 02:00:00+00:00,192.4,22332,30088,12653,76,6028,0
3,2019-01-01 03:00:00+00:00,190.75,22308,30424,12680,75,5985,0
4,2019-01-01 04:00:00+00:00,183.38,22323,29870,12954,72,5692,0
5,2019-01-01 05:00:00+00:00,178.49,22317,29375,12831,72,5569,0
6,2019-01-01 06:00:00+00:00,173.5,22353,28890,12777,71,5695,0
7,2019-01-01 07:00:00+00:00,170.61,22396,28926,12896,72,5691,0
8,2019-01-01 08:00:00+00:00,169.59,22410,28849,13264,72,5827,0
9,2019-01-01 09:00:00+00:00,174.43,22488,30618,13444,72,5994,0
10,2019-01-01 10:00:00+00:00,168.9,22463,30523,13437,68,6174,0
11,2019-01-01 11:00:00+00:00,163.56,22482,30818,13637,68,6367,0
12,2019-01-01 12:00:00+00:00,163.9,22488,31117,13820,69,6356,0
13,2019-01-01 13:00:00+00:00,162.52,22463,30975,13639,68,6295,0
14,2019-01-01 14:00:00+00:00,163.71,22469,31277,13436,68,6488,0
15,2019-01-01 15:00:00+00:00,163.19,22437,31160,13350,68,6147,0
16,2019-01-01 16:00:00+00:00,160.53,22427,30844,13497,68,6163,0
17,2019-01-01 17:00:00+00:00,159.21,22429,30790,13459,68,5746,0
18,2019-01-01 18:00:00+00:00,159.28,22497,30594,13219,68,5712,0
19,2019-01-01 19:00:00+00:00,160.68,22414,30575,13207,68,5676,0
20,2019-01-01 20:00:00+00:00,162.06,22415,30464,13158,68,5623,0
21,2019-01-01 21:00:00+00:00,164.49,22371,30638,12951,72,5595,0
22,2019-01-01 22:00:00+00:00,165.24,22279,30316,12958,72,5490,0
23,2019-01-01 23:00:00+00:00,166.07,22242,29951,12683,72,5407,0
24,2019-01-02 00:00:00+00:00,172.94,21692,30455,12430,73,5491,0
25,2019-01-02 01:00:00+00:00,173.22,20687,30363,11916,75,5330,0
26,2019-01-02 02:00:00+00:00,177.27,20602,31195,11800,76,5360,0
27,2019-01-02 03:00:00+00:00,179.52,20532,31654,11887,76,5273,0
28,2019-01-02 04:00:00+00:00,179.67,20778,32044,12254,74,5198,0
29,2019-01-02 05:00:00+00:00,180.19,21964,33082,14416,72,5447,0
30,2019-01-02 06:00:00+00:00,188.3,22060,37401,17616,72,5639,0
31,2019-01-02 07:00:00+00:00,202.24,22198,42858,19263,72,5615,0
32,2019-01-02 08:00:00+00:00,221.06,22246,49720,20241,70,5596,0
33,2019-01-02 09:00:00+00:00,233.62,22310,55842,21563,68,5525,0
34,2019-01-02 10:00:00+00:00,229.37,22315,56713,21025,68,5654,0
35,2019-01-02 11:00:00+00:00,227.22,22374,57733,21382,68,5843,0
36,2019-01-02 12:00:00+00:00,225.91,22427,56999,21780,68,5891,0
37,2019-01-02 13:00:00+00:00,231.64,22397,57102,21872,68,5819,0
38,2019-01-02 14:00:00+00:00,257.14,22496,63157,21690,68,5822,0
39,2019-01-02 15:00:00+00:00,293.39,22499,73156,22275,68,5849,0
40,2019-01-02 16:00:00+00:00,319.7,22436,82045,23472,77,5840,0
41,2019-01-02 17:00:00+00:00,331.73,22505,85035,24364,87,5875,0
42,2019-01-02 18:00:00+00:00,344.46,22547,87052,25220,88,6056,0
43,2019-01-02 19:00:00+00:00,354.83,22521,87728,25378,88,5955,0
44,2019-01-02 20:00:00+00:00,365.16,22430,88941,24567,88,5679,0
45,2019-01-02 21:00:00+00:00,366.63,22418,85946,23943,88,5569,0
46,2019-01-02 22:00:00+00:00,371.46,22197,84583,23442,90,5607,0
47,2019-01-02 23:00:00+00:00,369.04,22081,80479,23203,92,5686,0
48,2019-01-03 00:00:00+00:00,367.28,21940,79743,22868,92,5729,0
49,2019-01-03 01:00:00+00:00,370.32,21926,81146,22861,92,5750,0
