UTC time,coal,nat_gas,wind
2019-01-01 00:00:00,2178.0,673.0,266.0
2019-01-01 01:00:00,2129.0,674.0,331.0
2019-01-01 02:00:00,2066.0,675.0,390.0
2019-01-01 03:00:00,2009.0,668.0,356.0
2019-01-01 04:00:00,1981.0,674.0,308.0
2019-01-01 05:00:00,1843.0,673.0,282.0
2019-01-01 06:00:00,1805.0,687.0,284.0
2019-01-01 07:00:00,1841.0,668.0,266.0
2019-01-01 08:00:00,1800.0,667.0,238.0
2019-01-01 09:00:00,1768.0,668.0,216.0
2019-01-01 10:00:00,1760.0,673.0,199.0
2019-01-01 11:00:00,1842.0,680.0,221.0
2019-01-01 12:00:00,2075.0,732.0,220.0
2019-01-01 13:00:00,2228.0,764.0,199.0
2019-01-01 14:00:00,2287.0,785.0,156.0
2019-01-01 15:00:00,2290.0,749.0,122.0
2019-01-01 16:00:00,2288.0,881.0,96.0
2019-01-01 17:00:00,2290.0,954.0,59.0
2019-01-01 18:00:00,2279.0,978.0,49.0
2019-01-01 19:00:00,2270.0,985.0,26.0
2019-01-01 20:00:00,2285.0,950.0,25.0
2019-01-01 21:00:00,2288.0,956.0,27.0
2019-01-01 22:00:00,2292.0,872.0,20.0
2019-01-01 23:00:00,2295.0,888.0,18.0
2019-01-02 00:00:00,2299.0,917.0,1.0
2019-01-02 01:00:00,2304.0,775.0,0.0
2019-01-02 02:00:00,2300.0,800.0,0.0
2019-01-02 03:00:00,2300.0,768.0,0.0
2019-01-02 04:00:00,2295.0,847.0,0.0
2019-01-02 05:00:00,2297.0,825.0,0.0
2019-01-02 06:00:00,2291.0,762.0,0.0
2019-01-02 07:00:00,2260.0,723.0,0.0
2019-01-02 08:00:00,2216.0,706.0,5.0
2019-01-02 09:00:00,2190.0,705.0,4.0
2019-01-02 10:00:00,2169.0,704.0,5.0
2019-01-02 11:00:00,2246.0,709.0,9.0
2019-01-02 12:00:00,2289.0,764.0,17.0
2019-01-02 13:00:00,2305.0,758.0,37.0
2019-01-02 14:00:00,2303.0,951.0,49.0
2019-01-02 15:00:00,2297.0,912.0,46.0
2019-01-02 16:00:00,2306.0,989.0,78.0
2019-01-02 17:00:00,2300.0,997.0,81.0
2019-01-02 18:00:00,2305.0,983.0,77.0
2019-01-02 19:00:00,2305.0,940.0,108.0
2019-01-02 20:00:00,2310.0,979.0,21.0
2019-01-02 21:00:00,2357.0,924.0,22.0
2019-01-02 22:00:00,2346.0,945.0,0.0
2019-01-02 23:00:00,2335.0,944.0,17.0
2019-01-03 00:00:00,2356.0,957.0,61.0
2019-01-03 01:00:00,2335.0,894.0,69.0
2019-01-03 02:00:00,2341.0,942.0,30.0
2019-01-03 03:00:00,2342.0,886.0,41.0
2019-01-03 04:00:00,2338.0,894.0,35.0
