Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
39216,2023-06-23 00:00:00,2024-07-17 00:00:00,3.1,83.0,42.0,24.0,0.0,71.0,68.0,3.0
39217,2023-06-23 01:00:00,2024-07-17 00:00:00,3.1,82.21,42.0,25.0,5.0,67.0,68.0,3.0
39218,2023-06-23 02:00:00,2024-07-17 00:00:00,3.1,78.84,42.0,25.0,20.0,61.0,68.0,3.0
39219,2023-06-23 03:00:00,2024-07-17 00:00:00,3.1,72.24,42.0,24.0,43.0,59.0,68.0,3.0
39220,2023-06-23 04:00:00,2024-07-17 00:00:00,3.1,65.56,43.0,25.0,88.0,43.0,67.0,3.0
39221,2023-06-23 05:00:00,2024-07-17 00:00:00,3.1,56.98,44.0,25.0,157.0,21.0,66.0,3.0
39222,2023-06-23 06:00:00,2024-07-17 00:00:00,3.1,45.01,44.0,25.0,250.0,12.0,66.0,3.0
39223,2023-06-23 07:00:00,2024-07-17 00:00:00,3.1,34.53,42.0,25.0,360.0,5.0,65.0,3.0
39224,2023-06-23 08:00:00,2024-07-17 00:00:00,3.1,31.0,42.0,24.0,416.0,6.0,66.0,3.0
39225,2023-06-23 09:00:00,2024-07-17 00:00:00,3.1,28.68,42.0,25.0,448.0,17.0,67.0,3.0
39226,2023-06-23 10:00:00,2024-07-17 00:00:00,3.1,31.7,47.0,25.0,398.0,64.0,66.0,3.0
39227,2023-06-23 11:00:00,2024-07-17 00:00:00,3.1,62.53,104.0,25.0,330.0,116.0,65.0,3.0
39228,2023-06-23 12:00:00,2024-07-17 00:00:00,3.1,160.95,292.0,24.0,184.0,114.0,65.0,3.0
39229,2023-06-23 13:00:00,2024-07-17 00:00:00,3.1,201.57,411.0,24.0,144.0,114.0,67.0,3.0
39230,2023-06-23 14:00:00,2024-07-17 00:00:00,3.1,207.01,373.0,24.0,112.0,96.0,67.0,3.0
39231,2023-06-23 15:00:00,2024-07-17 00:00:00,3.1,230.68,433.0,24.0,96.0,79.0,67.0,3.0
39232,2023-06-23 16:00:00,2024-07-17 00:00:00,3.1,227.85,387.0,24.0,81.0,74.0,67.0,3.0
39233,2023-06-23 17:00:00,2024-07-17 00:00:00,3.1,233.24,366.0,24.0,43.0,85.0,67.0,3.0
39234,2023-06-23 18:00:00,2024-07-17 00:00:00,3.1,255.6,367.0,24.0,2.0,75.0,67.0,3.0
39235,2023-06-23 19:00:00,2024-07-17 00:00:00,3.1,248.66,369.0,24.0,0.0,93.0,67.0,3.0
39236,2023-06-23 20:00:00,2024-07-17 00:00:00,3.1,240.85,382.0,25.0,0.0,117.0,67.0,3.0
39237,2023-06-23 21:00:00,2024-07-17 00:00:00,3.1,238.06,346.0,24.0,0.0,105.0,67.0,3.0
39238,2023-06-23 22:00:00,2024-07-17 00:00:00,3.1,71.69,43.0,24.0,0.0,109.0,67.0,3.0
39239,2023-06-23 23:00:00,2024-07-17 00:00:00,3.1,67.05,43.0,24.0,0.0,125.0,68.0,3.0
