UTC time,coal,nat_gas,oil,hydro,solar,wind
2023-09-04 00:00:00,1881.0,2041.0,0.0,85.0,1057.0,1769.0
2023-09-04 01:00:00,1753.0,1918.0,0.0,62.0,651.0,2160.0
2023-09-04 02:00:00,1674.0,1913.0,0.0,97.0,157.0,2365.0
2023-09-04 03:00:00,1720.0,2099.0,0.0,61.0,95.0,1813.0
2023-09-04 04:00:00,1757.0,1974.0,0.0,61.0,17.0,1613.0
2023-09-04 05:00:00,1728.0,1947.0,0.0,61.0,13.0,1257.0
2023-09-04 06:00:00,1790.0,1795.0,0.0,61.0,15.0,1138.0
2023-09-04 07:00:00,1624.0,1746.0,0.0,21.0,11.0,1242.0
2023-09-04 08:00:00,1500.0,1607.0,0.0,12.0,57.0,1322.0
2023-09-04 09:00:00,1563.0,1689.0,0.0,11.0,1.0,976.0
2023-09-04 10:00:00,1557.0,1698.0,0.0,11.0,0.0,870.0
2023-09-04 11:00:00,1563.0,1684.0,0.0,11.0,0.0,758.0
2023-09-04 12:00:00,1521.0,1717.0,0.0,11.0,0.0,726.0
2023-09-04 13:00:00,1502.0,1697.0,0.0,11.0,160.0,706.0
2023-09-04 14:00:00,1428.0,1530.0,0.0,11.0,801.0,667.0
2023-09-04 15:00:00,1324.0,1316.0,0.0,12.0,1626.0,474.0
2023-09-04 16:00:00,1366.0,1602.0,0.0,11.0,1767.0,484.0
2023-09-04 17:00:00,1398.0,1659.0,0.0,11.0,1809.0,702.0
2023-09-04 18:00:00,1419.0,1750.0,0.0,11.0,1899.0,779.0
2023-09-04 19:00:00,1482.0,1707.0,0.0,10.0,2005.0,1153.0
2023-09-04 20:00:00,1415.0,1450.0,0.0,13.0,2074.0,1723.0
2023-09-04 21:00:00,1325.0,1379.0,0.0,11.0,2117.0,2299.0
2023-09-04 22:00:00,1371.0,1523.0,0.0,11.0,2117.0,2366.0
2023-09-04 23:00:00,1396.0,1506.0,0.0,11.0,2083.0,2635.0
