UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-01-23 00:00:00,2024-07-17 00:00:00,3.1,2.456485913620029,267.3778695791957,264.6234447888497,313.9996081664433,0.2571405675225132,1923.83492,1936.54216,0.00739,33.9003,337.48945,889.65276
2023-01-23 01:00:00,2024-07-17 00:00:00,3.1,2.763570158388874,263.8387273086302,261.2877900279069,0.643409878750737,0.0332572944686898,1957.37645,1980.25018,0.00242,31.62506,186.59798,975.02726
2023-01-23 02:00:00,2024-07-17 00:00:00,3.1,2.763570158388874,263.8387273086302,261.2877900279069,0.643409878750737,0.0332572944686898,1980.788,2077.47149,0.0,29.66824,55.80291,1040.17362
2023-01-23 03:00:00,2024-07-17 00:00:00,3.1,2.763570158388874,263.8387273086302,261.2877900279069,0.643409878750737,0.0332572944686898,1985.48011,2077.24681,0.0,25.11178,0.0,1129.60001
2023-01-23 04:00:00,2024-07-17 00:00:00,3.1,2.6678405091304973,263.0382204180139,260.5113936537956,0.3217914865390786,0.0487994234802844,1962.61984,2046.6518,0.0418,29.08897,0.0,1151.66755
2023-01-23 05:00:00,2024-07-17 00:00:00,3.1,2.6678405091304973,263.0382204180139,260.5113936537956,0.3217914865390786,0.0487994234802844,1931.85103,2017.17914,0.03362,27.84243,0.0,1205.57986
2023-01-23 06:00:00,2024-07-17 00:00:00,3.1,2.6678405091304973,263.0382204180139,260.5113936537956,0.3217914865390786,0.0487994234802844,1903.05138,1988.48547,0.05605,22.72148,0.0,1226.74878
2023-01-23 07:00:00,2024-07-17 00:00:00,3.1,2.7054635027326785,262.8750429315447,260.3889670048983,0.0,0.0298396601000594,1899.91542,1949.74877,0.05599,20.14889,4.59721,1232.3611
2023-01-23 08:00:00,2024-07-17 00:00:00,3.1,2.7054635027326785,262.8750429315447,260.3889670048983,0.0,0.0298396601000594,1910.19932,1950.31679,0.05202,24.45578,13.80989,1224.81551
2023-01-23 09:00:00,2024-07-17 00:00:00,3.1,2.7054635027326785,262.8750429315447,260.3889670048983,0.0,0.0298396601000594,1883.13603,1864.313,0.01523,20.68697,0.0,1261.48353
2023-01-23 10:00:00,2024-07-17 00:00:00,3.1,2.913694821817976,263.13542355583087,260.75548867536975,0.0,0.1395376251380194,1849.06147,1789.44684,0.02465,23.63783,0.0,1318.78293
2023-01-23 11:00:00,2024-07-17 00:00:00,3.1,2.913694821817976,263.13542355583087,260.75548867536975,0.0,0.1395376251380194,1848.07167,1802.23259,0.0,33.84834,5.49169,1335.45944
2023-01-23 12:00:00,2024-07-17 00:00:00,3.1,2.913694821817976,263.13542355583087,260.75548867536975,0.0,0.1395376251380194,1841.48386,1820.38044,0.01164,31.31655,0.0,1343.19119
2023-01-23 13:00:00,2024-07-17 00:00:00,3.1,2.9889670737210485,264.0377966759705,261.63803542964536,7.364203183911074,0.0843803172795168,1816.294,1839.77164,0.01677,27.31081,0.07032,1325.55962
2023-01-23 14:00:00,2024-07-17 00:00:00,3.1,2.9889670737210485,264.0377966759705,261.63803542964536,7.364203183911074,0.0843803172795168,1819.67902,1838.80655,0.00871,24.38759,100.91298,1329.73778
2023-01-23 15:00:00,2024-07-17 00:00:00,3.1,2.9889670737210485,264.0377966759705,261.63803542964536,7.364203183911074,0.0843803172795168,1831.07272,1842.73071,0.03213,24.13816,243.81991,1283.17778
2023-01-23 16:00:00,2024-07-17 00:00:00,3.1,4.256191734717666,268.63432622075493,264.7911345933919,141.71632115536968,0.1589628215657827,1829.73433,1857.01081,0.0891,25.90538,411.97063,1229.88756
2023-01-23 17:00:00,2024-07-17 00:00:00,3.1,4.256191734717666,268.63432622075493,264.7911345933919,141.71632115536968,0.1589628215657827,1835.67472,1855.6526,0.06501,29.24487,529.78311,1177.31727
2023-01-23 18:00:00,2024-07-17 00:00:00,3.1,4.256191734717666,268.63432622075493,264.7911345933919,141.71632115536968,0.1589628215657827,1830.3358,1824.89878,0.05565,20.09512,567.70842,1157.47542
2023-01-23 19:00:00,2024-07-17 00:00:00,3.1,4.972215760906891,270.0015204590871,265.7992553485274,475.2834515994417,0.0832726331609451,1848.78211,1807.48124,0.00918,22.04016,554.81695,1160.83465
2023-01-23 20:00:00,2024-07-17 00:00:00,3.1,4.972215760906891,270.0015204590871,265.7992553485274,475.2834515994417,0.0832726331609451,1871.4748,1829.214,0.0,14.76348,553.82086,1129.3492
2023-01-23 21:00:00,2024-07-17 00:00:00,3.1,4.972215760906891,270.0015204590871,265.7992553485274,475.2834515994417,0.0832726331609451,1907.85567,1847.02467,0.0,17.14337,551.34767,1111.05095
2023-01-23 22:00:00,2024-07-17 00:00:00,3.1,3.6667808798211583,267.245260752442,264.60552848861346,342.721736144129,0.225205462690645,1923.08956,1894.27349,0.0,22.5224,531.00246,1106.85843
2023-01-23 23:00:00,2024-07-17 00:00:00,3.1,3.6667808798211583,267.245260752442,264.60552848861346,342.721736144129,0.225205462690645,1925.65236,1952.36608,0.0,24.88892,468.85459,1119.41642
2023-01-24 00:00:00,2024-07-17 00:00:00,3.1,3.6667808798211583,267.245260752442,264.60552848861346,342.721736144129,0.225205462690645,1850.98808,1752.91132,0.00739,33.9003,275.95164,1368.64798
2023-01-24 01:00:00,2024-07-17 00:00:00,3.1,3.4040745376463937,264.8281031079746,262.4863178417324,0.7824555037758782,0.1235079950897019,1882.56928,1802.82362,0.00242,31.62506,147.60853,1386.82077
2023-01-24 02:00:00,2024-07-17 00:00:00,3.1,3.4040745376463937,264.8281031079746,262.4863178417324,0.7824555037758782,0.1235079950897019,1905.76891,1901.4523,0.0,29.66824,44.01351,1400.92864
2023-01-24 03:00:00,2024-07-17 00:00:00,3.1,3.4040745376463937,264.8281031079746,262.4863178417324,0.7824555037758782,0.1235079950897019,1910.46122,1906.9989,0.0,25.11178,1.69145,1416.82831
2023-01-24 04:00:00,2024-07-17 00:00:00,3.1,3.2638185975278504,264.022191974094,261.3444324745593,0.3910925102504006,0.2274832568346322,1889.91529,1884.96534,0.0418,29.08897,0.0,1366.02384
2023-01-24 05:00:00,2024-07-17 00:00:00,3.1,3.2638185975278504,264.022191974094,261.3444324745593,0.3910925102504006,0.2274832568346322,1862.40728,1866.28965,0.03362,27.84243,2.77877,1359.51409
2023-01-24 06:00:00,2024-07-17 00:00:00,3.1,3.2638185975278504,264.022191974094,261.3444324745593,0.3910925102504006,0.2274832568346322,1836.27097,1844.33425,0.05605,22.72148,0.0,1328.27589
2023-01-24 07:00:00,2024-07-17 00:00:00,3.1,3.223639730486448,263.8332684487312,260.9975072860242,0.0,0.1120693114416775,1834.89203,1811.516,0.05599,20.14889,0.0,1277.89002
2023-01-24 08:00:00,2024-07-17 00:00:00,3.1,3.223639730486448,263.8332684487312,260.9975072860242,0.0,0.1120693114416775,1845.23855,1814.4059,0.05202,24.45578,5.61041,1237.04396
2023-01-24 09:00:00,2024-07-17 00:00:00,3.1,3.223639730486448,263.8332684487312,260.9975072860242,0.0,0.1120693114416775,1821.95744,1738.90239,0.01523,20.68697,0.0,1233.55286
2023-01-24 10:00:00,2024-07-17 00:00:00,3.1,3.258718962956128,263.6907993125552,260.8350519842924,0.0,0.2812857172143675,1790.52615,1673.1389,0.02465,23.63783,0.0,1248.10755
2023-01-24 11:00:00,2024-07-17 00:00:00,3.1,3.258718962956128,263.6907993125552,260.8350519842924,0.0,0.2812857172143675,1790.54582,1688.4145,0.0,33.84834,19.65325,1257.57016
