,UTC time,carbon_intensity,biomass,coal,nat_gas,avg_nat_gas_production_forecast
0,2019-01-01 00:00:00+00:00,210.88,22572,34223,14677,0
1,2019-01-01 01:00:00+00:00,195.59,22427,30980,13386,0
2,2019-01-01 02:00:00+00:00,192.4,22332,30088,12653,0
3,2019-01-01 03:00:00+00:00,190.75,22308,30424,12680,0
4,2019-01-01 04:00:00+00:00,183.38,22323,29870,12954,0
5,2019-01-01 05:00:00+00:00,178.49,22317,29375,12831,0
6,2019-01-01 06:00:00+00:00,173.5,22353,28890,12777,0
7,2019-01-01 07:00:00+00:00,170.61,22396,28926,12896,0
8,2019-01-01 08:00:00+00:00,169.59,22410,28849,13264,0
9,2019-01-01 09:00:00+00:00,174.43,22488,30618,13444,0
10,2019-01-01 10:00:00+00:00,168.9,22463,30523,13437,0
11,2019-01-01 11:00:00+00:00,163.56,22482,30818,13637,0
12,2019-01-01 12:00:00+00:00,163.9,22488,31117,13820,0
13,2019-01-01 13:00:00+00:00,162.52,22463,30975,13639,0
14,2019-01-01 14:00:00+00:00,163.71,22469,31277,13436,0
15,2019-01-01 15:00:00+00:00,163.19,22437,31160,13350,0
16,2019-01-01 16:00:00+00:00,160.53,22427,30844,13497,0
17,2019-01-01 17:00:00+00:00,159.21,22429,30790,13459,0
18,2019-01-01 18:00:00+00:00,159.28,22497,30594,13219,0
19,2019-01-01 19:00:00+00:00,160.68,22414,30575,13207,0
20,2019-01-01 20:00:00+00:00,162.06,22415,30464,13158,0
21,2019-01-01 21:00:00+00:00,164.49,22371,30638,12951,0
22,2019-01-01 22:00:00+00:00,165.24,22279,30316,12958,0
23,2019-01-01 23:00:00+00:00,166.07,22242,29951,12683,0
24,2019-01-02 00:00:00+00:00,172.94,21692,30455,12430,0
25,2019-01-02 01:00:00+00:00,173.22,20687,30363,11916,0
26,2019-01-02 02:00:00+00:00,177.27,20602,31195,11800,0
27,2019-01-02 03:00:00+00:00,179.52,20532,31654,11887,0
28,2019-01-02 04:00:00+00:00,179.67,20778,32044,12254,0
29,2019-01-02 05:00:00+00:00,180.19,21964,33082,14416,0
30,2019-01-02 06:00:00+00:00,188.3,22060,37401,17616,0
