,UTC time,carbon_intensity,wind,hydro,biomass,nat_gas,oil,coal,solar
13128,2021-07-01 00:00:00,621.37,1706,130,169,1408,199,11849,0
13129,2021-07-01 01:00:00,614.45,1835,130,166,1406,200,11644,0
13130,2021-07-01 02:00:00,616.4,1762,130,172,1410,199,11588,4
13131,2021-07-01 03:00:00,613.88,1653,129,229,1468,199,11665,115
13132,2021-07-01 04:00:00,626.73,1503,131,247,1715,199,14210,368
13133,2021-07-01 05:00:00,623.47,1352,141,249,1698,200,15098,804
13134,2021-07-01 06:00:00,615.49,1366,151,248,1619,199,15629,1191
13135,2021-07-01 07:00:00,594.78,1655,146,247,1589,200,15404,1567
13136,2021-07-01 08:00:00,582.93,1836,147,245,1502,187,15237,1795
13137,2021-07-01 09:00:00,574.32,2006,148,245,1488,185,15278,1957
13138,2021-07-01 10:00:00,566.52,2120,146,248,1485,184,15417,2184
13139,2021-07-01 11:00:00,561.19,2019,146,248,1642,183,15105,2328
13140,2021-07-01 12:00:00,568.35,2046,145,245,1705,184,14987,1970
13141,2021-07-01 13:00:00,574.83,1933,150,245,1638,185,14711,1773
13142,2021-07-01 14:00:00,588.54,1754,149,245,1701,185,15316,1625
13143,2021-07-01 15:00:00,603.51,1477,196,245,1672,181,15311,1346
13144,2021-07-01 16:00:00,624.96,1311,205,242,1668,182,15621,873
13145,2021-07-01 17:00:00,647.73,1091,205,239,1683,185,15922,434
13146,2021-07-01 18:00:00,656.3,1089,226,243,1658,185,15783,142
13147,2021-07-01 19:00:00,656.6,1183,225,244,1674,184,15639,10
13148,2021-07-01 20:00:00,657.27,1177,201,242,1582,184,15239,0
13149,2021-07-01 21:00:00,654.29,1221,201,241,1593,195,15036,0
13150,2021-07-01 22:00:00,654.24,1151,146,235,1575,197,14173,0
13151,2021-07-01 23:00:00,654.38,1052,135,237,1578,197,13535,0
13152,2021-07-02 00:00:00,656.77,948,135,236,1480,197,12982,0
13153,2021-07-02 01:00:00,661.71,807,135,233,1459,196,12751,0
13154,2021-07-02 02:00:00,664.45,735,135,243,1473,197,12826,2
13155,2021-07-02 03:00:00,669.62,696,136,247,1498,197,13883,47
13156,2021-07-02 04:00:00,675.52,573,144,247,1622,196,15494,162
13157,2021-07-02 05:00:00,670.48,483,192,247,1683,196,15771,352
13158,2021-07-02 06:00:00,666.87,426,207,250,1700,196,16144,538
13159,2021-07-02 07:00:00,659.72,412,212,248,1701,196,16232,773
