UTC Time,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Waste,Wind Offshore,Wind Onshore
2019-01-01 00:00:00+00:00,159.0,1637.0,0.0,0.0,39.0,2376.0,673.0,0.0,258.0,500.0,305.0
2019-01-01 01:00:00+00:00,159.0,1587.0,0.0,0.0,40.0,2383.0,631.0,0.0,259.0,554.0,292.0
2019-01-01 02:00:00+00:00,162.0,1598.0,0.0,0.0,39.0,2413.0,619.0,0.0,255.0,511.0,343.0
2019-01-01 03:00:00+00:00,165.0,1535.0,0.0,0.0,37.0,2416.0,619.0,0.0,254.0,609.0,392.0
2019-01-01 04:00:00+00:00,168.0,1566.0,0.0,0.0,34.0,2438.0,633.0,0.0,259.0,640.0,371.0
2019-01-01 05:00:00+00:00,165.0,1501.0,0.0,0.0,35.0,2451.0,652.0,0.0,262.0,802.0,412.0
2019-01-01 06:00:00+00:00,165.0,1602.0,0.0,0.0,35.0,2449.0,667.0,0.0,280.0,875.0,443.0
2019-01-01 07:00:00+00:00,163.0,1652.0,0.0,0.0,35.0,2449.0,665.0,0.0,292.0,792.0,364.0
2019-01-01 08:00:00+00:00,163.0,1677.0,0.0,0.0,35.0,2452.0,679.0,13.0,289.0,678.0,398.0
2019-01-01 09:00:00+00:00,167.0,1612.0,0.0,0.0,37.0,2464.0,690.0,66.0,286.0,819.0,422.0
2019-01-01 10:00:00+00:00,165.0,1698.0,0.0,0.0,38.0,2493.0,692.0,126.0,287.0,678.0,451.0
2019-01-01 11:00:00+00:00,168.0,1721.0,0.0,0.0,38.0,2532.0,715.0,121.0,287.0,815.0,504.0
2019-01-01 12:00:00+00:00,169.0,1919.0,0.0,0.0,37.0,2567.0,715.0,90.0,286.0,774.0,489.0
2019-01-01 13:00:00+00:00,156.0,1865.0,0.0,0.0,38.0,2570.0,770.0,70.0,289.0,594.0,419.0
2019-01-01 14:00:00+00:00,156.0,2015.0,0.0,0.0,38.0,2573.0,792.0,54.0,289.0,664.0,430.0
2019-01-01 15:00:00+00:00,153.0,2011.0,0.0,0.0,38.0,2577.0,763.0,9.0,285.0,942.0,458.0
2019-01-01 16:00:00+00:00,153.0,2107.0,0.0,0.0,37.0,2573.0,699.0,0.0,285.0,865.0,572.0
2019-01-01 17:00:00+00:00,156.0,2170.0,0.0,0.0,37.0,2588.0,652.0,0.0,287.0,999.0,635.0
2019-01-01 18:00:00+00:00,153.0,2074.0,0.0,0.0,36.0,2626.0,632.0,0.0,287.0,1097.0,549.0
2019-01-01 19:00:00+00:00,153.0,2121.0,0.0,0.0,36.0,2645.0,601.0,0.0,269.0,1134.0,644.0
2019-01-01 20:00:00+00:00,152.0,2223.0,0.0,0.0,36.0,2675.0,582.0,0.0,258.0,1090.0,700.0
2019-01-01 21:00:00+00:00,155.0,2190.0,0.0,0.0,36.0,2698.0,569.0,0.0,263.0,1104.0,615.0
2019-01-01 22:00:00+00:00,158.0,2293.0,0.0,0.0,36.0,2708.0,632.0,0.0,258.0,1058.0,595.0
2019-01-01 23:00:00+00:00,156.0,2583.0,0.0,0.0,36.0,2711.0,672.0,0.0,258.0,1077.0,518.0
2019-01-02 00:00:00+00:00,153.0,2685.0,0.0,0.0,36.0,2740.0,672.0,0.0,250.0,1044.0,550.0
2019-01-02 01:00:00+00:00,154.0,2676.0,0.0,0.0,36.0,2743.0,642.0,0.0,249.0,1053.0,510.0
2019-01-02 02:00:00+00:00,153.0,2741.0,0.0,0.0,36.0,2746.0,644.0,0.0,247.0,1045.0,513.0
2019-01-02 03:00:00+00:00,156.0,2856.0,0.0,0.0,36.0,2756.0,636.0,0.0,249.0,1002.0,471.0
2019-01-02 04:00:00+00:00,143.0,3133.0,0.0,0.0,35.0,2775.0,648.0,0.0,246.0,855.0,467.0
2019-01-02 05:00:00+00:00,130.0,3758.0,0.0,0.0,34.0,2789.0,718.0,0.0,237.0,906.0,431.0
2019-01-02 06:00:00+00:00,90.0,4290.0,0.0,0.0,35.0,2793.0,747.0,0.0,256.0,835.0,485.0
2019-01-02 07:00:00+00:00,92.0,4536.0,0.0,0.0,35.0,2828.0,764.0,0.0,273.0,916.0,524.0
2019-01-02 08:00:00+00:00,110.0,4623.0,0.0,0.0,35.0,2838.0,791.0,54.0,276.0,863.0,472.0
2019-01-02 09:00:00+00:00,121.0,4750.0,0.0,35.0,35.0,2840.0,801.0,180.0,271.0,801.0,473.0
2019-01-02 10:00:00+00:00,122.0,4845.0,0.0,153.0,34.0,2844.0,810.0,294.0,267.0,711.0,437.0
2019-01-02 11:00:00+00:00,122.0,4897.0,0.0,154.0,35.0,2866.0,798.0,350.0,272.0,803.0,432.0
2019-01-02 12:00:00+00:00,133.0,4920.0,0.0,154.0,35.0,2906.0,819.0,310.0,276.0,620.0,375.0
2019-01-02 13:00:00+00:00,174.0,4883.0,0.0,153.0,34.0,2939.0,796.0,247.0,278.0,480.0,372.0
2019-01-02 14:00:00+00:00,214.0,4923.0,0.0,154.0,34.0,2942.0,783.0,127.0,275.0,451.0,312.0
2019-01-02 15:00:00+00:00,260.0,4879.0,0.0,154.0,34.0,2949.0,823.0,18.0,271.0,394.0,288.0
2019-01-02 16:00:00+00:00,319.0,4931.0,0.0,12.0,32.0,2966.0,833.0,0.0,274.0,286.0,282.0
2019-01-02 17:00:00+00:00,334.0,5013.0,0.0,0.0,31.0,2966.0,846.0,0.0,279.0,319.0,273.0
2019-01-02 18:00:00+00:00,361.0,5008.0,0.0,0.0,31.0,2965.0,810.0,0.0,276.0,236.0,287.0
2019-01-02 19:00:00+00:00,369.0,4850.0,0.0,0.0,32.0,2953.0,803.0,0.0,258.0,205.0,249.0
2019-01-02 20:00:00+00:00,376.0,4260.0,0.0,0.0,32.0,2991.0,765.0,0.0,249.0,233.0,224.0
2019-01-02 21:00:00+00:00,372.0,4498.0,0.0,0.0,31.0,3019.0,728.0,0.0,249.0,246.0,185.0
2019-01-02 22:00:00+00:00,367.0,4493.0,0.0,0.0,30.0,3042.0,766.0,0.0,246.0,323.0,148.0
2019-01-02 23:00:00+00:00,368.0,3534.0,0.0,0.0,30.0,3083.0,778.0,0.0,245.0,221.0,148.0
2019-01-03 00:00:00+00:00,369.0,3015.0,0.0,0.0,32.0,3113.0,730.0,0.0,240.0,322.0,148.0
2019-01-03 01:00:00+00:00,371.0,2936.0,0.0,0.0,35.0,3141.0,734.0,0.0,241.0,232.0,125.0
2019-01-03 02:00:00+00:00,372.0,2839.0,0.0,0.0,37.0,3165.0,754.0,0.0,245.0,188.0,95.0
2019-01-03 03:00:00+00:00,370.0,2922.0,0.0,0.0,37.0,3194.0,730.0,0.0,245.0,160.0,97.0
2019-01-03 04:00:00+00:00,370.0,3133.0,0.0,0.0,35.0,3220.0,775.0,0.0,237.0,133.0,80.0
2019-01-03 05:00:00+00:00,369.0,3560.0,0.0,0.0,28.0,3275.0,805.0,0.0,238.0,144.0,75.0
2019-01-03 06:00:00+00:00,368.0,4372.0,0.0,0.0,24.0,3304.0,824.0,0.0,239.0,199.0,77.0
2019-01-03 07:00:00+00:00,369.0,4691.0,0.0,0.0,27.0,3343.0,825.0,0.0,248.0,166.0,88.0
2019-01-03 08:00:00+00:00,368.0,4693.0,0.0,0.0,30.0,3386.0,830.0,53.0,243.0,165.0,102.0
2019-01-03 09:00:00+00:00,365.0,4652.0,0.0,0.0,31.0,3429.0,841.0,173.0,244.0,161.0,113.0
2019-01-03 10:00:00+00:00,365.0,4584.0,0.0,0.0,31.0,3464.0,851.0,300.0,245.0,144.0,89.0
2019-01-03 11:00:00+00:00,367.0,4642.0,0.0,0.0,29.0,3483.0,852.0,370.0,241.0,113.0,69.0
2019-01-03 12:00:00+00:00,369.0,4566.0,0.0,0.0,30.0,3481.0,849.0,406.0,239.0,137.0,75.0
2019-01-03 13:00:00+00:00,367.0,4611.0,0.0,0.0,30.0,3480.0,839.0,296.0,247.0,109.0,95.0
2019-01-03 14:00:00+00:00,370.0,4658.0,0.0,0.0,30.0,3480.0,850.0,157.0,257.0,120.0,122.0
2019-01-03 15:00:00+00:00,365.0,4686.0,0.0,0.0,30.0,3480.0,863.0,23.0,257.0,146.0,113.0
2019-01-03 16:00:00+00:00,368.0,4671.0,0.0,0.0,30.0,3483.0,847.0,0.0,269.0,247.0,135.0
