,UTC time,carbon_intensity,solar,unknown,nat_gas,coal,wind,hydro,nuclear,biomass,oil
13128,2021-07-01 00:00:00,194.93,670,159,6804,575,3353,3232,6989,719,166
13129,2021-07-01 01:00:00,197.95,669,160,6771,559,2986,3118,6992,719,165
13130,2021-07-01 02:00:00,204.19,669,159,6916,554,2615,2939,6993,720,157
13131,2021-07-01 03:00:00,211.32,638,158,7307,570,2191,3226,6995,716,159
13132,2021-07-01 04:00:00,223.1,419,160,8527,582,1888,4122,6993,710,158
13133,2021-07-01 05:00:00,221.31,722,161,9324,558,1708,5276,6995,703,161
13134,2021-07-01 06:00:00,209.39,2951,167,9920,550,1299,6290,6997,709,168
13135,2021-07-01 07:00:00,200.92,6516,167,10225,612,920,5704,6968,706,173
13136,2021-07-01 08:00:00,189.67,8889,163,9689,626,715,5171,6943,701,191
13137,2021-07-01 09:00:00,179.99,10167,159,9192,679,706,5322,6934,695,181
13138,2021-07-01 10:00:00,176.19,10820,157,8840,693,997,4623,6934,677,184
13139,2021-07-01 11:00:00,180.97,11140,168,8918,706,1339,3188,6933,684,184
13140,2021-07-01 12:00:00,183.67,11162,173,9170,708,1494,2960,6930,689,187
13141,2021-07-01 13:00:00,184.86,11020,172,9273,697,1695,2766,6931,693,187
13142,2021-07-01 14:00:00,184.37,10604,173,9330,693,2029,2966,6930,714,185
13143,2021-07-01 15:00:00,185.02,9984,173,9383,667,2355,3030,6931,715,190
13144,2021-07-01 16:00:00,178.81,8932,173,9007,652,2483,4317,6932,713,189
13145,2021-07-01 17:00:00,186.99,7058,175,9379,647,2651,4755,6957,710,193
13146,2021-07-01 18:00:00,199.08,3875,173,9870,641,2779,5961,6967,724,196
13147,2021-07-01 19:00:00,216.21,1349,173,10425,653,2960,6062,6974,728,197
13148,2021-07-01 20:00:00,213.63,764,178,10135,671,3509,6044,6977,732,198
13149,2021-07-01 21:00:00,211,723,175,9104,668,3773,4647,6985,724,199
13150,2021-07-01 22:00:00,205.09,717,165,8106,631,3484,4109,6987,737,195
13151,2021-07-01 23:00:00,204.65,715,161,7799,605,3132,3967,6987,749,195
13152,2021-07-02 00:00:00,207.43,716,161,7789,522,2976,3466,6989,757,193
13153,2021-07-02 01:00:00,209.91,713,162,7721,511,2671,3340,6994,761,193
13154,2021-07-02 02:00:00,218.92,709,167,8142,527,2122,3503,6997,764,191
13155,2021-07-02 03:00:00,225.91,656,165,8483,552,1804,3606,7000,764,194
13156,2021-07-02 04:00:00,233.94,442,161,9185,602,1771,3932,7000,758,194
13157,2021-07-02 05:00:00,222.95,911,161,10225,598,1621,6383,7000,769,193
13158,2021-07-02 06:00:00,211.6,3428,165,10359,644,1241,6595,6998,768,191
13159,2021-07-02 07:00:00,193.37,7199,169,9778,649,946,5891,6996,760,190
13160,2021-07-02 08:00:00,184.18,9391,167,9468,664,997,5251,6993,753,186
13161,2021-07-02 09:00:00,180.15,10296,168,9144,660,1378,4285,6984,745,187
13162,2021-07-02 10:00:00,174.25,10806,168,8671,674,1992,3583,6984,754,189
13163,2021-07-02 11:00:00,171.34,11042,165,8592,672,2568,3230,6983,742,190
13164,2021-07-02 12:00:00,166.51,11013,165,8111,669,3250,2571,6975,736,190
13165,2021-07-02 13:00:00,161.26,10868,166,7486,661,3608,2057,6968,727,189
13166,2021-07-02 14:00:00,160.21,10488,168,7476,673,3950,2305,6964,723,190
13167,2021-07-02 15:00:00,168.39,9827,168,8469,681,4464,2675,6959,709,185
13168,2021-07-02 16:00:00,173.88,8778,173,8920,808,4929,3349,6956,698,189
13169,2021-07-02 17:00:00,173.4,6906,173,8740,858,5592,4181,6958,712,187
13170,2021-07-02 18:00:00,178.81,3867,172,8759,859,6201,4976,6963,714,185
13171,2021-07-02 19:00:00,191.76,1284,173,9479,844,6675,5395,6962,711,173
13172,2021-07-02 20:00:00,195.02,752,169,9338,834,6803,4839,6965,711,178
13173,2021-07-02 21:00:00,189.36,713,169,8222,704,6236,4007,6971,694,182
13174,2021-07-02 22:00:00,162.22,714,156,6052,628,5635,4509,6974,694,162
13175,2021-07-02 23:00:00,152.67,713,154,5324,584,5734,4146,6973,698,160
13176,2021-07-03 00:00:00,148.69,715,155,4942,536,5845,3509,6976,712,160
13177,2021-07-03 01:00:00,150.26,715,154,4900,551,5393,3668,6980,703,160
13178,2021-07-03 02:00:00,155.74,715,153,5072,544,4810,3737,6980,711,158
13179,2021-07-03 03:00:00,160.89,705,154,5167,542,4230,3733,6982,713,156
13180,2021-07-03 04:00:00,173.45,540,153,5787,563,3355,4289,6981,711,138
13181,2021-07-03 05:00:00,173.23,813,153,5690,550,3162,4021,6980,707,134
13182,2021-07-03 06:00:00,156.01,3245,152,5260,546,2686,4298,6982,709,138
13183,2021-07-03 07:00:00,141.96,6504,155,5019,553,2286,4263,6980,700,138
13184,2021-07-03 08:00:00,126.24,8747,160,4383,542,2345,4176,6986,689,138
13185,2021-07-03 09:00:00,123.03,9565,157,4277,561,2469,4022,6983,681,138
13186,2021-07-03 10:00:00,121.79,9933,157,4160,642,2710,3936,6974,685,130
13187,2021-07-03 11:00:00,116.77,10567,155,3960,617,3174,3481,6964,682,126
13188,2021-07-03 12:00:00,117.16,10562,161,3964,655,3658,3094,6963,688,115
13189,2021-07-03 13:00:00,114.75,10443,162,3849,604,4384,2257,6959,669,114
13190,2021-07-03 14:00:00,113.25,10031,162,3911,558,5019,2240,6958,674,113
13191,2021-07-03 15:00:00,117.85,9286,162,4381,536,5532,2499,6959,687,114
13192,2021-07-03 16:00:00,125.67,8051,163,5240,531,5918,3829,6957,708,120
13193,2021-07-03 17:00:00,136.76,6066,163,5864,563,6255,4125,6953,707,121
13194,2021-07-03 18:00:00,145.5,3095,162,5749,602,6107,4430,6954,718,123
13195,2021-07-03 19:00:00,154.64,1136,156,6098,640,5739,5544,6952,720,110
13196,2021-07-03 20:00:00,155.16,675,155,6125,636,5778,5840,6958,714,117
13197,2021-07-03 21:00:00,159.85,650,158,6030,585,6047,4170,6964,723,118
13198,2021-07-03 22:00:00,164.61,651,154,6125,572,6259,3207,6970,731,115
13199,2021-07-03 23:00:00,161.54,650,148,5818,542,6277,2790,6971,729,101
13200,2021-07-04 00:00:00,162.31,643,149,5567,528,6274,2026,6971,722,107
13201,2021-07-04 01:00:00,158.03,640,153,5234,528,6287,1935,6973,719,107
13202,2021-07-04 02:00:00,159.79,640,152,5205,521,6137,1700,6975,725,107
13203,2021-07-04 03:00:00,161.48,612,152,5331,531,6137,1796,6976,726,106
13204,2021-07-04 04:00:00,160.23,417,151,5163,525,6109,1756,6976,725,106
13205,2021-07-04 05:00:00,154.03,746,150,4875,526,6111,1770,6975,718,104
13206,2021-07-04 06:00:00,146.61,3184,155,4930,532,5727,1694,6975,727,98
13207,2021-07-04 07:00:00,120.48,7030,158,4099,490,5745,1789,6984,726,116
13208,2021-07-04 08:00:00,103.11,9134,154,3631,356,6414,1940,6992,727,124
13209,2021-07-04 09:00:00,100.03,10015,153,3800,335,7330,2076,6987,721,124
13210,2021-07-04 10:00:00,97.59,10538,153,3774,351,7923,2068,6984,721,123
13211,2021-07-04 11:00:00,94.9,10794,155,3634,365,8344,2025,6971,722,123
13212,2021-07-04 12:00:00,94.9,10807,151,3593,407,8551,1948,6957,716,124
13213,2021-07-04 13:00:00,92.92,10742,150,3523,367,8702,1912,6953,706,123
13214,2021-07-04 14:00:00,92.29,10413,149,3429,366,8641,1951,6950,703,123
13215,2021-07-04 15:00:00,93.87,9778,147,3588,323,8629,2125,6950,714,123
13216,2021-07-04 16:00:00,99.33,8755,151,3947,314,8742,2222,6951,727,124
13217,2021-07-04 17:00:00,110.41,6933,149,4643,340,8442,3156,6951,729,131
13218,2021-07-04 18:00:00,127.44,3927,153,5269,359,7957,3328,6951,723,146
13219,2021-07-04 19:00:00,137.32,1277,149,5455,388,7409,4329,6954,726,148
13220,2021-07-04 20:00:00,139.31,706,148,5634,395,7348,4976,6956,711,150
13221,2021-07-04 21:00:00,143.28,662,146,5539,392,7028,4162,6959,705,151
13222,2021-07-04 22:00:00,141.85,661,148,5301,372,6672,4029,6965,694,147
13223,2021-07-04 23:00:00,145.22,661,147,5165,350,6145,3402,6967,700,146
13224,2021-07-05 00:00:00,150.27,661,146,5195,310,5843,2658,6969,694,149
13225,2021-07-05 01:00:00,153.53,661,146,5197,310,5416,2563,6971,691,150
13226,2021-07-05 02:00:00,154.09,659,150,5200,310,5519,2376,6974,680,151
13227,2021-07-05 03:00:00,158.35,652,149,5473,310,5366,2514,6978,682,150
13228,2021-07-05 04:00:00,170.28,508,147,6572,316,5192,3465,6977,663,162
13229,2021-07-05 05:00:00,169.77,895,143,6969,330,5185,4231,6978,658,189
13230,2021-07-05 06:00:00,156.25,3448,147,6728,376,4721,4864,6979,658,194
13231,2021-07-05 07:00:00,141.42,7208,149,6433,419,4673,4797,6978,666,200
13232,2021-07-05 08:00:00,138.26,9192,156,6825,448,5276,4770,6977,661,196
13233,2021-07-05 09:00:00,133.93,10140,156,6855,448,6067,4540,6973,647,190
13234,2021-07-05 10:00:00,132.08,10646,154,6902,448,6647,4258,6967,641,193
13235,2021-07-05 11:00:00,125.22,10903,157,6477,465,7374,4351,6964,650,194
13236,2021-07-05 12:00:00,122.07,10851,162,6288,482,8361,3918,6957,644,193
13237,2021-07-05 13:00:00,120.68,10702,160,6321,443,9106,3423,6949,630,168
13238,2021-07-05 14:00:00,114.08,10413,161,5812,443,10230,3024,6942,638,166
13239,2021-07-05 15:00:00,111.56,9759,161,5683,446,11170,3008,6937,641,166
13240,2021-07-05 16:00:00,112.28,8588,161,5667,426,11557,2941,6938,646,169
13241,2021-07-05 17:00:00,113.83,6731,165,5761,405,11896,3727,6946,639,195
13242,2021-07-05 18:00:00,130.39,3658,168,6748,414,11421,4559,6948,646,214
13243,2021-07-05 19:00:00,143.9,1180,170,6972,407,9797,5108,6946,656,214
13244,2021-07-05 20:00:00,144.89,697,168,6627,417,9318,4851,6948,657,216
13245,2021-07-05 21:00:00,145.28,659,166,6246,374,8823,4002,6949,658,216
13246,2021-07-05 22:00:00,128.98,657,161,4963,375,8653,4083,6948,660,207
13247,2021-07-05 23:00:00,133.41,652,157,4912,378,7704,3892,6951,667,205
13248,2021-07-06 00:00:00,141.05,642,153,5006,369,6666,3609,6954,671,208
13249,2021-07-06 01:00:00,146.07,642,153,5110,380,5875,3840,6960,680,208
13250,2021-07-06 02:00:00,147.1,626,154,5069,357,5685,3624,6959,692,205
13251,2021-07-06 03:00:00,156.2,574,154,5590,353,5447,3624,6962,693,208
13252,2021-07-06 04:00:00,168.05,467,155,6695,371,5137,4654,6977,699,208
13253,2021-07-06 05:00:00,179.1,686,157,7682,400,5225,4662,6979,689,208
13254,2021-07-06 06:00:00,173.75,2398,165,7756,461,4742,5137,6979,702,213
13255,2021-07-06 07:00:00,158.48,4919,161,7172,511,4627,5164,6978,701,212
