UTC time,avg_biomass_production_forecast,avg_coal_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_solar_production_forecast,avg_unknown_production_forecast,avg_wind_production_forecast
2021-07-01 00:00:00,721.82651,548.5194,2845.05928,6323.78233,7013.92353,129.72189,572.99999,169.26595,3479.99989
2021-07-01 01:00:00,730.6572,564.22737,2934.84058,6320.70047,7016.9094,129.17165,525.00001,168.89026,3082.9999
2021-07-01 02:00:00,730.54379,600.57207,3075.52207,6510.57754,7017.72733,128.1131,515.99998,170.13282,2675.00007
2021-07-01 03:00:00,723.18657,620.81173,3404.39515,6868.3816,7018.87702,129.4534,468,171.53432,2309
2021-07-01 04:00:00,722.13509,610.55556,3731.55594,7093.72566,7014.18256,132.98515,386.00001,170.13788,1958.00007
2021-07-01 05:00:00,726.59764,599.798,3938.89052,7333.27029,7011.13501,138.38989,807.00003,166.44556,1624
2021-07-01 06:00:00,727.68953,578.79813,4110.77194,7379.52217,7009.13847,138.92124,3009.99998,167.8746,1289.99993
2021-07-01 07:00:00,728.00558,551.5612,4284.99603,7454.80119,7017.29561,139.77792,6264.99988,167.03097,1043.00004
2021-07-01 08:00:00,730.95189,525.45049,4360.26482,7456.06063,7028.89928,136.54363,8848.99985,166.36523,888.99999
2021-07-01 09:00:00,724.67487,534.63191,4424.30406,7446.48551,7025.77134,136.70432,10066.00003,166.9774,1026.00003
2021-07-01 10:00:00,726.05404,530.25802,4056.78564,7287.89276,7022.46688,136.2142,10701.00002,166.81134,1261.99995
2021-07-01 11:00:00,725.23376,539.87899,3650.17909,7330.35187,6993.20017,135.66069,10902.99969,167.8101,1577
2021-07-01 12:00:00,726.60677,562.84362,3611.647,7414.24994,6973.95997,133.31928,10851.00031,166.9996,1841.99998
2021-07-01 13:00:00,733.38922,598.46128,3611.36863,7529.764,6970.61554,134.17897,10717.99989,168.31395,2129.99998
