Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,wind,biomass,unknown
39936,2023-07-23 00:00:00,2024-07-17 00:00:00,3.1,303.47,162.0,4936.0,1884.0,0.0,4.0,15064.0,1687.0,10278.0
39937,2023-07-23 01:00:00,2024-07-17 00:00:00,3.1,301.69,157.0,4311.0,1886.0,0.0,4.0,15197.0,1636.0,10517.0
39938,2023-07-23 02:00:00,2024-07-17 00:00:00,3.1,298.19,160.0,4031.0,1888.0,0.0,4.0,15512.0,1648.0,10582.0
39939,2023-07-23 03:00:00,2024-07-17 00:00:00,3.1,304.14,159.0,4143.0,1888.0,0.0,4.0,15486.0,1613.0,11013.0
39940,2023-07-23 04:00:00,2024-07-17 00:00:00,3.1,308.24,156.0,4110.0,1888.0,0.0,27.0,16064.0,1585.0,11840.0
39941,2023-07-23 05:00:00,2024-07-17 00:00:00,3.1,309.3,152.0,3826.0,1887.0,0.0,83.0,16846.0,1569.0,12704.0
39942,2023-07-23 06:00:00,2024-07-17 00:00:00,3.1,352.3,151.0,3957.0,1888.0,0.0,164.0,15366.0,1570.0,15858.0
39943,2023-07-23 07:00:00,2024-07-17 00:00:00,3.1,371.7,156.0,3953.0,1888.0,0.0,265.0,15418.0,1599.0,18324.0
39944,2023-07-23 08:00:00,2024-07-17 00:00:00,3.1,398.18,149.0,3950.0,1888.0,0.0,220.0,13635.0,1624.0,19659.0
39945,2023-07-23 09:00:00,2024-07-17 00:00:00,3.1,395.75,140.0,3935.0,1891.0,0.0,257.0,14694.0,1640.0,20743.0
39946,2023-07-23 10:00:00,2024-07-17 00:00:00,3.1,412.43,134.0,4259.0,1892.0,0.0,321.0,15308.0,1643.0,24117.0
39947,2023-07-23 11:00:00,2024-07-17 00:00:00,3.1,439.26,137.0,3818.0,1889.0,0.0,284.0,13655.0,1598.0,26292.0
39948,2023-07-23 12:00:00,2024-07-17 00:00:00,3.1,477.79,143.0,3713.0,1888.0,0.0,312.0,12023.0,1539.0,31114.0
39949,2023-07-23 13:00:00,2024-07-17 00:00:00,3.1,492.58,140.0,3750.0,1888.0,0.0,425.0,11474.0,1563.0,33736.0
39950,2023-07-23 14:00:00,2024-07-17 00:00:00,3.1,483.49,136.0,3777.0,1888.0,0.0,427.0,12938.0,1557.0,34709.0
39951,2023-07-23 15:00:00,2024-07-17 00:00:00,3.1,435.97,140.0,3880.0,1888.0,0.0,644.0,16509.0,1559.0,30777.0
39952,2023-07-23 16:00:00,2024-07-17 00:00:00,3.1,398.51,142.0,4181.0,1888.0,0.0,597.0,17768.0,1573.0,25370.0
39953,2023-07-23 17:00:00,2024-07-17 00:00:00,3.1,377.03,141.0,5830.0,1888.0,0.0,373.0,17474.0,1605.0,20819.0
39954,2023-07-23 18:00:00,2024-07-17 00:00:00,3.1,364.83,128.0,8326.0,1888.0,0.0,121.0,16655.0,1654.0,17067.0
39955,2023-07-23 19:00:00,2024-07-17 00:00:00,3.1,362.43,127.0,8393.0,1886.0,0.0,15.0,16129.0,1653.0,16068.0
39956,2023-07-23 20:00:00,2024-07-17 00:00:00,3.1,356.5,125.0,8381.0,1884.0,0.0,4.0,15766.0,1611.0,14918.0
39957,2023-07-23 21:00:00,2024-07-17 00:00:00,3.1,347.2,103.0,8453.0,1883.0,0.0,4.0,15710.0,1596.0,13734.0
39958,2023-07-23 22:00:00,2024-07-17 00:00:00,3.1,329.13,92.0,7466.0,1880.0,0.0,4.0,15120.0,1607.0,11650.0
39959,2023-07-23 23:00:00,2024-07-17 00:00:00,3.1,344.82,94.0,6997.0,1880.0,0.0,4.0,12898.0,1608.0,11421.0
