UTC time,coal,nat_gas,nuclear,hydro,solar,wind,biomass,unknown
2023-06-16 00:00:00,48.0,25853.0,1900.0,0.0,4.0,1174.0,1329.0,9122.0
2023-06-16 01:00:00,48.0,25380.0,1900.0,0.0,4.0,1075.0,1342.0,8978.0
2023-06-16 02:00:00,48.0,25663.0,1900.0,0.0,4.0,1031.0,1338.0,8809.0
2023-06-16 03:00:00,48.0,25661.0,1900.0,0.0,28.0,972.0,1337.0,9117.0
2023-06-16 04:00:00,48.0,25811.0,1900.0,0.0,140.0,881.0,1348.0,11675.0
2023-06-16 05:00:00,48.0,25424.0,1897.0,0.0,395.0,748.0,1359.0,17802.0
2023-06-16 06:00:00,48.0,25268.0,1896.0,0.0,758.0,730.0,1307.0,26541.0
2023-06-16 07:00:00,48.0,22438.0,1896.0,0.0,1118.0,865.0,1274.0,35446.0
2023-06-16 08:00:00,48.0,13506.0,1895.0,0.0,1412.0,1035.0,1254.0,43105.0
2023-06-16 09:00:00,48.0,11528.0,1892.0,0.0,1591.0,1356.0,1229.0,48812.0
2023-06-16 10:00:00,48.0,11467.0,1895.0,0.0,1661.0,1682.0,1261.0,52753.0
2023-06-16 11:00:00,48.0,10424.0,1896.0,0.0,1674.0,1984.0,1262.0,53942.0
2023-06-16 12:00:00,48.0,10249.0,1896.0,0.0,1659.0,2315.0,1258.0,53296.0
2023-06-16 13:00:00,48.0,11077.0,1896.0,0.0,1614.0,2798.0,1303.0,50797.0
2023-06-16 14:00:00,45.0,11400.0,1897.0,0.0,1461.0,3446.0,1273.0,45508.0
2023-06-16 15:00:00,40.0,14578.0,1896.0,0.0,1184.0,4315.0,1262.0,39216.0
2023-06-16 16:00:00,40.0,22170.0,1896.0,0.0,833.0,4336.0,1310.0,31477.0
2023-06-16 17:00:00,40.0,23838.0,1896.0,0.0,448.0,4004.0,1341.0,23226.0
2023-06-16 18:00:00,40.0,24103.0,1896.0,0.0,156.0,3448.0,1342.0,16608.0
2023-06-16 19:00:00,40.0,23711.0,1896.0,0.0,31.0,3296.0,1334.0,13208.0
2023-06-16 20:00:00,40.0,24021.0,1896.0,0.0,4.0,3087.0,1345.0,12471.0
2023-06-16 21:00:00,41.0,24367.0,1896.0,0.0,4.0,2881.0,1332.0,11948.0
2023-06-16 22:00:00,42.0,23800.0,1893.0,0.0,4.0,2201.0,1387.0,10812.0
2023-06-16 23:00:00,42.0,23347.0,1892.0,0.0,4.0,1288.0,1411.0,10982.0
