UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_unknown_production_forecast
2023-06-03 00:00:00,2024-07-17 00:00:00,3.1,4.729533088639739,283.80720814487074,280.7014186443412,23.23885563002265,0.0,2329.73698,13669.57343,1947.96885,0.0,0.0,10524.99981,1240.44871,12950.00179
2023-06-03 01:00:00,2024-07-17 00:00:00,3.1,4.398166362865391,283.4075552679419,280.64489253369004,0.0,0.0,2190.26841,13479.18648,1944.06441,0.0,0.0,9463.99984,1249.25081,12020.83877
2023-06-03 02:00:00,2024-07-17 00:00:00,3.1,4.398166362865391,283.4075552679419,280.64489253369004,0.0,0.0,2129.45195,13208.72952,1942.99487,0.0,0.0,8365.99987,1248.52629,11790.12155
2023-06-03 03:00:00,2024-07-17 00:00:00,3.1,4.398166362865391,283.4075552679419,280.64489253369004,0.0,0.0,1983.43851,12602.2839,1945.48689,0.0,69.0,7050.00013,1254.6094,12117.94048
2023-06-03 04:00:00,2024-07-17 00:00:00,3.1,4.883826919388169,285.82797538063585,281.1663157891122,54.7236819900068,0.0,1851.23039,12088.28924,1937.95025,0.0,1093.99996,5357.00002,1254.41405,12934.40425
2023-06-03 05:00:00,2024-07-17 00:00:00,3.1,4.883826919388169,285.82797538063585,281.1663157891122,54.7236819900068,0.0,1886.12901,11755.39234,1943.19602,0.0,3756.99991,3985.99996,1253.60416,14155.71051
2023-06-03 06:00:00,2024-07-17 00:00:00,3.1,4.883826919388169,285.82797538063585,281.1663157891122,54.7236819900068,0.0,1905.47254,11264.15345,1949.25121,0.0,7776.00007,2952.00012,1182.74754,16438.48997
2023-06-03 07:00:00,2024-07-17 00:00:00,3.1,5.144402487838132,289.3288993049789,281.3191483427081,542.2779877106534,0.0,1872.15332,10970.98391,1936.25256,0.0,13596.99951,2362.00008,1236.95077,19360.76669
2023-06-03 08:00:00,2024-07-17 00:00:00,3.1,5.144402487838132,289.3288993049789,281.3191483427081,542.2779877106534,0.0,1914.85228,11194.16526,1935.42051,0.0,19519.00007,1948.00005,1237.71715,22179.54408
2023-06-03 09:00:00,2024-07-17 00:00:00,3.1,5.144402487838132,289.3288993049789,281.3191483427081,542.2779877106534,0.0,1994.67397,11826.63267,1936.94105,0.0,24470.9997,1880.00005,1247.95482,23924.99566
2023-06-03 10:00:00,2024-07-17 00:00:00,3.1,5.243045744005772,291.0387092271899,281.15173563888817,697.6788049255618,0.0,2137.80125,12358.8472,1934.0705,0.0,27798.00022,2540.00003,1249.20805,24241.56136
2023-06-03 11:00:00,2024-07-17 00:00:00,3.1,5.243045744005772,291.0387092271899,281.15173563888817,697.6788049255618,0.0,2232.52568,13051.62887,1933.05399,0.0,29951.99977,3255.00015,1244.53879,24573.18259
2023-06-03 12:00:00,2024-07-17 00:00:00,3.1,5.243045744005772,291.0387092271899,281.15173563888817,697.6788049255618,0.0,2199.98758,13635.16916,1930.44356,0.0,30407.99902,4000.00005,1232.27612,25207.17261
2023-06-03 13:00:00,2024-07-17 00:00:00,3.1,5.892945271572261,291.02624756824423,281.7536568062424,802.8250482341421,0.0,2179.5476,14168.69519,1901.80749,0.0,29121.99951,4761.99987,1243.41704,24326.2961
2023-06-03 14:00:00,2024-07-17 00:00:00,3.1,5.892945271572261,291.02624756824423,281.7536568062424,802.8250482341421,0.0,2075.24297,14773.89639,1897.398,0.0,26119.00081,5746.00003,1242.5629,23261.995
2023-06-03 15:00:00,2024-07-17 00:00:00,3.1,5.892945271572261,291.02624756824423,281.7536568062424,802.8250482341421,0.0,1934.49076,15355.66026,1904.72971,0.0,21797.00076,6834.99984,1245.33565,22860.03472
2023-06-03 16:00:00,2024-07-17 00:00:00,3.1,6.070087590054751,288.75837571118427,282.8737479531842,612.0732168873482,0.0,2185.99118,15771.38277,1898.17815,0.0,16480.99997,8272.00013,1251.69716,22292.09271
2023-06-03 17:00:00,2024-07-17 00:00:00,3.1,6.070087590054751,288.75837571118427,282.8737479531842,612.0732168873482,0.0,2547.12121,15854.65248,1899.67881,0.0,10582.00042,10238.00033,1243.76073,21919.1738
2023-06-03 18:00:00,2024-07-17 00:00:00,3.1,6.070087590054751,288.75837571118427,282.8737479531842,612.0732168873482,0.0,2875.30429,15682.2009,1904.70822,0.0,5617.00011,12059.99937,1243.19757,20904.49222
2023-06-03 19:00:00,2024-07-17 00:00:00,3.1,5.321602154169804,285.2731322070644,281.92265743781206,42.998000252257015,0.0,3060.25379,15993.39988,1935.33365,0.0,2067.00001,12439.99992,1243.28623,19583.47868
2023-06-03 20:00:00,2024-07-17 00:00:00,3.1,5.321602154169804,285.2731322070644,281.92265743781206,42.998000252257015,0.0,3212.55679,15889.61343,1910.67883,0.0,220.0,12798.00062,1253.34493,18334.39233
2023-06-03 21:00:00,2024-07-17 00:00:00,3.1,5.321602154169804,285.2731322070644,281.92265743781206,42.998000252257015,0.0,3288.71978,15745.20832,1902.30078,0.0,0.0,12840.0002,1251.29087,17151.27202
2023-06-03 22:00:00,2024-07-17 00:00:00,3.1,4.404032310591763,283.58798119741897,281.5776620565076,21.4991439116743,0.0,3195.79282,16061.42352,1928.41122,0.0,0.0,11399.99974,1252.00326,15437.24094
2023-06-03 23:00:00,2024-07-17 00:00:00,3.1,4.404032310591763,283.58798119741897,281.5776620565076,21.4991439116743,0.0,3124.46054,16331.64454,1911.61465,0.0,0.0,10575.99991,1264.28466,13839.75035
2023-06-04 00:00:00,2024-07-17 00:00:00,3.1,4.404032310591763,283.58798119741897,281.5776620565076,21.4991439116743,0.0,3467.91152,18565.73554,1947.96885,0.0,0.0,6634.54689,1250.01075,13515.81365
2023-06-04 01:00:00,2024-07-17 00:00:00,3.1,4.131373660742016,282.69445116186114,281.138735344886,0.0,0.0,3489.91973,18014.30498,1944.06441,0.0,0.0,6636.12476,1258.89432,12755.68465
2023-06-04 02:00:00,2024-07-17 00:00:00,3.1,4.131373660742016,282.69445116186114,281.138735344886,0.0,0.0,3529.92279,17482.00949,1942.99487,0.0,0.0,6702.96255,1258.15025,12652.52036
2023-06-04 03:00:00,2024-07-17 00:00:00,3.1,4.131373660742016,282.69445116186114,281.138735344886,0.0,0.0,3466.24186,16592.36048,1945.48689,0.0,0.0,6664.98472,1264.17923,12724.7867
2023-06-04 04:00:00,2024-07-17 00:00:00,3.1,4.595499026600077,284.91910784699445,281.6601472403706,51.53921769191723,0.0003153701250687,3403.90118,15835.15966,1937.95025,0.0,0.0,6809.7637,1263.98342,13117.83293
2023-06-04 05:00:00,2024-07-17 00:00:00,3.1,4.595499026600077,284.91910784699445,281.6601472403706,51.53921769191723,0.0003153701250687,3431.72377,15229.97387,1943.19602,0.0,250.22473,6999.48757,1263.06654,13765.33747
2023-06-04 06:00:00,2024-07-17 00:00:00,3.1,4.595499026600077,284.91910784699445,281.6601472403706,51.53921769191723,0.0003153701250687,3421.40711,14619.39715,1949.25121,0.0,2822.5134,7054.79484,1192.27386,15259.9353
