UTC time,nat_gas,hydro,wind,biomass,unknown
2023-01-01 00:00:00,207.0,7720.0,2218.0,30.0,67.0
2023-01-01 01:00:00,207.0,6861.0,2150.0,29.0,67.0
2023-01-01 02:00:00,207.0,6516.0,2056.0,30.0,63.0
2023-01-01 03:00:00,207.0,6593.0,1873.0,29.0,62.0
2023-01-01 04:00:00,207.0,6694.0,1698.0,30.0,59.0
2023-01-01 05:00:00,207.0,6766.0,1754.0,30.0,57.0
2023-01-01 06:00:00,207.0,7053.0,1737.0,30.0,53.0
2023-01-01 07:00:00,207.0,7173.0,1740.0,31.0,55.0
2023-01-01 08:00:00,207.0,7711.0,1916.0,31.0,57.0
2023-01-01 09:00:00,206.0,8045.0,1963.0,31.0,62.0
2023-01-01 10:00:00,206.0,8865.0,1894.0,32.0,72.0
2023-01-01 11:00:00,206.0,9185.0,1991.0,32.0,62.0
2023-01-01 12:00:00,207.0,9518.0,2224.0,32.0,58.0
2023-01-01 13:00:00,207.0,9310.0,2246.0,36.0,59.0
2023-01-01 14:00:00,206.0,10676.0,2144.0,32.0,61.0
2023-01-01 15:00:00,206.0,12630.0,1943.0,37.0,60.0
2023-01-01 16:00:00,203.0,12783.0,1860.0,34.0,60.0
2023-01-01 17:00:00,206.0,12298.0,1781.0,33.0,58.0
2023-01-01 18:00:00,206.0,12195.0,1872.0,38.0,60.0
2023-01-01 19:00:00,206.0,12122.0,1845.0,37.0,59.0
2023-01-01 20:00:00,206.0,12186.0,1700.0,37.0,61.0
2023-01-01 21:00:00,205.0,11920.0,1588.0,37.0,63.0
2023-01-01 22:00:00,205.0,11698.0,1411.0,37.0,65.0
2023-01-01 23:00:00,202.0,12011.0,1098.0,37.0,70.0
2023-01-02 00:00:00,202.0,11896.0,854.0,36.0,72.0
2023-01-02 01:00:00,202.0,11522.0,816.0,36.0,73.0
2023-01-02 02:00:00,199.0,11621.0,707.0,36.0,73.0
2023-01-02 03:00:00,202.0,11948.0,689.0,36.0,71.0
