UTC time,wind,biomass,unknown,hydro,nat_gas
2023-01-01 00:00,2218.0,30.0,67.0,7720.0,207.0
2023-01-01 01:00,2150.0,29.0,67.0,6861.0,207.0
2023-01-01 02:00,2056.0,30.0,63.0,6516.0,207.0
2023-01-01 03:00,1873.0,29.0,62.0,6593.0,207.0
2023-01-01 04:00,1698.0,30.0,59.0,6694.0,207.0
2023-01-01 05:00,1754.0,30.0,57.0,6766.0,207.0
2023-01-01 06:00,1737.0,30.0,53.0,7053.0,207.0
2023-01-01 07:00,1740.0,31.0,55.0,7173.0,207.0
2023-01-01 08:00,1916.0,31.0,57.0,7711.0,207.0
2023-01-01 09:00,1963.0,31.0,62.0,8045.0,206.0
2023-01-01 10:00,1894.0,32.0,72.0,8865.0,206.0
2023-01-01 11:00,1991.0,32.0,62.0,9185.0,206.0
2023-01-01 12:00,2224.0,32.0,58.0,9518.0,207.0
2023-01-01 13:00,2246.0,36.0,59.0,9310.0,207.0
2023-01-01 14:00,2144.0,32.0,61.0,10676.0,206.0
2023-01-01 15:00,1943.0,37.0,60.0,12630.0,206.0
2023-01-01 16:00,1860.0,34.0,60.0,12783.0,203.0
2023-01-01 17:00,1781.0,33.0,58.0,12298.0,206.0
2023-01-01 18:00,1872.0,38.0,60.0,12195.0,206.0
2023-01-01 19:00,1845.0,37.0,59.0,12122.0,206.0
2023-01-01 20:00,1700.0,37.0,61.0,12186.0,206.0
2023-01-01 21:00,1588.0,37.0,63.0,11920.0,205.0
2023-01-01 22:00,1411.0,37.0,65.0,11698.0,205.0
2023-01-01 23:00,1098.0,37.0,70.0,12011.0,202.0
2023-01-02 00:00,854.0,36.0,72.0,11896.0,202.0
2023-01-02 01:00,816.0,36.0,73.0,11522.0,202.0
2023-01-02 02:00,707.0,36.0,73.0,11621.0,199.0
2023-01-02 03:00,689.0,36.0,71.0,11948.0,202.0
2023-01-02 04:00,665.0,31.0,70.0,12116.0,204.0
2023-01-02 05:00,643.0,31.0,70.0,13521.0,205.0
2023-01-02 06:00,649.0,30.0,67.0,16613.0,202.0
2023-01-02 07:00,699.0,29.0,67.0,17713.0,204.0
2023-01-02 08:00,783.0,27.0,66.0,17783.0,206.0
2023-01-02 09:00,781.0,24.0,67.0,17481.0,210.0
2023-01-02 10:00,765.0,21.0,68.0,18608.0,211.0
2023-01-02 11:00,797.0,26.0,69.0,19115.0,202.0
2023-01-02 12:00,745.0,27.0,69.0,18452.0,209.0
2023-01-02 13:00,732.0,27.0,68.0,18614.0,207.0
2023-01-02 14:00,819.0,26.0,69.0,19347.0,204.0
2023-01-02 15:00,954.0,26.0,71.0,19883.0,206.0
2023-01-02 16:00,840.0,26.0,70.0,20263.0,212.0
