UTC time,oil,wind,biomass,hydro,nat_gas,nuclear,solar,coal
2023-01-01 00:00:00,203.0,11777.0,559.0,0.0,2253.0,25620.0,0.0,44.0
2023-01-01 01:00:00,203.0,11437.0,562.0,0.0,2243.0,25066.0,0.0,44.0
2023-01-01 02:00:00,203.0,11087.0,560.0,0.0,2306.0,24502.0,0.0,45.0
2023-01-01 03:00:00,202.0,10718.0,560.0,0.0,2254.0,24423.0,0.0,45.0
2023-01-01 04:00:00,203.0,10130.0,557.0,0.0,2251.0,24536.0,0.0,45.0
2023-01-01 05:00:00,202.0,9717.0,559.0,0.0,2257.0,24306.0,0.0,46.0
2023-01-01 06:00:00,202.0,9697.0,559.0,0.0,2439.0,24405.0,0.0,47.0
2023-01-01 07:00:00,203.0,9141.0,557.0,0.0,2479.0,24604.0,271.0,47.0
2023-01-01 08:00:00,203.0,10077.0,559.0,0.0,2543.0,23722.0,867.0,49.0
2023-01-01 09:00:00,204.0,9694.0,556.0,0.0,2551.0,23949.0,1962.0,49.0
2023-01-01 10:00:00,204.0,9151.0,552.0,0.0,2745.0,24684.0,2858.0,49.0
2023-01-01 11:00:00,200.0,8050.0,541.0,0.0,2905.0,24917.0,3349.0,49.0
2023-01-01 12:00:00,200.0,7484.0,540.0,0.0,2913.0,26259.0,3131.0,49.0
2023-01-01 13:00:00,200.0,7309.0,544.0,0.0,2824.0,27838.0,2394.0,49.0
2023-01-01 14:00:00,200.0,7442.0,542.0,0.0,2823.0,29005.0,1460.0,49.0
2023-01-01 15:00:00,200.0,8058.0,541.0,0.0,2822.0,30156.0,548.0,49.0
2023-01-01 16:00:00,200.0,9553.0,539.0,0.0,2638.0,30884.0,206.0,50.0
2023-01-01 17:00:00,200.0,11352.0,546.0,0.0,2475.0,32138.0,189.0,51.0
2023-01-01 18:00:00,200.0,12274.0,540.0,0.0,2455.0,32531.0,0.0,52.0
2023-01-01 19:00:00,200.0,12555.0,547.0,0.0,2516.0,32811.0,0.0,54.0
2023-01-01 20:00:00,200.0,12303.0,548.0,0.0,2454.0,33051.0,0.0,55.0
2023-01-01 21:00:00,200.0,11955.0,553.0,0.0,2440.0,33408.0,0.0,56.0
2023-01-01 22:00:00,200.0,11448.0,554.0,0.0,2442.0,33164.0,0.0,56.0
2023-01-01 23:00:00,200.0,10994.0,554.0,0.0,2589.0,33419.0,0.0,56.0
2023-01-02 00:00:00,200.0,10402.0,555.0,0.0,2658.0,33717.0,0.0,56.0
2023-01-02 01:00:00,200.0,9985.0,554.0,0.0,2673.0,32717.0,0.0,56.0
2023-01-02 02:00:00,200.0,9358.0,552.0,0.0,2684.0,32663.0,0.0,56.0
2023-01-02 03:00:00,200.0,8449.0,556.0,0.0,2669.0,33562.0,0.0,55.0
2023-01-02 04:00:00,200.0,7235.0,554.0,0.0,2686.0,35522.0,0.0,55.0
