UTC Time,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Wind Onshore
Total Missing Minutes,0,0,0,0,0,0,0,0,0,0,0,0
Percentage per Source,0,0,0,0,0,0,0,0,0,0,0,0
