UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,unknown
2023-02-12 00:00:00,648.0,226.0,2749.0,0.0,1334.0,0.0,2343.0,943.0,152.0
2023-02-12 01:00:00,625.0,219.0,2750.0,0.0,1148.0,0.0,2396.0,934.0,156.0
2023-02-12 02:00:00,607.0,224.0,2750.0,0.0,977.0,0.0,2443.0,933.0,158.0
2023-02-12 03:00:00,602.0,220.0,2749.0,0.0,908.0,0.0,2875.0,937.0,154.0
2023-02-12 04:00:00,602.0,216.0,2754.0,0.0,902.0,0.0,3522.0,947.0,152.0
2023-02-12 05:00:00,602.0,217.0,2758.0,0.0,990.0,0.0,3776.0,939.0,148.0
2023-02-12 06:00:00,603.0,222.0,2762.0,0.0,1019.0,9.0,3912.0,920.0,131.0
2023-02-12 07:00:00,597.0,226.0,2760.0,0.0,1051.0,30.0,3927.0,902.0,121.0
2023-02-12 08:00:00,585.0,228.0,2762.0,0.0,1111.0,54.0,3976.0,903.0,109.0
2023-02-12 09:00:00,575.0,234.0,2763.0,0.0,1132.0,67.0,4055.0,883.0,96.0
2023-02-12 10:00:00,572.0,230.0,2762.0,0.0,1029.0,65.0,3978.0,874.0,84.0
2023-02-12 11:00:00,567.0,222.0,2764.0,0.0,951.0,56.0,4096.0,868.0,76.0
2023-02-12 12:00:00,566.0,221.0,2768.0,0.0,958.0,40.0,4339.0,860.0,75.0
2023-02-12 13:00:00,559.0,236.0,2770.0,0.0,948.0,15.0,4498.0,862.0,76.0
2023-02-12 14:00:00,556.0,234.0,2773.0,0.0,914.0,0.0,4597.0,858.0,76.0
2023-02-12 15:00:00,555.0,235.0,2773.0,0.0,979.0,0.0,4619.0,845.0,76.0
2023-02-12 16:00:00,558.0,237.0,2771.0,0.0,1055.0,0.0,4639.0,857.0,76.0
2023-02-12 17:00:00,560.0,230.0,2772.0,0.0,1052.0,0.0,4663.0,847.0,76.0
2023-02-12 18:00:00,558.0,236.0,2772.0,0.0,1076.0,0.0,4657.0,846.0,74.0
2023-02-12 19:00:00,558.0,234.0,2772.0,0.0,992.0,0.0,4637.0,845.0,73.0
2023-02-12 20:00:00,555.0,234.0,2772.0,0.0,958.0,0.0,4658.0,848.0,73.0
2023-02-12 21:00:00,552.0,245.0,2771.0,0.0,876.0,0.0,4664.0,855.0,73.0
2023-02-12 22:00:00,551.0,243.0,2774.0,0.0,815.0,0.0,4667.0,865.0,73.0
2023-02-12 23:00:00,550.0,248.0,2773.0,0.0,729.0,0.0,4662.0,865.0,73.0
