UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_unknown_production_forecast
2023-09-29 00:00:00,2024-07-17 00:00:00,3.1,4.792497991029283,284.4386245884564,283.0501431559494,0.0,0.7233174043031348,0.0,4182.52742,4873.07401,0.0,4615.99993,322.97562
2023-09-29 01:00:00,2024-07-17 00:00:00,3.1,4.989912008599157,283.94525885934365,282.36545937697167,0.0,0.3198463802799077,0.0508,4203.5461,5643.04685,0.0,4165.0,335.46997
2023-09-29 02:00:00,2024-07-17 00:00:00,3.1,4.989912008599157,283.94525885934365,282.36545937697167,0.0,0.3198463802799077,0.0,4184.70925,6442.76019,0.0,3768.99994,361.2672
2023-09-29 03:00:00,2024-07-17 00:00:00,3.1,4.989912008599157,283.94525885934365,282.36545937697167,0.0,0.3198463802799077,0.0,4149.87883,7133.12712,0.0,3523.99997,389.8417
2023-09-29 04:00:00,2024-07-17 00:00:00,3.1,5.541096891955067,283.7983088475033,281.75590498841774,3.2597911573344613,0.5673316930132577,0.08676,4199.82302,7769.3708,2.33607,3359.0,429.32893
2023-09-29 05:00:00,2024-07-17 00:00:00,3.1,5.541096891955067,283.7983088475033,281.75590498841774,3.2597911573344613,0.5673316930132577,0.0,4215.72511,8190.87917,39.20443,3278.99999,457.45663
2023-09-29 06:00:00,2024-07-17 00:00:00,3.1,5.541096891955067,283.7983088475033,281.75590498841774,3.2597911573344613,0.5673316930132577,0.00105,4223.696,8340.04758,90.50138,3095.99983,480.86584
2023-09-29 07:00:00,2024-07-17 00:00:00,3.1,6.064012752134502,285.08894857381847,281.6685081827811,153.26881720692415,0.185193898007113,0.0,4249.36156,8185.68542,173.164,2912.00003,507.1258
2023-09-29 08:00:00,2024-07-17 00:00:00,3.1,6.064012752134502,285.08894857381847,281.6685081827811,153.26881720692415,0.185193898007113,0.0,4256.70764,7886.56226,264.40591,2775.0,530.00618
2023-09-29 09:00:00,2024-07-17 00:00:00,3.1,6.064012752134502,285.08894857381847,281.6685081827811,153.26881720692415,0.185193898007113,0.0,4274.13259,7534.40402,338.60367,2604.00009,537.44741
2023-09-29 10:00:00,2024-07-17 00:00:00,3.1,6.426078826320824,286.04089437149554,281.49567181131107,220.07731260440968,0.4350593738200423,0.0,4251.03521,7379.22204,385.53679,2511.00002,547.59089
2023-09-29 11:00:00,2024-07-17 00:00:00,3.1,6.426078826320824,286.04089437149554,281.49567181131107,220.07731260440968,0.4350593738200423,0.0,4266.93623,7468.90905,395.00998,2487.00005,545.50768
2023-09-29 12:00:00,2024-07-17 00:00:00,3.1,6.426078826320824,286.04089437149554,281.49567181131107,220.07731260440968,0.4350593738200423,0.0,4294.01047,7720.7416,368.32645,2515.99997,534.02634
2023-09-29 13:00:00,2024-07-17 00:00:00,3.1,6.452753272092934,285.53343636245853,281.4024569681597,197.1209271836383,0.2986806823544968,0.0,4298.23023,8079.85884,318.50239,2531.00002,516.13373
2023-09-29 14:00:00,2024-07-17 00:00:00,3.1,6.452753272092934,285.53343636245853,281.4024569681597,197.1209271836383,0.2986806823544968,0.0,4308.32687,8508.52639,251.99618,2586.00007,480.34367
2023-09-29 15:00:00,2024-07-17 00:00:00,3.1,6.452753272092934,285.53343636245853,281.4024569681597,197.1209271836383,0.2986806823544968,0.10712,4303.58942,8713.98788,179.41439,2843.99992,450.84405
2023-09-29 16:00:00,2024-07-17 00:00:00,3.1,6.153137780868,284.05144766795433,281.0953232504095,107.55986015166896,0.5648879537431064,0.04852,4306.68708,8688.94784,107.48204,3325.99994,421.50885
2023-09-29 17:00:00,2024-07-17 00:00:00,3.1,6.153137780868,284.05144766795433,281.0953232504095,107.55986015166896,0.5648879537431064,0.09945,4313.03382,8451.84587,43.83156,3867.00014,400.26996
2023-09-29 18:00:00,2024-07-17 00:00:00,3.1,6.153137780868,284.05144766795433,281.0953232504095,107.55986015166896,0.5648879537431064,0.15986,4304.82692,7872.60089,0.0,4247.99998,382.87182
2023-09-29 19:00:00,2024-07-17 00:00:00,3.1,6.020321475702563,283.4022877618894,280.6682685906911,0.0,0.2144243758846452,0.09595,4309.39012,7124.14939,0.0,4454.99993,361.961
2023-09-29 20:00:00,2024-07-17 00:00:00,3.1,6.020321475702563,283.4022877618894,280.6682685906911,0.0,0.2144243758846452,0.0,4320.56304,6346.6223,0.0,4568.99999,338.91046
2023-09-29 21:00:00,2024-07-17 00:00:00,3.1,6.020321475702563,283.4022877618894,280.6682685906911,0.0,0.2144243758846452,0.0,4340.97745,5626.67396,0.0,4609.99998,330.21963
2023-09-29 22:00:00,2024-07-17 00:00:00,3.1,5.757850066153768,282.90300638834924,280.21870176274814,0.0,0.4022555482921535,0.0,4310.03623,5149.44952,0.0,4656.99992,333.2391
2023-09-29 23:00:00,2024-07-17 00:00:00,3.1,5.757850066153768,282.90300638834924,280.21870176274814,0.0,0.4022555482921535,0.06208,4303.41977,5033.83072,0.0,4601.00006,347.57963
2023-09-30 00:00:00,2024-07-17 00:00:00,3.1,5.757850066153768,282.90300638834924,280.21870176274814,0.0,0.4022555482921535,0.0,4292.88438,4842.26514,0.0,4463.20952,328.23772
2023-09-30 01:00:00,2024-07-17 00:00:00,3.1,5.51647842203941,282.51729223263266,279.8435809369859,0.0,0.2166263805399858,0.0508,4313.87486,5284.26226,0.0,4419.11609,346.99631
2023-09-30 02:00:00,2024-07-17 00:00:00,3.1,5.51647842203941,282.51729223263266,279.8435809369859,0.0,0.2166263805399858,0.0,4295.45532,5787.83031,0.0,4358.60916,378.67549
2023-09-30 03:00:00,2024-07-17 00:00:00,3.1,5.51647842203941,282.51729223263266,279.8435809369859,0.0,0.2166263805399858,0.0,4261.94316,6383.25063,0.0,4259.25965,414.74861
