,UTC time,carbon_intensity,nuclear,unknown,wind,hydro
13128,2021-07-01 00:00:00,35.49,5429,920,2453,6102
13129,2021-07-01 01:00:00,35.73,5431,919,2649,5789
13130,2021-07-01 02:00:00,35.55,5433,913,2666,5757
13131,2021-07-01 03:00:00,34.86,5438,907,2832,5782
13132,2021-07-01 04:00:00,32.13,5428,916,2779,7271
13133,2021-07-01 05:00:00,31.48,5437,952,2738,8262
13134,2021-07-01 06:00:00,30.49,5431,967,2531,9306
13135,2021-07-01 07:00:00,29.77,5433,966,2641,9617
13136,2021-07-01 08:00:00,30.13,5440,985,2748,9623
13137,2021-07-01 09:00:00,30.23,5427,994,2831,9653
13138,2021-07-01 10:00:00,30.46,5424,1004,2903,9624
13139,2021-07-01 11:00:00,31.27,5419,1021,2817,9515
13140,2021-07-01 12:00:00,31.44,5422,1023,2744,9519
13141,2021-07-01 13:00:00,31.48,5414,1017,2634,9513
13142,2021-07-01 14:00:00,31.68,5412,1018,2520,9526
13143,2021-07-01 15:00:00,32.01,5406,1019,2399,9479
13144,2021-07-01 16:00:00,32.13,5403,1015,2298,9449
13145,2021-07-01 17:00:00,31.77,5401,1002,2259,9472
13146,2021-07-01 18:00:00,31.86,5400,994,2162,9385
13147,2021-07-01 19:00:00,31.77,5404,976,2085,9198
13148,2021-07-01 20:00:00,31.98,5405,968,2215,8819
13149,2021-07-01 21:00:00,32.39,5409,956,2312,8293
13150,2021-07-01 22:00:00,32.31,5413,937,2384,7939
13151,2021-07-01 23:00:00,32.85,5413,907,2326,7231
13152,2021-07-02 00:00:00,32.9,5412,893,2344,6956
13153,2021-07-02 01:00:00,33.51,5411,895,2182,6869
13154,2021-07-02 02:00:00,33.53,5410,887,1990,6923
13155,2021-07-02 03:00:00,33.61,5415,890,1899,7024
13156,2021-07-02 04:00:00,33.24,5419,903,1736,7562
13157,2021-07-02 05:00:00,32.13,5416,921,1485,8658
13158,2021-07-02 06:00:00,31.55,5413,940,1203,9575
13159,2021-07-02 07:00:00,32.36,5406,969,1045,9798
13160,2021-07-02 08:00:00,32.79,5404,978,886,9881
13161,2021-07-02 09:00:00,32.89,5407,979,835,9892
13162,2021-07-02 10:00:00,33.89,5403,1000,790,9776
13163,2021-07-02 11:00:00,32.88,5404,967,782,9758
13164,2021-07-02 12:00:00,34.22,5397,1008,808,9726
13165,2021-07-02 13:00:00,34.08,5395,1004,793,9750
13166,2021-07-02 14:00:00,34.31,5394,1010,750,9775
13167,2021-07-02 15:00:00,34.69,5384,1019,704,9781
13168,2021-07-02 16:00:00,34.53,5379,1012,699,9761
13169,2021-07-02 17:00:00,33.81,5377,998,756,9840
13170,2021-07-02 18:00:00,33.67,5377,987,754,9738
13171,2021-07-02 19:00:00,33.47,5373,967,808,9466
13172,2021-07-02 20:00:00,33.38,5375,960,891,9310
13173,2021-07-02 21:00:00,33,5378,948,996,9195
13174,2021-07-02 22:00:00,33.11,5380,933,1074,8815
13175,2021-07-02 23:00:00,34.09,5392,930,1129,8237
13176,2021-07-03 00:00:00,34.31,5384,918,1098,7983
13177,2021-07-03 01:00:00,34.01,5392,897,1080,7795
13178,2021-07-03 02:00:00,34.4,5389,898,972,7752
13179,2021-07-03 03:00:00,34.37,5395,893,878,7774
13180,2021-07-03 04:00:00,34.91,5392,904,715,7877
13181,2021-07-03 05:00:00,34.79,5393,921,536,8370
13182,2021-07-03 06:00:00,34.95,5386,941,384,8771
13183,2021-07-03 07:00:00,34.89,5379,961,304,9192
13184,2021-07-03 08:00:00,35.01,5388,986,310,9511
13185,2021-07-03 09:00:00,35.81,5380,1021,371,9623
13186,2021-07-03 10:00:00,35.95,5379,1028,474,9561
13187,2021-07-03 11:00:00,36.4,5375,1047,576,9539
13188,2021-07-03 12:00:00,36.33,5378,1046,691,9441
13189,2021-07-03 13:00:00,35.82,5366,1028,802,9304
13190,2021-07-03 14:00:00,34.99,5351,1004,854,9291
13191,2021-07-03 15:00:00,35.37,5347,1012,933,9160
13192,2021-07-03 16:00:00,35.23,5349,1008,978,9117
13193,2021-07-03 17:00:00,34.81,5349,996,1026,9081
13194,2021-07-03 18:00:00,34.28,5346,976,1073,8974
13195,2021-07-03 19:00:00,33.49,5348,954,1238,8840
13196,2021-07-03 20:00:00,33.41,5352,941,1495,8407
13197,2021-07-03 21:00:00,33.24,5342,922,1791,7896
13198,2021-07-03 22:00:00,32.88,5354,907,2032,7568
13199,2021-07-03 23:00:00,33.28,5305,908,2195,7282
13200,2021-07-04 00:00:00,33.43,5206,894,2188,7090
13201,2021-07-04 01:00:00,33.79,5207,887,2067,6934
13202,2021-07-04 02:00:00,34.54,5165,896,1871,6983
13203,2021-07-04 03:00:00,35.07,4945,895,1641,7194
13204,2021-07-04 04:00:00,35.05,4934,907,1244,7794
13205,2021-07-04 05:00:00,35.69,4935,933,924,8240
13206,2021-07-04 06:00:00,35.72,4934,950,691,8717
13207,2021-07-04 07:00:00,36.58,4927,976,516,8922
13208,2021-07-04 08:00:00,36.2,4934,989,514,9274
13209,2021-07-04 09:00:00,36.99,4639,1005,703,9277
13210,2021-07-04 10:00:00,36.97,4653,1007,879,9125
13211,2021-07-04 11:00:00,37.29,4540,1010,1032,8990
13212,2021-07-04 12:00:00,37.61,4561,1020,1156,8859
13213,2021-07-04 13:00:00,37.32,4560,1010,1213,8777
13214,2021-07-04 14:00:00,37.42,4559,1008,1180,8742
13215,2021-07-04 15:00:00,36.86,4551,994,1174,8788
13216,2021-07-04 16:00:00,36.76,4540,998,1177,8896
13217,2021-07-04 17:00:00,35.96,4539,993,1225,9119
13218,2021-07-04 18:00:00,36.24,4544,1000,1206,9118
13219,2021-07-04 19:00:00,35.63,4553,983,1309,9018
13220,2021-07-04 20:00:00,35.46,4551,970,1506,8701
13221,2021-07-04 21:00:00,34.95,4554,962,1753,8557
13222,2021-07-04 22:00:00,34.67,4557,952,1956,8324
13223,2021-07-04 23:00:00,36.25,4559,976,2077,7869
13224,2021-07-05 00:00:00,36.08,4555,949,2081,7541
13225,2021-07-05 01:00:00,36.45,4564,944,1990,7395
13226,2021-07-05 02:00:00,36.5,4554,943,1870,7487
13227,2021-07-05 03:00:00,36.43,4562,943,1700,7678
13228,2021-07-05 04:00:00,35.63,4565,955,1426,8467
13229,2021-07-05 05:00:00,35.88,4564,978,1024,9108
13230,2021-07-05 06:00:00,36.9,4562,1018,747,9536
13231,2021-07-05 07:00:00,37.85,4558,1042,648,9580
13232,2021-07-05 08:00:00,38.58,4566,1080,807,9642
13233,2021-07-05 09:00:00,38.42,4564,1088,1031,9600
13234,2021-07-05 10:00:00,38.67,4562,1102,1364,9360
13235,2021-07-05 11:00:00,38.34,4557,1101,1580,9276
13236,2021-07-05 12:00:00,38.41,4553,1106,1770,9127
13237,2021-07-05 13:00:00,38.82,4545,1106,1868,8865
13238,2021-07-05 14:00:00,38.83,4535,1099,1838,8801
13239,2021-07-05 15:00:00,38.14,4529,1079,1875,8782
13240,2021-07-05 16:00:00,37.9,4528,1077,1978,8756
13241,2021-07-05 17:00:00,37.65,4523,1060,1891,8714
13242,2021-07-05 18:00:00,37.16,4533,1042,1833,8714
13243,2021-07-05 19:00:00,37,4533,1028,1717,8699
13244,2021-07-05 20:00:00,36.64,4536,1015,1812,8566
13245,2021-07-05 21:00:00,36.63,4537,997,1761,8356
13246,2021-07-05 22:00:00,37.03,4539,986,1885,7900
13247,2021-07-05 23:00:00,37.28,4541,956,1980,7267
13248,2021-07-06 00:00:00,37.26,4547,943,1964,7098
13249,2021-07-06 01:00:00,37.77,4543,937,1778,7005
13250,2021-07-06 02:00:00,38.22,4545,932,1598,6948
13251,2021-07-06 03:00:00,38.58,4548,934,1375,7062
13252,2021-07-06 04:00:00,38.18,4548,941,1113,7571
13253,2021-07-06 05:00:00,39.16,4546,982,924,7967
13254,2021-07-06 06:00:00,39.18,4547,1006,759,8452
13255,2021-07-06 07:00:00,39.79,4547,1043,761,8722
13256,2021-07-06 08:00:00,40.66,4553,1069,821,8675
13257,2021-07-06 09:00:00,40.37,4557,1074,978,8687
13258,2021-07-06 10:00:00,40.49,4555,1076,1106,8545
13259,2021-07-06 11:00:00,40.49,4560,1086,1331,8444
13260,2021-07-06 12:00:00,40.37,4559,1091,1550,8338
13261,2021-07-06 13:00:00,40.56,4555,1097,1626,8272
13262,2021-07-06 14:00:00,39.31,4552,1088,1757,8518
13263,2021-07-06 15:00:00,39.02,4554,1092,1843,8602
13264,2021-07-06 16:00:00,38.19,4551,1090,1886,8885
13265,2021-07-06 17:00:00,37.84,4552,1072,1894,8770
13266,2021-07-06 18:00:00,37.61,4550,1055,1781,8743
13267,2021-07-06 19:00:00,37.69,4558,1042,1721,8576
13268,2021-07-06 20:00:00,36.13,4555,999,1854,8489
13269,2021-07-06 21:00:00,35.66,4558,986,2121,8233
13270,2021-07-06 22:00:00,34.78,4566,965,2379,8045
13271,2021-07-06 23:00:00,34.32,4567,940,2421,7823
13272,2021-07-07 00:00:00,35.08,4569,926,2322,7360
13273,2021-07-07 01:00:00,35.25,4577,920,2193,7316
13274,2021-07-07 02:00:00,37.18,4578,948,2059,7077
13275,2021-07-07 03:00:00,37.68,4587,953,1912,7091
13276,2021-07-07 04:00:00,38.05,4590,960,1861,7095
13277,2021-07-07 05:00:00,39.26,4593,987,1638,7236
13278,2021-07-07 06:00:00,38.8,4589,1004,1639,7645
13279,2021-07-07 07:00:00,39.26,4586,1039,1526,8066
13280,2021-07-07 08:00:00,39.76,4588,1059,1571,8097
13281,2021-07-07 09:00:00,37.73,4588,999,1853,7783
13282,2021-07-07 10:00:00,37.01,4594,975,1941,7636
13283,2021-07-07 11:00:00,37.26,4595,975,2045,7432
13284,2021-07-07 12:00:00,36.91,4597,971,2246,7313
13285,2021-07-07 13:00:00,36.6,4593,965,2350,7251
