,UTC time,carbon_intensity,nuclear,unknown,wind,hydro
13128,2021-07-01 00:00:00,34.09,5429,920,2453,6102
13129,2021-07-01 01:00:00,33.97,5431,919,2649,5789
13130,2021-07-01 02:00:00,33.86,5433,913,2666,5757
13131,2021-07-01 03:00:00,33.48,5438,907,2832,5782
13132,2021-07-01 04:00:00,32.85,5428,916,2779,7271
13133,2021-07-01 05:00:00,32.92,5437,952,2738,8262
13134,2021-07-01 06:00:00,32.88,5431,967,2531,9306
13135,2021-07-01 07:00:00,32.59,5433,966,2641,9617
13136,2021-07-01 08:00:00,32.72,5440,985,2748,9623
13137,2021-07-01 09:00:00,32.75,5427,994,2831,9653
13138,2021-07-01 10:00:00,32.82,5424,1004,2903,9624
13139,2021-07-01 11:00:00,33.21,5419,1021,2817,9515
13140,2021-07-01 12:00:00,33.32,5422,1023,2744,9519
13141,2021-07-01 13:00:00,33.38,5414,1017,2634,9513
13142,2021-07-01 14:00:00,33.53,5412,1018,2520,9526
13143,2021-07-01 15:00:00,33.72,5406,1019,2399,9479
13144,2021-07-01 16:00:00,33.81,5403,1015,2298,9449
13145,2021-07-01 17:00:00,33.66,5401,1002,2259,9472
13146,2021-07-01 18:00:00,33.72,5400,994,2162,9385
13147,2021-07-01 19:00:00,33.65,5404,976,2085,9198
13148,2021-07-01 20:00:00,33.57,5405,968,2215,8819
13149,2021-07-01 21:00:00,33.55,5409,956,2312,8293
13150,2021-07-01 22:00:00,33.36,5413,937,2384,7939
13151,2021-07-01 23:00:00,33.37,5413,907,2326,7231
13152,2021-07-02 00:00:00,33.27,5412,893,2344,6956
13153,2021-07-02 01:00:00,33.6,5411,895,2182,6869
13154,2021-07-02 02:00:00,33.71,5410,887,1990,6923
13155,2021-07-02 03:00:00,33.83,5415,890,1899,7024
13156,2021-07-02 04:00:00,33.94,5419,903,1736,7562
13157,2021-07-02 05:00:00,33.91,5416,921,1485,8658
13158,2021-07-02 06:00:00,34.05,5413,940,1203,9575
13159,2021-07-02 07:00:00,34.58,5406,969,1045,9798
13160,2021-07-02 08:00:00,34.88,5404,978,886,9881
13161,2021-07-02 09:00:00,34.96,5407,979,835,9892
13162,2021-07-02 10:00:00,35.42,5403,1000,790,9776
13163,2021-07-02 11:00:00,34.94,5404,967,782,9758
13164,2021-07-02 12:00:00,35.56,5397,1008,808,9726
13165,2021-07-02 13:00:00,35.51,5395,1004,793,9750
13166,2021-07-02 14:00:00,35.64,5394,1010,750,9775
13167,2021-07-02 15:00:00,35.86,5384,1019,704,9781
13168,2021-07-02 16:00:00,35.78,5379,1012,699,9761
13169,2021-07-02 17:00:00,35.43,5377,998,756,9840
13170,2021-07-02 18:00:00,35.34,5377,987,754,9738
13171,2021-07-02 19:00:00,35.14,5373,967,808,9466
13172,2021-07-02 20:00:00,35.01,5375,960,891,9310
13173,2021-07-02 21:00:00,34.74,5378,948,996,9195
13174,2021-07-02 22:00:00,34.64,5380,933,1074,8815
13175,2021-07-02 23:00:00,34.88,5392,930,1129,8237
13176,2021-07-03 00:00:00,34.92,5384,918,1098,7983
13177,2021-07-03 01:00:00,34.71,5392,897,1080,7795
13178,2021-07-03 02:00:00,34.94,5389,898,972,7752
13179,2021-07-03 03:00:00,34.98,5395,893,878,7774
13180,2021-07-03 04:00:00,35.36,5392,904,715,7877
13181,2021-07-03 05:00:00,35.56,5393,921,536,8370
13182,2021-07-03 06:00:00,35.85,5386,941,384,8771
13183,2021-07-03 07:00:00,35.99,5379,961,304,9192
13184,2021-07-03 08:00:00,36.13,5388,986,310,9511
13185,2021-07-03 09:00:00,36.51,5380,1021,371,9623
13186,2021-07-03 10:00:00,36.51,5379,1028,474,9561
13187,2021-07-03 11:00:00,36.67,5375,1047,576,9539
13188,2021-07-03 12:00:00,36.55,5378,1046,691,9441
13189,2021-07-03 13:00:00,36.22,5366,1028,802,9304
13190,2021-07-03 14:00:00,35.8,5351,1004,854,9291
13191,2021-07-03 15:00:00,35.9,5347,1012,933,9160
13192,2021-07-03 16:00:00,35.8,5349,1008,978,9117
13193,2021-07-03 17:00:00,35.57,5349,996,1026,9081
13194,2021-07-03 18:00:00,35.26,5346,976,1073,8974
