UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_geothermal_production_forecast,avg_unknown_production_forecast
2023-11-11 00:00:00,2024-07-17 00:00:00,3.1,2.238184971569821,280.1348899286811,276.7603286376421,0.0,0.2544803538845818,153.27591,392.40138,1.5387,882.25196,0.0,120.43179,78.09542,0.00975,29.45371
2023-11-11 01:00:00,2024-07-17 00:00:00,3.1,2.272437834997804,279.75748686604135,276.0067777064472,0.0,0.1407628461984122,156.95813,390.16102,1.43223,836.72728,0.0,126.65926,78.33199,0.0,29.41245
2023-11-11 02:00:00,2024-07-17 00:00:00,3.1,2.272437834997804,279.75748686604135,276.0067777064472,0.0,0.1407628461984122,155.89423,394.75129,1.40349,829.38962,0.0,138.95192,78.31795,0.0,29.30908
2023-11-11 03:00:00,2024-07-17 00:00:00,3.1,2.272437834997804,279.75748686604135,276.0067777064472,0.0,0.1407628461984122,155.98408,387.98156,1.32618,919.6162,0.0,151.48362,78.44377,0.0,29.19597
2023-11-11 04:00:00,2024-07-17 00:00:00,3.1,2.091225532098182,279.5935395672824,275.8966761681753,0.2102032576468423,0.2193874562529829,160.18004,382.28996,1.4162,1013.99837,0.0,154.83836,78.17257,0.0,29.33858
2023-11-11 05:00:00,2024-07-17 00:00:00,3.1,2.091225532098182,279.5935395672824,275.8966761681753,0.2102032576468423,0.2193874562529829,165.55262,383.08095,1.4054,1070.08825,0.21052,156.75811,78.05277,0.05234,29.31153
2023-11-11 06:00:00,2024-07-17 00:00:00,3.1,2.091225532098182,279.5935395672824,275.8966761681753,0.2102032576468423,0.2193874562529829,161.97634,386.37255,1.35651,1110.96766,1.1105,160.08686,77.7786,0.14177,29.51
2023-11-11 07:00:00,2024-07-17 00:00:00,3.1,2.32899639512852,283.0524954121597,277.27680600821293,154.94425347699905,0.1058445714639018,163.14501,379.99686,1.37118,1134.70458,3.40595,164.30625,77.70224,0.14923,29.45121
2023-11-11 08:00:00,2024-07-17 00:00:00,3.1,2.32899639512852,283.0524954121597,277.27680600821293,154.94425347699905,0.1058445714639018,162.45463,377.44469,1.51442,1139.35724,6.69156,166.82256,77.87104,0.08105,29.15929
2023-11-11 09:00:00,2024-07-17 00:00:00,3.1,2.32899639512852,283.0524954121597,277.27680600821293,154.94425347699905,0.1058445714639018,161.09915,381.49271,1.58166,1132.70245,10.83378,166.67238,77.78631,0.02258,29.29328
2023-11-11 10:00:00,2024-07-17 00:00:00,3.1,2.442206700186328,284.2411944644026,277.4884535027591,218.19220310542445,0.4247685811375844,161.33244,380.02915,1.54253,1081.64344,13.55531,168.55462,78.25787,0.03339,29.22323
2023-11-11 11:00:00,2024-07-17 00:00:00,3.1,2.442206700186328,284.2411944644026,277.4884535027591,218.19220310542445,0.4247685811375844,160.20573,378.76357,1.62526,1036.1863,14.39167,175.72879,78.45036,0.0547,29.32252
2023-11-11 12:00:00,2024-07-17 00:00:00,3.1,2.442206700186328,284.2411944644026,277.4884535027591,218.19220310542445,0.4247685811375844,160.20209,380.56653,1.73079,1031.27379,13.23123,181.34967,78.58652,0.11709,29.32576
2023-11-11 13:00:00,2024-07-17 00:00:00,3.1,1.9830811189704405,282.601767407045,278.3120178336634,114.0032497441149,0.6681067071397322,158.82262,380.61968,1.63493,1014.70704,10.67617,183.38785,79.21744,0.1777,29.24392
2023-11-11 14:00:00,2024-07-17 00:00:00,3.1,1.9830811189704405,282.601767407045,278.3120178336634,114.0032497441149,0.6681067071397322,158.72191,377.92315,1.38823,1059.38815,7.79254,184.656,79.26394,0.13631,29.52735
2023-11-11 15:00:00,2024-07-17 00:00:00,3.1,1.9830811189704405,282.601767407045,278.3120178336634,114.0032497441149,0.6681067071397322,158.93425,379.64564,1.24397,1091.61114,4.75596,184.52345,79.2795,0.20756,29.62683
2023-11-11 16:00:00,2024-07-17 00:00:00,3.1,2.0791452383952884,281.56955699243144,278.1634797649858,57.426686975938665,1.1079144594689805,160.39934,375.35163,1.52893,1148.6467,2.30482,180.68207,79.09603,0.07357,29.6816
2023-11-11 17:00:00,2024-07-17 00:00:00,3.1,2.0791452383952884,281.56955699243144,278.1634797649858,57.426686975938665,1.1079144594689805,157.12143,375.1214,1.65882,1166.44784,0.92989,178.49245,78.96721,0.16084,29.74755
2023-11-11 18:00:00,2024-07-17 00:00:00,3.1,2.0791452383952884,281.56955699243144,278.1634797649858,57.426686975938665,1.1079144594689805,155.16707,377.98025,1.73728,1226.29364,0.59895,180.57168,79.18745,0.11769,29.71099
2023-11-11 19:00:00,2024-07-17 00:00:00,3.1,2.0537886090893287,281.2609060675196,278.0380461394617,0.0,0.1885200102506906,157.41621,382.88749,1.85147,1182.13331,0.75102,182.65675,79.07537,0.0,29.48661
2023-11-11 20:00:00,2024-07-17 00:00:00,3.1,2.0537886090893287,281.2609060675196,278.0380461394617,0.0,0.1885200102506906,159.05393,384.13053,1.83855,1084.89176,1.00335,187.41602,79.16072,0.0,29.45761
2023-11-11 21:00:00,2024-07-17 00:00:00,3.1,2.0537886090893287,281.2609060675196,278.0380461394617,0.0,0.1885200102506906,155.51587,385.30126,1.78528,994.69177,1.09901,195.61007,79.46864,0.04207,29.33082
2023-11-11 22:00:00,2024-07-17 00:00:00,3.1,2.3117170928914064,281.0948739787338,278.0073675205258,0.0,0.2384366678155011,149.49588,386.83917,1.77006,931.40711,1.31441,205.86419,79.18488,0.20754,29.43301
2023-11-11 23:00:00,2024-07-17 00:00:00,3.1,2.3117170928914064,281.0948739787338,278.0073675205258,0.0,0.2384366678155011,152.1172,386.41334,1.66547,858.12954,1.04342,214.46759,79.44704,0.18517,29.33416
2023-11-12 00:00:00,2024-07-17 00:00:00,3.1,2.3117170928914064,281.0948739787338,278.0073675205258,0.0,0.2384366678155011,150.59875,406.45267,1.5387,963.0713,0.0,164.94688,78.30696,0.00975,29.51669
2023-11-12 01:00:00,2024-07-17 00:00:00,3.1,2.4424033681457806,280.97800623730143,277.8126239634876,0.0,0.0176931412213797,154.26049,403.95931,1.43223,926.11708,0.0,170.69517,78.54451,0.0,29.4754
2023-11-12 02:00:00,2024-07-17 00:00:00,3.1,2.4424033681457806,280.97800623730143,277.8126239634876,0.0,0.0176931412213797,153.22005,408.63293,1.40349,923.07751,0.0,181.2353,78.53122,0.0,29.37157
2023-11-12 03:00:00,2024-07-17 00:00:00,3.1,2.4424033681457806,280.97800623730143,277.8126239634876,0.0,0.0176931412213797,153.32198,401.42014,1.32618,1003.62705,0.0,192.57518,78.65706,0.0,29.2583
2023-11-12 04:00:00,2024-07-17 00:00:00,3.1,2.144514517972844,280.6222577772479,277.47534063931744,0.1672343316154419,0.0247457657404198,157.48541,395.56723,1.4162,1072.31114,0.0,194.64176,78.38452,0.0,29.40066
2023-11-12 05:00:00,2024-07-17 00:00:00,3.1,2.144514517972844,280.6222577772479,277.47534063931744,0.1672343316154419,0.0247457657404198,162.80712,396.31395,1.4054,1108.66895,0.25031,195.39767,78.26398,0.05234,29.37327
2023-11-12 06:00:00,2024-07-17 00:00:00,3.1,2.144514517972844,280.6222577772479,277.47534063931744,0.1672343316154419,0.0247457657404198,159.2941,399.48603,1.35651,1124.20515,1.11476,197.74088,77.9891,0.14177,29.57303
2023-11-12 07:00:00,2024-07-17 00:00:00,3.1,1.7889955344481996,284.0136555206499,278.5761605592694,179.33620495172653,0.00047525806726,160.48031,392.58351,1.37118,1123.51756,3.29018,200.93547,77.91095,0.14923,29.51493
2023-11-12 08:00:00,2024-07-17 00:00:00,3.1,1.7889955344481996,284.0136555206499,278.5761605592694,179.33620495172653,0.00047525806726,159.82844,389.82053,1.51442,1122.24773,6.30958,201.98574,78.08021,0.08105,29.22149
2023-11-12 09:00:00,2024-07-17 00:00:00,3.1,1.7889955344481996,284.0136555206499,278.5761605592694,179.33620495172653,0.00047525806726,158.50338,394.12465,1.58166,1125.44544,10.04748,200.3253,77.99614,0.02258,29.35645
