UTC time,coal,nat_gas,hydro,solar,wind,biomass,unknown,avg_solar_production_forecast,avg_wind_production_forecast
2019-01-01 00:00:00,1472.0,445.0,940.0,0.0,543.0,320.0,22.0,0.0,0.0
2019-01-01 01:00:00,1470.0,438.0,797.0,0.0,441.0,320.0,21.0,0.0,0.0
2019-01-01 02:00:00,1470.0,439.0,717.0,0.0,367.0,331.0,25.0,0.0,0.0
2019-01-01 03:00:00,1407.0,439.0,339.0,0.0,346.0,339.0,29.0,0.0,0.0
2019-01-01 04:00:00,1289.0,442.0,247.0,0.0,413.0,335.0,31.0,0.0,0.0
2019-01-01 05:00:00,1289.0,447.0,237.0,0.0,449.0,336.0,30.0,0.0,0.0
2019-01-01 06:00:00,1433.0,456.0,338.0,0.0,404.0,331.0,29.0,0.0,0.0
2019-01-01 07:00:00,1469.0,566.0,305.0,0.0,405.0,324.0,29.0,0.0,0.0
2019-01-01 08:00:00,1456.0,892.0,312.0,53.0,373.0,332.0,31.0,0.0,0.0
2019-01-01 09:00:00,1432.0,1098.0,406.0,196.0,341.0,326.0,28.0,0.0,0.0
2019-01-01 10:00:00,1430.0,1157.0,400.0,303.0,304.0,330.0,28.0,0.0,0.0
2019-01-01 11:00:00,1381.0,1081.0,413.0,348.0,223.0,334.0,29.0,0.0,0.0
2019-01-01 12:00:00,1427.0,1174.0,753.0,358.0,149.0,335.0,31.0,0.0,0.0
2019-01-01 13:00:00,1471.0,1193.0,564.0,351.0,97.0,340.0,32.0,0.0,0.0
2019-01-01 14:00:00,1329.0,1150.0,316.0,310.0,82.0,339.0,31.0,0.0,0.0
2019-01-01 15:00:00,1315.0,1160.0,307.0,235.0,104.0,330.0,30.0,0.0,0.0
2019-01-01 16:00:00,1470.0,1266.0,405.0,87.0,164.0,333.0,32.0,0.0,0.0
2019-01-01 17:00:00,1490.0,1387.0,748.0,1.0,253.0,334.0,32.0,0.0,0.0
2019-01-01 18:00:00,1624.0,1389.0,1213.0,0.0,272.0,334.0,31.0,0.0,0.0
2019-01-01 19:00:00,1717.0,1391.0,1619.0,0.0,285.0,337.0,31.0,0.0,0.0
