UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_geothermal_production_forecast,avg_unknown_production_forecast
2023-12-17 00:00:00,2024-07-17 00:00:00,3.1,3.0797601784428617,280.93366865426435,274.2046572368046,0.0,0.0651336842360214,1385.2717,25194.77659,28463.1043,146.48085,21315.68524,66.0,7687.99986,2655.10816,0.0,347.74727
2023-12-17 01:00:00,2024-07-17 00:00:00,3.1,3.113564916322389,280.3158640971945,273.1977538762508,0.0,0.0432997101695463,1389.70238,25556.87174,28467.45447,149.96883,19696.22884,97.0,7744.00022,2636.58873,0.0,346.69803
2023-12-17 02:00:00,2024-07-17 00:00:00,3.1,3.113564916322389,280.3158640971945,273.1977538762508,0.0,0.0432997101695463,1390.01647,26030.91977,28474.38242,152.72553,19781.3838,96.0,7948.00019,2636.76334,0.0,343.54658
2023-12-17 03:00:00,2024-07-17 00:00:00,3.1,3.113564916322389,280.3158640971945,273.1977538762508,0.0,0.0432997101695463,1390.2499,25594.98103,28477.18354,150.99683,20203.45823,96.0,8318.99975,2641.13762,0.0,344.62273
2023-12-17 04:00:00,2024-07-17 00:00:00,3.1,3.0758161031461806,279.9462954750188,272.6773973316373,0.0,0.0949908949541973,1372.61428,24848.8359,28481.89008,151.55867,22212.80314,96.0,8648.00012,2612.10934,0.0,343.84351
2023-12-17 05:00:00,2024-07-17 00:00:00,3.1,3.0758161031461806,279.9462954750188,272.6773973316373,0.0,0.0949908949541973,1334.7808,24537.90698,28478.4071,150.8098,24630.19388,96.0,8909.99973,2585.93009,0.0,343.81634
2023-12-17 06:00:00,2024-07-17 00:00:00,3.1,3.0758161031461806,279.9462954750188,272.6773973316373,0.0,0.0949908949541973,1314.71748,24692.74814,28466.01233,148.63461,24928.37032,97.0,8776.99972,2593.90524,0.0,343.6701
2023-12-17 07:00:00,2024-07-17 00:00:00,3.1,2.826990559413158,281.65276107717733,273.3895878326589,39.15429830784959,0.0442098910006917,1326.04444,24676.24132,28497.92701,142.7599,23355.19549,1475.00002,8392.99986,2605.20307,0.0,343.21458
2023-12-17 08:00:00,2024-07-17 00:00:00,3.1,2.826990559413158,281.65276107717733,273.3895878326589,39.15429830784959,0.0442098910006917,1319.23226,24787.16838,28530.24795,142.15462,22929.42256,16473.00016,8024.99984,2632.88327,0.0,344.08102
2023-12-17 09:00:00,2024-07-17 00:00:00,3.1,2.826990559413158,281.65276107717733,273.3895878326589,39.15429830784959,0.0442098910006917,1307.32168,25193.60804,28527.90299,142.17195,21446.76421,37168.00101,7635.00027,2661.80918,0.0,346.92423
