UTC time,solar,other,oil,nuclear,nat_gas
2023-03-03T00,104,1940,0,2744,13874
2023-03-03T01,55,1948,0,2743,13506
2023-03-03T02,0,1888,0,2743,12518
2023-03-03T03,0,1805,0,2744,11396
2023-03-03T04,0,1637,0,2746,10317
2023-03-03T05,0,1516,0,2747,8776
2023-03-03T06,0,1477,0,2747,7630
2023-03-03T07,0,1461,0,2745,6803
2023-03-03T08,0,1449,0,2746,6411
2023-03-03T09,0,1452,0,2747,6154
2023-03-03T10,0,1495,0,2746,6109
2023-03-03T11,0,1537,0,2749,6672
2023-03-03T12,0,1558,0,2749,7793
2023-03-03T13,361,1554,0,2751,8599
2023-03-03T14,1498,1555,0,2751,8877
2023-03-03T15,2407,1544,0,2751,9535
2023-03-03T16,3071,1591,0,2750,10051
2023-03-03T17,3197,1635,0,2749,10898
2023-03-03T18,3300,1629,0,2752,11660
2023-03-03T19,3311,1767,0,2750,12336
2023-03-03T20,3223,1757,0,2747,12937
2023-03-03T21,2723,1802,0,2746,13776
2023-03-03T22,1790,1913,0,2747,14698
2023-03-03T23,647,1925,0,2747,14862
