UTC time,solar,other,oil,nuclear,nat_gas
2023-03-02T00,99,1976,0,2741,13914
2023-03-02T01,54,1946,0,2739,13503
2023-03-02T02,0,1867,0,2740,12371
2023-03-02T03,0,1816,0,2740,11133
2023-03-02T04,0,1730,0,2741,9818
2023-03-02T05,0,1547,4,2741,8527
2023-03-02T06,0,1487,0,2744,7391
2023-03-02T07,0,1463,0,2747,6526
2023-03-02T08,0,1453,0,2749,6001
2023-03-02T09,0,1453,0,2748,5689
2023-03-02T10,-1,1480,0,2748,5629
2023-03-02T11,0,1536,0,2751,6004
2023-03-02T12,0,1553,0,2753,7069
2023-03-02T13,340,1523,0,2750,7849
2023-03-02T14,1516,1528,0,2750,7794
2023-03-02T15,2514,1617,0,2750,7910
2023-03-02T16,3193,1697,0,2750,8291
2023-03-02T17,3380,1746,0,2748,9070
2023-03-02T18,3451,1701,0,2748,9978
2023-03-02T19,3404,1765,0,2747,10954
2023-03-02T20,3402,1801,0,2744,11408
2023-03-02T21,2857,1793,0,2744,12449
2023-03-02T22,2099,1842,0,2741,13196
2023-03-02T23,841,1853,0,2745,13831
