UTC time,solar,other,oil,nuclear,nat_gas
2023-03-01T00,89,2384,0,2740,14338
2023-03-01T01,53,2278,0,2740,13953
2023-03-01T02,0,2152,0,2741,12775
2023-03-01T03,0,2134,0,2740,11509
2023-03-01T04,0,1961,0,2741,10093
2023-03-01T05,0,1791,0,2742,8735
2023-03-01T06,0,1540,0,2745,7445
2023-03-01T07,0,1517,0,2746,6452
2023-03-01T08,-1,1509,0,2745,5865
2023-03-01T09,-1,1500,0,2745,5597
2023-03-01T10,0,1516,0,2747,5527
2023-03-01T11,0,1533,0,2750,6010
2023-03-01T12,0,1539,0,2751,7218
2023-03-01T13,234,1526,0,2749,7811
2023-03-01T14,1199,1544,0,2749,7959
2023-03-01T15,2079,1559,0,2751,8196
2023-03-01T16,2819,1565,0,2749,8403
2023-03-01T17,3431,1584,0,2747,8795
2023-03-01T18,3536,1599,0,2747,9777
2023-03-01T19,3571,1589,0,2745,10807
2023-03-01T20,3462,1880,0,2743,11694
2023-03-01T21,3285,2069,0,2741,12229
2023-03-01T22,2393,2000,0,2742,13158
2023-03-01T23,943,1918,0,2741,13888
