datetime,param,level,latitude,longitude,Analysis,3 hr fcst,6 hr fcst,9 hr fcst,12 hr fcst,15 hr fcst,18 hr fcst,21 hr fcst,24 hr fcst,27 hr fcst,30 hr fcst,33 hr fcst,36 hr fcst,39 hr fcst,42 hr fcst,45 hr fcst,48 hr fcst,51 hr fcst,54 hr fcst,57 hr fcst,60 hr fcst,63 hr fcst,66 hr fcst,69 hr fcst,72 hr fcst,75 hr fcst,78 hr fcst,81 hr fcst,84 hr fcst,87 hr fcst,90 hr fcst,93 hr fcst,96 hr fcst
2023-01-01 00:00:00,UGRD,10 m above ground,57.5,23.25,5.383425584003451,4.4090541278292426,2.7122317473669226,2.5060727156454723,2.5559487866914754,2.7600268845982394,3.365284308563046,3.865653015091436,3.363711695242695,2.6021699213138225,2.5782595276747937,2.846422314404359,3.5246400432502494,4.008373538722836,3.6242160828443497,2.7088243939394543,1.9612476432033978,1.9684691655832065,2.3576668083956704,3.638469091128625,4.787914350484647,5.0417300081854695,5.314710164888963,5.286527627145572,5.472639841935902,5.340938986241113,4.641532127853525,3.731865983473562,3.0646516426722097,2.026762146159373,1.9686046239172923,2.8340017017965766,3.827037890024492
2023-01-02 00:00:00,UGRD,10 m above ground,57.5,23.25,3.7619624339738365,3.290891159910275,2.8731423633348143,2.99704873687123,3.469302684638161,4.318943063439942,4.975259298178335,5.478829507131966,6.071737502723558,8.400617673887597,8.623318221919472,7.560592076076496,6.564913283246334,5.905478502067423,5.23362564465373,4.638052453092541,4.40379484087115,4.043371070370702,2.9994695677687733,2.250656685949329,2.0987913527106214,3.040076366995409,4.838502470425936,6.495146295437699,7.584444337988345,8.475429163128954,9.054830977545944,8.951361762585805,8.446104144159808,7.810513613078195,6.741210458860337,5.738512580362413,5.145554636748164
2023-01-03 00:00:00,UGRD,10 m above ground,57.5,23.25,5.847907026664178,7.7555238155495605,8.356696162555142,7.819334659892467,6.471902290077201,5.355856285954584,4.583100734674706,3.89026598912529,3.888828874626639,3.9582931180009453,3.7284245195549826,3.277544082046468,2.364526667166725,2.105420191218461,3.3647722889264893,4.9676879600165345,6.278564712759603,7.141583434634384,7.6871204483225295,7.844744604869762,7.538191055596537,6.809060210920587,5.798860999368098,5.059421565962117,4.281507954378161,3.4312135628779945,2.8395629131557936,2.6369932098149955,2.331860613137551,2.5720053772272644,3.227360244919333,3.7388707842237503,3.817998003066177
2023-01-04 00:00:00,UGRD,10 m above ground,57.5,23.25,3.7708679414451387,4.236333764959241,4.506511256603106,4.061067366282094,3.1321799611948142,2.213656540057208,3.0786891535448153,4.5199725608484735,5.882509582400733,6.654725607105894,6.999247674969146,6.746184117341677,6.105062263966126,5.63085637103886,5.0100470994293556,4.2656481514582705,3.6663454248936267,3.2609017071494906,2.989409306796335,2.845490030338251,2.5210962569303828,2.180401054385085,2.5683752380515763,2.784774066290022,2.952398048094606,3.3027291820200126,3.7019709239788865,4.1470462569631446,4.250924910420719,4.312861137885668,4.41469380656334,4.4905467442573315,4.579712420009663
2023-01-05 00:00:00,UGRD,10 m above ground,57.5,23.25,6.113965302277617,6.867556949579527,7.239312640160559,7.095688252999683,6.8346708562212735,6.43398072982964,5.600192493676088,4.6502613436045666,3.797354479137282,3.0645610777965073,2.645828385292286,2.8202008935816822,2.835612656855721,3.345677567897071,4.448580810195873,4.80490525669798,5.327263917538636,5.452920406671124,5.829862561551675,5.937602431015442,5.769432713845226,5.531605014259173,5.290077401890616,5.177187932029004,5.214250818123347,5.385085741817592,5.724450655916624,6.084000993297863,6.341745325675131,6.674861445284154,6.773517098897417,6.776443093630116,6.775772011556771
2023-01-06 00:00:00,UGRD,10 m above ground,57.5,23.25,3.61150599106234,2.912832734328598,2.3290973247846454,2.2060402613152883,2.044211586731852,2.6372307056101234,3.6984383772340985,4.2401254444549625,4.62438466382267,4.911930400857902,5.145327055957536,5.444661656287321,5.403239147624986,5.329561841489113,5.313307575852788,5.38850322243492,5.376181354725983,5.629501102671275,5.910069756289071,6.167349265654714,6.3941958650536215,6.898401380905845,7.162265076120587,7.171616665904093,6.996742124133082,7.041919936243653,7.30761846702115,7.722567099694191,7.982360595287181,8.552766174071026,8.706862751768368,8.566115917015154,8.214265795155843
2023-01-07 00:00:00,UGRD,10 m above ground,57.5,23.25,4.168893236529248,4.513171794091549,5.025378126085104,5.291075016743658,5.438988846000372,5.505951306189749,5.579698471112121,5.528800680788917,5.4096163308046314,5.482105367273941,5.690527656303429,5.943938749168664,6.109867907915569,6.621925149653158,6.766223860576556,6.867367839301396,6.982168611021297,6.992452656902653,7.00892645847455,6.898137249240797,6.847504949912785,6.862069621957265,6.921123716656973,7.031909832081787,7.110821448115246,7.272970548333099,7.612666182370809,7.786138443650011,7.071244022195916,6.237873244268515,6.100668097169073,6.155170556586553,5.986492686221568
2023-01-08 00:00:00,UGRD,10 m above ground,57.5,23.25,5.476874128494348,5.506978578719263,5.624115175533467,5.834289146209866,6.027964682012051,6.493762861189172,6.868705122902111,7.208578594532199,7.418107911307882,7.415138673562311,7.318478836189729,7.186541222485234,6.710772110503748,6.803201836011304,6.705055523832627,6.800494996423712,7.130396738212726,7.333070350496226,7.797178134520276,8.21422227923738,7.766314316778285,7.310989561412465,6.916437128449639,6.7919687131177,6.435874384495159,6.2624885986549845,6.4942810578687755,6.81624434244974,7.363545400874266,8.296965917009512,8.949752154969453,8.543526902179568,7.737134164112716
2023-01-09 00:00:00,UGRD,10 m above ground,57.5,23.25,7.255274502435796,7.530313779609579,7.527901466786993,7.325788013641848,7.000983285954996,6.806321560527615,6.713784488645732,6.779730289768361,6.734315133550123,6.508024505952579,6.380263298575546,6.530867486874046,6.542875455655686,6.1311261890268804,5.927175141500442,5.95538854308996,5.85436792709597,5.787736460685477,5.986270143235792,6.372032406262949,6.950013411610456,7.839494990629651,8.27406554383198,7.815330237788521,7.28752902470608,6.9605700465261915,6.820877053864329,6.812934923472705,6.5263618907509375,6.39939877569751,6.347024156476843,6.236277952082591,5.830533368750858
2023-01-10 00:00:00,UGRD,10 m above ground,57.5,23.25,6.632520033537839,6.311499934648509,5.924047214733768,5.8586720816824585,5.881131561931966,5.698013080033134,5.688226991108461,5.8293685678016,5.712206379720274,5.833497509458388,6.138000484668392,6.95487672651112,7.402350073455092,7.872418550133419,8.347873776250653,8.08424468220488,7.400084157641077,7.0092768357113435,6.711246426022445,6.41683878239996,5.56131051121193,5.372649244602764,5.634838353388427,5.592546483736387,5.431289596290165,4.848441672956496,4.536041219283977,4.8536556227253715,5.043668049310631,5.21397730350111,5.496756140667931,5.3811631952762875,4.9609924651375366
