UTC time,avg_coal_production_forecast,avg_hydro_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_other_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2021-07-01 00:00:00,103.81009,790.7189,13787.30078,3254.99842,263.84205,735.9735,4.36134,439.37399
2021-07-01 01:00:00,97.08704,558.91369,13045.88481,3273.9028,212.92857,732.30978,0.86942,459.76058
2021-07-01 02:00:00,85.67411,438.41417,12299.445,3262.00787,158.84348,733.43432,15.19023,464.48716
2021-07-01 03:00:00,81.84596,364.46039,11134.79817,3260.77271,108.01407,729.95439,11.02853,462.01415
2021-07-01 04:00:00,79.23032,326.15067,10344.9276,3268.49939,57.46869,724.39261,4.20772,455.55932
2021-07-01 05:00:00,78.1337,299.91006,9332.5377,3276.67037,22.77251,724.72753,0,455.27961
2021-07-01 06:00:00,77.10797,294.15237,8792.84593,3260.01033,0,720.269,0,449.60556
2021-07-01 07:00:00,77.30097,281.9901,8033.02398,3260.49313,0,722.71045,2.1707,446.14195
2021-07-01 08:00:00,84.73388,251.33618,8191.07021,3275.62802,0,717.11727,6.15858,430.95751
2021-07-01 09:00:00,91.86485,214.82925,8009.04019,3280.7699,0,721.59079,0.4096,406.44086
2021-07-01 10:00:00,98.1418,243.2975,8437.16473,3243.62654,20.64521,717.31741,2.20075,381.53983
2021-07-01 11:00:00,105.26926,312.07037,8832.98578,3254.66975,53.36225,715.16267,19.68975,349.72279
2021-07-01 12:00:00,115.40615,343.17486,9577.7017,3279.3225,84.6099,713.6157,65.63307,320.71731
2021-07-01 13:00:00,121.46604,322.00305,9879.50037,3272.99729,122.93289,712.90357,124.92875,284.51539
2021-07-01 14:00:00,132.5141,311.2097,10766.7713,3277.14198,157.60399,710.04799,180.80528,251.93317
2021-07-01 15:00:00,140.66148,296.1775,11253.47,3263.43859,188.09905,709.34652,209.1413,229.29449
2021-07-01 16:00:00,147.81415,361.56104,12153.57936,3274.66537,199.43184,711.07128,219.34081,208.98537
2021-07-01 17:00:00,151.9966,451.48908,12833.69981,3261.51075,208.88175,708.3873,220.78692,188.86485
2021-07-01 18:00:00,155.08614,643.53429,13375.9573,3266.99937,204.15826,709.56714,212.2224,159.77824
2021-07-01 19:00:00,153.25155,900.76669,13173.76579,3255.81597,199.64913,715.5247,204.20733,146.6403
2021-07-01 20:00:00,152.71513,1134.88067,13470.6556,3250.44123,194.4963,712.49003,190.82943,138.07878
