UTC time,coal,nat_gas,oil,solar,wind,biomass
2023-07-02 00:00:00,265.0,98.0,24.0,22.0,3465.0,226.0
2023-07-02 01:00:00,305.0,97.0,24.0,22.0,2597.0,216.0
2023-07-02 02:00:00,312.0,96.0,24.0,24.0,2139.0,225.0
2023-07-02 03:00:00,301.0,97.0,24.0,84.0,1939.0,236.0
2023-07-02 04:00:00,294.0,101.0,24.0,251.0,1854.0,213.0
2023-07-02 05:00:00,261.0,84.0,21.0,532.0,2352.0,203.0
2023-07-02 06:00:00,219.0,75.0,18.0,771.0,2874.0,185.0
2023-07-02 07:00:00,240.0,79.0,19.0,940.0,2166.0,179.0
2023-07-02 08:00:00,238.0,77.0,18.0,926.0,2279.0,159.0
2023-07-02 09:00:00,366.0,72.0,14.0,1013.0,2011.0,158.0
2023-07-02 10:00:00,367.0,75.0,15.0,1194.0,2103.0,178.0
2023-07-02 11:00:00,268.0,68.0,15.0,949.0,2252.0,204.0
2023-07-02 12:00:00,371.0,73.0,15.0,998.0,2365.0,209.0
2023-07-02 13:00:00,334.0,73.0,14.0,935.0,2604.0,201.0
2023-07-02 14:00:00,350.0,71.0,17.0,824.0,3086.0,196.0
2023-07-02 15:00:00,251.0,79.0,20.0,743.0,3496.0,203.0
2023-07-02 16:00:00,325.0,85.0,21.0,603.0,4232.0,219.0
2023-07-02 17:00:00,249.0,85.0,21.0,440.0,5753.0,226.0
2023-07-02 18:00:00,254.0,93.0,23.0,194.0,5788.0,229.0
2023-07-02 19:00:00,302.0,94.0,23.0,66.0,5686.0,233.0
2023-07-02 20:00:00,321.0,93.0,23.0,25.0,5516.0,231.0
2023-07-02 21:00:00,253.0,93.0,23.0,22.0,5323.0,234.0
2023-07-02 22:00:00,260.0,94.0,24.0,22.0,5152.0,232.0
2023-07-02 23:00:00,269.0,97.0,24.0,22.0,4997.0,231.0
