datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast
2023-07-21 00:00:00,2.1119642868386563,289.76939781772046,286.35543517326744,0.3043754546110074,0.0015489434895179,3871.4564,4795.78298,5225.7144,6375.40181,49.01755,1964.60253,139.50039
2023-07-21 01:00:00,2.1119642868386563,289.76939781772046,286.35543517326744,0.3043754546110074,0.0015489434895179,3920.72815,4796.56552,5243.46569,6491.95279,0.0,1991.87673,141.42486
2023-07-21 02:00:00,2.1119642868386563,289.76939781772046,286.35543517326744,0.3043754546110074,0.0015489434895179,3991.95476,4835.91316,5243.40368,6663.63386,0.0,2010.98043,140.08762
2023-07-21 03:00:00,2.1119642868386563,289.76939781772046,286.35543517326744,0.3043754546110074,0.0015489434895179,3950.06921,4891.92928,5032.36004,7071.68374,78.62559,1999.36931,140.0701
2023-07-21 04:00:00,2.6306503697926185,295.1751725485665,286.99930956168305,0.3043754546110074,0.0015489434895179,3988.21072,4871.88705,5245.74113,7205.69066,338.87301,1934.9451,137.93978
2023-07-21 05:00:00,2.6306503697926185,295.1751725485665,286.99930956168305,0.3043754546110074,0.0015489434895179,3919.84458,4867.98865,5192.6928,7384.93974,711.69693,1930.65175,140.28461
2023-07-21 06:00:00,2.6306503697926185,295.1751725485665,286.99930956168305,0.3043754546110074,0.0015489434895179,3935.67001,4985.74349,5336.97821,7396.30088,1237.33641,2004.83501,140.91268
2023-07-21 07:00:00,2.8518417665282056,300.24614219314867,285.6676411886916,99.54135604876166,0.0026427053307876,3957.40481,4965.25344,5261.30231,7369.47491,1776.84788,1915.56902,141.40742
2023-07-21 08:00:00,2.8518417665282056,300.24614219314867,285.6676411886916,99.54135604876166,0.0026427053307876,3795.47034,4919.31468,5433.74585,7623.56675,2287.51607,1818.08826,139.91131
2023-07-21 09:00:00,2.8518417665282056,300.24614219314867,285.6676411886916,99.54135604876166,0.0026427053307876,3957.67115,4795.65372,5379.72807,7718.13007,2634.09635,1790.80668,138.83859
2023-07-21 10:00:00,2.7267468062329403,302.78313414892136,285.06464170752963,658.2234283891676,0.0064309885999191,3980.21994,4693.822,5229.95653,7701.99331,2701.74991,1814.52219,138.08697
2023-07-21 11:00:00,2.7267468062329403,302.78313414892136,285.06464170752963,658.2234283891676,0.0064309885999191,3982.62896,4889.69596,5336.53201,7440.14339,2490.20153,1815.47102,139.37037
2023-07-21 12:00:00,2.7267468062329403,302.78313414892136,285.06464170752963,658.2234283891676,0.0064309885999191,3967.43008,4831.98428,5417.7212,7290.12117,2043.27415,1741.8532,140.23057
2023-07-21 13:00:00,2.879025347587449,302.2892890830627,285.7290682274232,754.1163227556632,0.0174847492751788,3886.45086,4887.44862,5448.99954,7456.90863,1491.94878,1734.70253,140.26508
2023-07-21 14:00:00,2.879025347587449,302.2892890830627,285.7290682274232,754.1163227556632,0.0174847492751788,3942.22025,4951.40969,5387.38864,7744.95604,971.01072,1676.99393,138.44025
2023-07-21 15:00:00,2.879025347587449,302.2892890830627,285.7290682274232,754.1163227556632,0.0174847492751788,3930.06561,5025.26246,5405.30613,8023.77757,606.36757,1619.66267,139.49353
2023-07-21 16:00:00,3.2916081863288507,295.71905675309006,287.1480280665311,584.5278010072706,0.0657907244706779,4017.63368,5032.76964,5376.67081,7972.24264,274.50476,1588.4208,142.12886
2023-07-21 17:00:00,3.2916081863288507,295.71905675309006,287.1480280665311,584.5278010072706,0.0657907244706779,4008.33185,4955.46051,5456.98486,7684.57687,8.35056,1554.6263,145.57803
2023-07-21 18:00:00,3.2916081863288507,295.71905675309006,287.1480280665311,584.5278010072706,0.0657907244706779,4018.55687,5069.0054,5486.26999,7451.00886,0.0,1583.64057,144.75793
2023-07-21 19:00:00,2.870450372719099,293.11301829151057,287.9261708683795,365.264735378171,0.470481202372495,4006.87199,5109.35599,5514.73495,7096.28902,0.0,1675.92342,143.43499
2023-07-21 20:00:00,2.870450372719099,293.11301829151057,287.9261708683795,365.264735378171,0.470481202372495,3943.44973,5105.31766,5358.60884,6578.45045,18.6856,1710.99998,143.20613
2023-07-21 21:00:00,2.870450372719099,293.11301829151057,287.9261708683795,365.264735378171,0.470481202372495,3844.43913,5051.43152,5565.22497,6187.9597,76.49302,1691.77017,146.04747
2023-07-21 22:00:00,2.64793543298943,292.0043339160312,288.5307904512384,0.0777289620248566,1.4821410343428665,3865.00637,5004.97208,5430.42329,5882.52597,75.41657,1634.37266,148.47008
2023-07-21 23:00:00,2.64793543298943,292.0043339160312,288.5307904512384,0.0777289620248566,1.4821410343428665,3929.24995,4932.06647,5444.91947,5861.88069,0.0,1580.63648,147.57847
2023-07-22 00:00:00,2.64793543298943,292.0043339160312,288.5307904512384,0.0777289620248566,1.4821410343428665,4220.03745,4831.57121,5272.36023,6912.22731,42.73947,2084.8385,145.88332
2023-07-22 01:00:00,2.3542077026528063,291.3526293558976,288.64522886174564,0.0385040410868716,2.4070417243917586,4276.83323,4832.10744,5290.29658,6978.1809,0.0,2111.98495,147.91812
2023-07-22 02:00:00,2.3542077026528063,291.3526293558976,288.64522886174564,0.0385040410868716,2.4070417243917586,4354.55448,4870.92281,5289.6976,7068.02588,0.0,2131.06979,146.49141
2023-07-22 03:00:00,2.3542077026528063,291.3526293558976,288.64522886174564,0.0385040410868716,2.4070417243917586,4309.82278,4927.21878,5077.25398,7416.43616,62.89358,2116.92621,146.51207
2023-07-22 04:00:00,3.289437239914516,295.3906808565001,289.3792002224807,0.1728795360528544,2.699612744659816,4348.68207,4907.14881,5292.98787,7501.92863,293.15217,2047.19095,144.28817
2023-07-22 05:00:00,3.289437239914516,295.3906808565001,289.3792002224807,0.1728795360528544,2.699612744659816,4275.14998,4903.64733,5239.3789,7648.44554,624.54189,2039.86695,146.77457
2023-07-22 06:00:00,3.289437239914516,295.3906808565001,289.3792002224807,0.1728795360528544,2.699612744659816,4286.65376,5021.74787,5384.34353,7658.5117,1094.24827,2108.34902,147.42444
2023-07-22 07:00:00,4.562417803439377,300.22864687228935,288.63125632978944,73.60203359540179,2.8287493159530226,4310.49262,5001.12551,5308.15079,7652.62476,1576.83557,2012.55782,147.94388
2023-07-22 08:00:00,4.562417803439377,300.22864687228935,288.63125632978944,73.60203359540179,2.8287493159530226,4136.80768,4954.92214,5481.7728,7952.25005,2035.787,1911.82175,146.28893
2023-07-22 09:00:00,4.562417803439377,300.22864687228935,288.63125632978944,73.60203359540179,2.8287493159530226,4312.40159,4830.66978,5427.67064,8088.15872,2348.27312,1883.41817,145.21444
2023-07-22 10:00:00,5.370064242824988,302.3542106880615,287.6694244381191,543.7901805034084,2.990534539643195,4335.531,4728.20916,5276.83505,8086.80744,2412.1561,1906.41837,144.53665
