datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast
2023-07-20 00:00:00,1.95305654043854,291.76207392687706,288.4473413740762,0.330787272064839,0.1995541831288954,4253.04864,4744.40451,5174.02769,6585.64127,57.56118,2320.67778,118.68201
2023-07-20 01:00:00,1.95305654043854,291.76207392687706,288.4473413740762,0.330787272064839,0.1995541831288954,4310.55621,4745.54037,5191.57377,6756.133,3.69817,2347.57383,120.24667
2023-07-20 02:00:00,1.95305654043854,291.76207392687706,288.4473413740762,0.330787272064839,0.1995541831288954,4388.89269,4785.65196,5192.10723,7016.72595,2.76014,2366.62128,119.20123
2023-07-20 03:00:00,1.95305654043854,291.76207392687706,288.4473413740762,0.330787272064839,0.1995541831288954,4343.89133,4841.2666,4982.61444,7516.91456,100.03505,2347.51053,119.0592
2023-07-20 04:00:00,2.181383702881341,296.22693811460783,289.50271779377465,0.330787272064839,0.1995541831288954,4382.81887,4821.26461,5193.38863,7712.53886,401.09359,2267.35781,117.23407
2023-07-20 05:00:00,2.181383702881341,296.22693811460783,289.50271779377465,0.330787272064839,0.1995541831288954,4308.79772,4816.79554,5140.96133,7946.83213,830.30434,2254.08944,119.11718
2023-07-20 06:00:00,2.181383702881341,296.22693811460783,289.50271779377465,0.330787272064839,0.1995541831288954,4319.892,4934.0553,5284.49466,7958.70228,1432.06195,2311.38873,119.67417
2023-07-20 07:00:00,3.2222361172688494,301.008085145094,288.3205245230276,87.31156456637926,0.3574819190409064,4343.92995,4913.75456,5209.3909,7905.16488,2049.03991,2202.79815,120.08831
2023-07-20 08:00:00,3.2222361172688494,301.008085145094,288.3205245230276,87.31156456637926,0.3574819190409064,4169.13172,4868.19534,5380.52874,8132.97234,2630.08799,2095.67707,119.11025
2023-07-20 09:00:00,3.2222361172688494,301.008085145094,288.3205245230276,87.31156456637926,0.3574819190409064,4345.9944,4745.38368,5326.60462,8201.9173,3023.06627,2065.07245,118.04331
