,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
0,2023-08-04 00:00:00,535.44,3904.0,1792.0,207.0,900.0,943.0,75.0
1,2023-08-04 01:00:00,528.48,3835.0,1942.0,206.0,795.0,1099.0,80.0
2,2023-08-04 02:00:00,566.35,3908.0,1898.0,208.0,418.0,948.0,81.0
3,2023-08-04 03:00:00,630.66,4261.0,1929.0,213.0,40.0,627.0,83.0
4,2023-08-04 04:00:00,615.06,4100.0,1925.0,216.0,0.0,792.0,77.0
5,2023-08-04 05:00:00,609.27,3933.0,1806.0,216.0,0.0,826.0,79.0
6,2023-08-04 06:00:00,617.71,3971.0,1680.0,215.0,0.0,773.0,96.0
7,2023-08-04 07:00:00,642.38,4145.0,1522.0,213.0,0.0,599.0,97.0
8,2023-08-04 08:00:00,635.19,4098.0,1470.0,213.0,0.0,673.0,98.0
9,2023-08-04 09:00:00,645.82,4114.0,1441.0,213.0,0.0,575.0,100.0
10,2023-08-04 10:00:00,646.42,4085.0,1267.0,217.0,0.0,600.0,101.0
11,2023-08-04 11:00:00,629.7,3852.0,1333.0,217.0,0.0,683.0,102.0
12,2023-08-04 12:00:00,619.11,3870.0,1435.0,219.0,0.0,773.0,102.0
13,2023-08-04 13:00:00,613.8,3816.0,1502.0,219.0,12.0,786.0,103.0
14,2023-08-04 14:00:00,580.42,3688.0,1466.0,219.0,458.0,695.0,99.0
15,2023-08-04 15:00:00,500.69,3209.0,1341.0,220.0,1227.0,748.0,100.0
16,2023-08-04 16:00:00,435.86,2496.0,1324.0,220.0,1450.0,938.0,96.0
17,2023-08-04 17:00:00,455.29,3053.0,1372.0,223.0,1527.0,1039.0,95.0
18,2023-08-04 18:00:00,463.13,3271.0,1385.0,224.0,1552.0,1059.0,91.0
19,2023-08-04 19:00:00,464.52,3432.0,1410.0,221.0,1535.0,1182.0,91.0
20,2023-08-04 20:00:00,421.17,3038.0,1405.0,222.0,1556.0,1609.0,90.0
21,2023-08-04 21:00:00,423.29,2980.0,1464.0,223.0,1524.0,1549.0,88.0
22,2023-08-04 22:00:00,423.71,3071.0,1460.0,217.0,1491.0,1664.0,88.0
23,2023-08-04 23:00:00,424.84,3115.0,1537.0,216.0,1510.0,1679.0,87.0
