UTC time,solar,nuclear,nat_gas,other,oil,hydro,coal,wind
2019-01-01 00:00:00,4.0,34730.0,20812.0,568.0,212.0,3085.0,21583.0,5816.0
2019-01-01 01:00:00,4.0,34721.0,19521.0,562.0,208.0,2752.0,19669.0,5912.0
2019-01-01 02:00:00,4.0,34714.0,18895.0,568.0,208.0,2209.0,17977.0,5597.0
2019-01-01 03:00:00,4.0,34729.0,16246.0,567.0,210.0,2145.0,16935.0,5232.0
2019-01-01 04:00:00,4.0,34705.0,14611.0,556.0,209.0,2169.0,16538.0,4903.0
2019-01-01 05:00:00,4.0,34845.0,18121.0,558.0,211.0,2065.0,19304.0,3640.0
2019-01-01 06:00:00,4.0,34702.0,12246.0,554.0,212.0,2040.0,16197.0,4139.0
2019-01-01 07:00:00,4.0,34689.0,11683.0,564.0,217.0,2055.0,16036.0,3831.0
2019-01-01 08:00:00,4.0,34671.0,11174.0,588.0,219.0,2049.0,15941.0,3388.0
2019-01-01 09:00:00,4.0,34677.0,10977.0,573.0,221.0,2042.0,15649.0,3164.0
2019-01-01 10:00:00,4.0,34680.0,11231.0,585.0,222.0,2042.0,15750.0,2904.0
2019-01-01 11:00:00,4.0,34699.0,12484.0,585.0,222.0,2124.0,15772.0,2445.0
2019-01-01 12:00:00,4.0,34707.0,12691.0,583.0,218.0,2163.0,16117.0,2310.0
2019-01-01 13:00:00,45.0,34720.0,14114.0,594.0,224.0,2164.0,16146.0,2190.0
2019-01-01 14:00:00,106.0,34701.0,16095.0,595.0,82.0,2358.0,16657.0,2171.0
2019-01-01 15:00:00,243.0,34711.0,16375.0,584.0,80.0,2363.0,18056.0,2239.0
2019-01-01 16:00:00,305.0,34725.0,16710.0,582.0,78.0,2196.0,19566.0,2156.0
2019-01-01 17:00:00,343.0,34735.0,16899.0,570.0,79.0,2199.0,19515.0,1972.0
2019-01-01 18:00:00,339.0,34742.0,16691.0,570.0,79.0,2170.0,18864.0,1928.0
2019-01-01 19:00:00,182.0,34742.0,17205.0,568.0,78.0,2173.0,18432.0,1860.0
2019-01-01 20:00:00,90.0,34742.0,17452.0,568.0,77.0,2173.0,18064.0,1574.0
2019-01-01 21:00:00,20.0,34760.0,18721.0,572.0,76.0,2578.0,18866.0,1274.0
2019-01-01 22:00:00,7.0,34724.0,22525.0,556.0,74.0,3200.0,21201.0,1109.0
