,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2023-09-06 00:00:00,2023-09-08 18:25:38,3.0,189.34,0.0,8951.0,2215.0,87.0,2988.0,12481.0,240.0,0.0
1,2023-09-06 01:00:00,2023-09-08 18:25:38,3.0,224.87,0.0,10840.0,2214.0,86.0,4351.0,9465.0,429.0,482.0
2,2023-09-06 02:00:00,2023-09-08 18:25:38,3.0,313.73,0.0,13024.0,2214.0,86.0,5594.0,3011.0,577.0,2454.0
3,2023-09-06 03:00:00,2023-09-08 18:25:38,3.0,336.76,0.0,13883.0,2214.0,87.0,5896.0,196.0,1006.0,2184.0
4,2023-09-06 04:00:00,2023-09-08 18:25:38,3.0,325.95,0.0,12983.0,2214.0,88.0,5986.0,0.0,1241.0,1965.0
5,2023-09-06 05:00:00,2023-09-08 18:25:38,3.0,309.52,0.0,12064.0,2213.0,88.0,5759.0,0.0,1313.0,1248.0
6,2023-09-06 06:00:00,2023-09-08 18:25:38,3.0,289.84,0.0,11852.0,2216.0,88.0,5548.0,0.0,1293.0,115.0
7,2023-09-06 07:00:00,2023-09-08 18:25:38,3.0,301.2,0.0,11785.0,2220.0,89.0,4602.0,0.0,1166.0,0.0
8,2023-09-06 08:00:00,2023-09-08 18:25:38,3.0,307.56,0.0,11276.0,2218.0,87.0,3837.0,0.0,1158.0,0.0
9,2023-09-06 09:00:00,2023-09-08 18:25:38,3.0,298.61,0.0,10137.0,2217.0,88.0,3637.0,0.0,1171.0,0.0
10,2023-09-06 10:00:00,2023-09-08 18:25:38,3.0,294.28,0.0,9706.0,2216.0,88.0,3529.0,0.0,1241.0,0.0
11,2023-09-06 11:00:00,2023-09-08 18:25:38,3.0,289.52,0.0,9336.0,2217.0,88.0,3542.0,0.0,1248.0,0.0
12,2023-09-06 12:00:00,2023-09-08 18:25:38,3.0,290.15,0.0,9231.0,2215.0,88.0,3504.0,0.0,1174.0,0.0
13,2023-09-06 13:00:00,2023-09-08 18:25:38,3.0,307.97,0.0,9978.0,2214.0,88.0,3108.0,0.0,1224.0,140.0
14,2023-09-06 14:00:00,2023-09-08 18:25:38,3.0,320.62,0.0,10138.0,2216.0,86.0,3214.0,366.0,1269.0,1016.0
15,2023-09-06 15:00:00,2023-09-08 18:25:38,3.0,245.34,0.0,9858.0,2216.0,87.0,2742.0,5234.0,1171.0,0.0
16,2023-09-06 16:00:00,2023-09-08 18:25:38,3.0,185.06,0.0,8272.0,2215.0,87.0,2546.0,11317.0,1060.0,0.0
17,2023-09-06 17:00:00,2023-09-08 18:25:38,3.0,177.52,0.0,8459.0,2215.0,86.0,2488.0,13396.0,961.0,0.0
18,2023-09-06 18:00:00,2023-09-08 18:25:38,3.0,179.27,0.0,8812.0,2218.0,87.0,2389.0,14062.0,886.0,0.0
19,2023-09-06 19:00:00,2023-09-08 18:25:38,3.0,175.38,0.0,8507.0,2215.0,87.0,2356.0,14439.0,710.0,0.0
20,2023-09-06 20:00:00,2023-09-08 18:25:38,3.0,168.8,0.0,7981.0,2213.0,86.0,2401.0,14592.0,658.0,0.0
21,2023-09-06 21:00:00,2023-09-08 18:25:38,3.0,157.62,0.0,7015.0,2214.0,86.0,2461.0,14536.0,585.0,0.0
22,2023-09-06 22:00:00,2023-09-08 18:25:38,3.0,159.27,0.0,6811.0,2215.0,87.0,2525.0,14365.0,591.0,188.0
23,2023-09-06 23:00:00,2023-09-08 18:25:38,3.0,169.98,0.0,7824.0,2212.0,87.0,2730.0,14061.0,556.0,91.0
