UTC time,creation_time (UTC),version,avg_solar_production_forecast,avg_wind_production_forecast
2023-09-04T00:00:00-00:00,2023-09-06 01:46:43,3.0,7206.33,3369.01
2023-09-04T01:00:00-00:00,2023-09-06 01:46:43,3.0,2266.99,3557.0099999999998
2023-09-04T02:00:00-00:00,2023-09-06 01:46:43,3.0,39.77,3553.6
2023-09-04T03:00:00-00:00,2023-09-06 01:46:43,3.0,0.0,3519.84
2023-09-04T04:00:00-00:00,2023-09-06 01:46:43,3.0,0.0,3567.72
2023-09-04T05:00:00-00:00,2023-09-06 01:46:43,3.0,0.0,3655.79
2023-09-04T06:00:00-00:00,2023-09-06 01:46:43,3.0,0.0,3720.49
2023-09-04T07:00:00-00:00,2023-09-06 01:46:43,3.0,0.0,3721.8
2023-09-04T08:00:00-00:00,2023-09-06 01:46:43,3.0,0.0,3730.91
2023-09-04T09:00:00-00:00,2023-09-06 01:46:43,3.0,0.0,3656.38
2023-09-04T10:00:00-00:00,2023-09-06 01:46:43,3.0,0.0,3524.0699999999997
2023-09-04T11:00:00-00:00,2023-09-06 01:46:43,3.0,0.0,3330.96
2023-09-04T12:00:00-00:00,2023-09-06 01:46:43,3.0,0.0,3094.24
2023-09-04T13:00:00-00:00,2023-09-06 01:46:43,3.0,532.66,2807.2799999999997
2023-09-04T14:00:00-00:00,2023-09-06 01:46:43,3.0,4584.71,2383.18
2023-09-04T15:00:00-00:00,2023-09-06 01:46:43,3.0,10091.7,1784.19
2023-09-04T16:00:00-00:00,2023-09-06 01:46:43,3.0,12672.84,1154.5
2023-09-04T17:00:00-00:00,2023-09-06 01:46:43,3.0,13472.669999999998,689.3100000000001
2023-09-04T18:00:00-00:00,2023-09-06 01:46:43,3.0,13786.329999999998,457.33
2023-09-04T19:00:00-00:00,2023-09-06 01:46:43,3.0,13814.0,374.83
2023-09-04T20:00:00-00:00,2023-09-06 01:46:43,3.0,13787.289999999999,383.58
2023-09-04T21:00:00-00:00,2023-09-06 01:46:43,3.0,13665.28,531.34
2023-09-04T22:00:00-00:00,2023-09-06 01:46:43,3.0,13234.65,806.11
2023-09-04T23:00:00-00:00,2023-09-06 01:46:43,3.0,12109.55,1165.85
