UTC time,creation_time (UTC),version,avg_solar_production_forecast,avg_wind_production_forecast
2023-08-22T00:00:00-00:00,2023-08-23 15:25:34,3.0,7733.41,753.34
2023-08-22T01:00:00-00:00,2023-08-23 15:25:34,3.0,3144.87,722.9599999999999
2023-08-22T02:00:00-00:00,2023-08-23 15:25:34,3.0,251.59999999999997,673.7199999999999
2023-08-22T03:00:00-00:00,2023-08-23 15:25:34,3.0,4.63,627.19
2023-08-22T04:00:00-00:00,2023-08-23 15:25:34,3.0,5.82,595.51
2023-08-22T05:00:00-00:00,2023-08-23 15:25:34,3.0,7.23,547.09
2023-08-22T06:00:00-00:00,2023-08-23 15:25:34,3.0,7.62,474.34
2023-08-22T07:00:00-00:00,2023-08-23 15:25:34,3.0,0.0,375.69
2023-08-22T08:00:00-00:00,2023-08-23 15:25:34,3.0,0.0,340.01
2023-08-22T09:00:00-00:00,2023-08-23 15:25:34,3.0,0.0,304.74
2023-08-22T10:00:00-00:00,2023-08-23 15:25:34,3.0,0.0,252.48
2023-08-22T11:00:00-00:00,2023-08-23 15:25:34,3.0,0.0,198.72
2023-08-22T12:00:00-00:00,2023-08-23 15:25:34,3.0,0.0,157.22
2023-08-22T13:00:00-00:00,2023-08-23 15:25:34,3.0,675.24,126.06
2023-08-22T14:00:00-00:00,2023-08-23 15:25:34,3.0,4362.32,100.25999999999999
2023-08-22T15:00:00-00:00,2023-08-23 15:25:34,3.0,9059.3,89.97
2023-08-22T16:00:00-00:00,2023-08-23 15:25:34,3.0,11483.14,101.36
2023-08-22T17:00:00-00:00,2023-08-23 15:25:34,3.0,12415.919999999998,118.83
2023-08-22T18:00:00-00:00,2023-08-23 15:25:34,3.0,12893.100000000002,132.1
2023-08-22T19:00:00-00:00,2023-08-23 15:25:34,3.0,13057.310000000001,135.42
2023-08-22T20:00:00-00:00,2023-08-23 15:25:34,3.0,13042.820000000002,134.34
2023-08-22T21:00:00-00:00,2023-08-23 15:25:34,3.0,12907.73,139.95
2023-08-22T22:00:00-00:00,2023-08-23 15:25:34,3.0,12518.03,149.26
2023-08-22T23:00:00-00:00,2023-08-23 15:25:34,3.0,11659.62,167.56
