UTC time,nat_gas,hydro,wind,biomass,unknown
2019-01-01 00:00:00,0.0,48.0,54.0,76.0,81.0
2019-01-01 01:00:00,0.0,25.0,54.0,77.0,81.0
2019-01-01 02:00:00,0.0,4.0,52.0,76.0,80.0
2019-01-01 03:00:00,0.0,48.0,50.0,77.0,80.0
2019-01-01 04:00:00,0.0,48.0,50.0,77.0,79.0
2019-01-01 05:00:00,1.0,48.0,51.0,80.0,83.0
2019-01-01 06:00:00,1.0,48.0,50.0,80.0,83.0
2019-01-01 07:00:00,1.0,48.0,50.0,80.0,83.0
2019-01-01 08:00:00,1.0,12.0,50.0,80.0,83.0
2019-01-01 09:00:00,1.0,52.0,48.0,80.0,83.0
2019-01-01 10:00:00,1.0,37.0,47.0,80.0,83.0
2019-01-01 11:00:00,1.0,52.0,47.0,80.0,83.0
2019-01-01 12:00:00,1.0,39.0,45.0,79.0,83.0
2019-01-01 13:00:00,1.0,52.0,39.0,79.0,83.0
2019-01-01 14:00:00,1.0,61.0,36.0,79.0,83.0
2019-01-01 15:00:00,1.0,21.0,26.0,79.0,83.0
2019-01-01 16:00:00,1.0,48.0,14.0,80.0,84.0
2019-01-01 17:00:00,1.0,48.0,21.0,80.0,84.0
2019-01-01 18:00:00,1.0,48.0,19.0,78.0,81.0
2019-01-01 19:00:00,1.0,48.0,19.0,81.0,84.0
2019-01-01 20:00:00,1.0,48.0,25.0,81.0,84.0
2019-01-01 21:00:00,0.0,48.0,32.0,81.0,84.0
2019-01-01 22:00:00,0.0,6.0,35.0,81.0,84.0
2019-01-01 23:00:00,0.0,0.0,44.0,78.0,83.0
2019-01-02 00:00:00,0.0,0.0,47.0,78.0,82.0
2019-01-02 01:00:00,0.0,0.0,45.0,79.0,84.0
2019-01-02 02:00:00,0.0,0.0,46.0,80.0,83.0
2019-01-02 03:00:00,4.0,0.0,47.0,80.0,83.0
2019-01-02 04:00:00,42.0,89.0,45.0,81.0,83.0
2019-01-02 05:00:00,90.0,48.0,45.0,82.0,83.0
2019-01-02 06:00:00,154.0,164.0,41.0,83.0,83.0
2019-01-02 07:00:00,100.0,218.0,31.0,84.0,83.0
2019-01-02 08:00:00,143.0,272.0,33.0,84.0,83.0
2019-01-02 09:00:00,222.0,144.0,42.0,86.0,83.0
2019-01-02 10:00:00,348.0,8.0,46.0,86.0,84.0
2019-01-02 11:00:00,352.0,0.0,38.0,86.0,84.0
2019-01-02 12:00:00,355.0,0.0,44.0,86.0,84.0
2019-01-02 13:00:00,441.0,78.0,45.0,86.0,84.0
2019-01-02 14:00:00,443.0,85.0,42.0,87.0,84.0
2019-01-02 15:00:00,443.0,134.0,43.0,87.0,84.0
2019-01-02 16:00:00,442.0,311.0,43.0,87.0,84.0
2019-01-02 17:00:00,442.0,368.0,45.0,88.0,84.0
2019-01-02 18:00:00,443.0,224.0,47.0,88.0,85.0
2019-01-02 19:00:00,443.0,70.0,49.0,88.0,85.0
2019-01-02 20:00:00,443.0,37.0,47.0,85.0,85.0
2019-01-02 21:00:00,442.0,37.0,46.0,84.0,85.0
2019-01-02 22:00:00,356.0,108.0,45.0,84.0,84.0
2019-01-02 23:00:00,339.0,124.0,45.0,84.0,84.0
2019-01-03 00:00:00,339.0,124.0,46.0,84.0,84.0
2019-01-03 01:00:00,339.0,124.0,45.0,83.0,84.0
2019-01-03 02:00:00,340.0,124.0,42.0,84.0,84.0
2019-01-03 03:00:00,339.0,124.0,43.0,83.0,84.0
2019-01-03 04:00:00,340.0,124.0,43.0,83.0,83.0
2019-01-03 05:00:00,340.0,125.0,41.0,84.0,83.0
2019-01-03 06:00:00,366.0,133.0,40.0,86.0,83.0
2019-01-03 07:00:00,386.0,131.0,37.0,88.0,83.0
2019-01-03 08:00:00,379.0,134.0,35.0,88.0,84.0
2019-01-03 09:00:00,409.0,126.0,35.0,88.0,84.0
2019-01-03 10:00:00,458.0,150.0,31.0,89.0,84.0
2019-01-03 11:00:00,445.0,157.0,29.0,89.0,84.0
2019-01-03 12:00:00,438.0,249.0,25.0,89.0,84.0
2019-01-03 13:00:00,437.0,297.0,20.0,89.0,85.0
2019-01-03 14:00:00,437.0,443.0,21.0,89.0,85.0
2019-01-03 15:00:00,431.0,543.0,21.0,89.0,85.0
2019-01-03 16:00:00,427.0,593.0,17.0,89.0,85.0
