UTC time,coal,nat_gas,wind
2023-05-16 00:00:00,272.0,1682.0,192.0
2023-05-16 01:00:00,273.0,1661.0,132.0
2023-05-16 02:00:00,269.0,1616.0,127.0
2023-05-16 03:00:00,271.0,1526.0,98.0
2023-05-16 04:00:00,273.0,1361.0,87.0
2023-05-16 05:00:00,271.0,1292.0,85.0
2023-05-16 06:00:00,271.0,1286.0,64.0
2023-05-16 07:00:00,274.0,1322.0,78.0
2023-05-16 08:00:00,321.0,1271.0,107.0
2023-05-16 09:00:00,388.0,1189.0,87.0
2023-05-16 10:00:00,476.0,1155.0,65.0
2023-05-16 11:00:00,601.0,1067.0,48.0
2023-05-16 12:00:00,692.0,1228.0,53.0
2023-05-16 13:00:00,697.0,1271.0,82.0
2023-05-16 14:00:00,695.0,1358.0,49.0
2023-05-16 15:00:00,734.0,1486.0,35.0
2023-05-16 16:00:00,748.0,1526.0,38.0
2023-05-16 17:00:00,761.0,1539.0,61.0
2023-05-16 18:00:00,743.0,1600.0,52.0
2023-05-16 19:00:00,714.0,1550.0,33.0
2023-05-16 20:00:00,622.0,1607.0,19.0
2023-05-16 21:00:00,753.0,1617.0,14.0
2023-05-16 22:00:00,754.0,1650.0,18.0
2023-05-16 23:00:00,756.0,1672.0,25.0
