UTC time,coal,nat_gas,wind
2023-03-26 00:00:00,1063.0,960.0,165.0
2023-03-26 01:00:00,1212.0,960.0,154.0
2023-03-26 02:00:00,1192.0,964.0,161.0
2023-03-26 03:00:00,1146.0,968.0,171.0
2023-03-26 04:00:00,1038.0,958.0,246.0
2023-03-26 05:00:00,812.0,928.0,366.0
2023-03-26 06:00:00,788.0,934.0,306.0
2023-03-26 07:00:00,762.0,729.0,373.0
2023-03-26 08:00:00,628.0,730.0,473.0
2023-03-26 09:00:00,638.0,861.0,212.0
2023-03-26 10:00:00,785.0,711.0,188.0
2023-03-26 11:00:00,796.0,740.0,249.0
2023-03-26 12:00:00,799.0,818.0,317.0
2023-03-26 13:00:00,865.0,953.0,318.0
2023-03-26 14:00:00,1026.0,912.0,310.0
2023-03-26 15:00:00,852.0,844.0,469.0
2023-03-26 16:00:00,751.0,850.0,395.0
2023-03-26 17:00:00,677.0,926.0,284.0
2023-03-26 18:00:00,677.0,777.0,317.0
2023-03-26 19:00:00,652.0,743.0,460.0
2023-03-26 20:00:00,629.0,794.0,515.0
2023-03-26 21:00:00,629.0,916.0,419.0
2023-03-26 22:00:00,639.0,950.0,359.0
2023-03-26 23:00:00,869.0,966.0,315.0
