Unnamed: 0,creation_time (UTC),version,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
40656,2024-07-17 00:00:00,3.1,2023-08-22 00:00:00,36.05,0.0,0.0,0.0,16019.0,0.0,204.0,720.0,0.0,88.0
40657,2024-07-17 00:00:00,3.1,2023-08-22 01:00:00,36.22,0.0,0.0,0.0,15948.0,0.0,124.0,720.0,0.0,88.0
40658,2024-07-17 00:00:00,3.1,2023-08-22 02:00:00,36.64,0.0,0.0,0.0,15266.0,0.0,180.0,720.0,0.0,88.0
40659,2024-07-17 00:00:00,3.1,2023-08-22 03:00:00,35.46,0.0,0.0,0.0,17008.0,0.0,148.0,720.0,0.0,88.0
40660,2024-07-17 00:00:00,3.1,2023-08-22 04:00:00,34.74,0.0,0.0,0.0,18499.0,188.0,104.0,720.0,0.0,88.0
40661,2024-07-17 00:00:00,3.1,2023-08-22 05:00:00,34.42,0.0,0.0,0.0,19654.0,648.0,64.0,720.0,0.0,88.0
40662,2024-07-17 00:00:00,3.1,2023-08-22 06:00:00,40.19,0.0,230.0,0.0,18862.0,1716.0,40.0,720.0,0.0,88.0
40663,2024-07-17 00:00:00,3.1,2023-08-22 07:00:00,48.18,0.0,656.0,0.0,19297.0,3144.0,40.0,720.0,0.0,88.0
40664,2024-07-17 00:00:00,3.1,2023-08-22 08:00:00,60.94,0.0,1343.0,0.0,18407.0,4448.0,68.0,720.0,0.0,88.0
40665,2024-07-17 00:00:00,3.1,2023-08-22 09:00:00,73.2,0.0,2147.0,0.0,18446.0,5332.0,80.0,720.0,0.0,88.0
40666,2024-07-17 00:00:00,3.1,2023-08-22 10:00:00,74.59,0.0,2220.0,0.0,17917.0,5916.0,120.0,720.0,0.0,88.0
40667,2024-07-17 00:00:00,3.1,2023-08-22 11:00:00,77.59,0.0,2458.0,0.0,18098.0,5980.0,204.0,720.0,0.0,88.0
40668,2024-07-17 00:00:00,3.1,2023-08-22 12:00:00,95.04,0.0,3585.0,0.0,17813.0,5604.0,244.0,720.0,0.0,88.0
40669,2024-07-17 00:00:00,3.1,2023-08-22 13:00:00,105.77,0.0,4196.0,0.0,17408.0,4892.0,352.0,720.0,0.0,88.0
40670,2024-07-17 00:00:00,3.1,2023-08-22 14:00:00,98.52,0.0,3550.0,0.0,17220.0,3864.0,540.0,720.0,0.0,88.0
40671,2024-07-17 00:00:00,3.1,2023-08-22 15:00:00,100.2,0.0,3607.0,0.0,17355.0,2572.0,984.0,720.0,0.0,88.0
40672,2024-07-17 00:00:00,3.1,2023-08-22 16:00:00,108.21,0.0,4325.0,0.0,18453.0,1236.0,1636.0,720.0,0.0,88.0
40673,2024-07-17 00:00:00,3.1,2023-08-22 17:00:00,111.43,0.0,4738.0,0.0,18563.0,372.0,2800.0,704.0,0.0,88.0
40674,2024-07-17 00:00:00,3.1,2023-08-22 18:00:00,109.23,0.0,4734.0,0.0,18347.0,4.0,3824.0,704.0,0.0,88.0
40675,2024-07-17 00:00:00,3.1,2023-08-22 19:00:00,111.86,0.0,4739.0,0.0,18172.0,0.0,3276.0,704.0,0.0,88.0
40676,2024-07-17 00:00:00,3.1,2023-08-22 20:00:00,107.68,0.0,4190.0,0.0,18156.0,0.0,2284.0,704.0,0.0,88.0
40677,2024-07-17 00:00:00,3.1,2023-08-22 21:00:00,78.69,0.0,2115.0,0.0,16795.0,0.0,1664.0,704.0,0.0,88.0
40678,2024-07-17 00:00:00,3.1,2023-08-22 22:00:00,38.99,0.0,191.0,0.0,15665.0,0.0,1572.0,704.0,0.0,88.0
40679,2024-07-17 00:00:00,3.1,2023-08-22 23:00:00,33.67,0.0,0.0,0.0,15480.0,0.0,1944.0,688.0,0.0,88.0
